Page,Edits,Editors,Views
"Miriam Pielhau",83,57,797132
"Cristiano Ronaldo",83,20,670686
"Island",3,2,669120
"Wales",23,15,625820
"Deutschland",49,33,615886
"Fußball-Europameisterschaft 2016",311,116,593417
"Putsch",48,33,587964
"Nekrolog 2016",41,16,582265
"Antoine Griezmann",77,39,581468
"SIP-Status-Codes",0,0,489612
"Fußball-Europameisterschaft",92,28,461870
"Jana Thiel",81,63,441346
"Pokémon Go",475,237,396362
"Game of Thrones",24,19,386418
"GSG 9 der Bundespolizei",17,9,367869
"Bastian Schweinsteiger",93,52,360571
"Pokémon",14,12,350454
"Bud Spencer",33,26,343935
"Fethullah Gülen",42,29,326882
"Ana Ivanović",31,21,324632
"Donald Trump",56,36,323499
"Deutsche Fußballnationalmannschaft",82,49,314943
"Unix-Shell",2,2,311807
"Recep Tayyip Erdoğan",86,35,309806
"Türkei",64,35,301312
"Wikipedia",4,4,293725
"Olympische Sommerspiele 2016",135,50,279964
"Jonas Hector",45,35,272686
"Fußball-Weltmeisterschaft",10,2,261959
"Independence Day: Wiederkehr",46,26,247663
"Mehmet Scholl",16,14,242731
"Terence Hill",6,5,240245
"Darknet",40,11,239755
"Simmer Down",0,0,239526
"Juno (Raumsonde)",84,49,233001
"Jérôme Boateng",25,17,231847
"Star Trek Beyond",69,28,230505
"Nettie Stevens",29,20,228664
"Joachim Löw",22,19,222944
"Lucifer (Fernsehserie)",15,10,222003
"Manuel Neuer",16,11,217663
"Fußball-Europameisterschaft 2020",0,0,206826
"Gareth Bale",4,3,205930
"Star Trek",27,13,204078
"Islamischer Staat (Organisation)",36,22,200271
"Frankreich",22,19,198938
"Vereinigtes Königreich",20,13,192121
"Melania Trump",78,26,191224
"Gianluigi Buffon",18,16,189745
"Gülen-Bewegung",48,25,187808
"Vereinigte Staaten",2,2,186332
"Quantico (Fernsehserie)",19,12,181813
"American Hustle",3,3,181261
"Schweiz",16,7,179754
"Hand-Fuß-Mund-Krankheit",3,3,179618
"Portugiesische Fußballnationalmannschaft",76,26,179431
"Race Across America",0,0,179151
"Deutsche Nationalhymne",4,3,179030
"Theresa May",111,57,178164
"Anders Behring Breivik",14,13,177262
"Berlin",21,12,176080
"Vikings (Fernsehserie)",15,11,174761
"Liste der Kfz-Kennzeichen in Deutschland",6,5,173525
"Tour de France 2016",193,32,169642
"Österreich",10,7,166345
"Liste von Terroranschlägen",277,119,166035
"Stranger Things",51,22,163280
"Joshua Kimmich",19,12,163026
"Emre Can",18,10,161553
"Amyotrophe Lateralsklerose",6,6,161503
"UEFA Champions League 2016/17",81,21,153014
"Mitgliedstaaten der Europäischen Union",4,4,152833
"Portugal",7,6,150142
"Independence Day (1996)",8,6,148585
"Fußball-Weltmeisterschaft 2014",18,12,148219
"Unister",72,45,146800
"Isländische Fußballnationalmannschaft",26,17,145493
"Petra Hinz",294,104,144386
"Isländischer Personenname",3,3,144128
"The Big Bang Theory",3,3,142809
"Orange Is the New Black",24,16,141736
"Italien",26,20,140811
"Marco Weiss",9,4,139764
"Pretty Little Liars",20,15,138156
"Mario Gómez",32,24,137610
"Hillary Clinton",18,11,137373
"Fußball-Weltmeisterschaft 2018",0,0,137296
"Fall Peggy Knobloch",98,48,135661
"Französische Fußballnationalmannschaft",42,6,135535
"Anschlag in Nizza am 14. Juli 2016",0,0,134307
"UEFA Europa League 2016/17",125,22,134039
"Putschversuch in der Türkei 2016",996,211,132282
"Star Trek Into Darkness",13,11,131980
"Emilia Clarke",17,13,131636
"NATO",17,11,131614
"München",11,11,131190
"Russland",21,12,128968
"Sido",10,9,128798
"Mustafa Kemal Atatürk",3,3,127195
"Amoklauf von Winnenden",0,0,126999
"Kroatien",?,?,125223
"Europäische Union",?,?,124231
"Fußball-Europameisterschaft 2004",?,?,124002
"Figuren aus dem Marvel-Universum",?,?,123339
"Adolf Hitler",?,?,123242
"Quiet Lake (Yukon)",?,?,123013
"The Walking Dead (Fernsehserie)",?,?,122291
"Europa",?,?,121685
"Lionel Messi",?,?,121117
"Facebook",?,?,120688
"Strafvereitelung im Amt",?,?,120656
"Outlander (Fernsehserie)",?,?,120186
"Götz George",?,?,120144
"Angela Merkel",?,?,120122
"Thomas Müller",?,?,119953
"Fußball-Europameisterschaft 2012",?,?,119310
"Rubinrot (Film)",?,?,118983
"Figuren im Lied von Eis und Feuer",?,?,116890
"Anton Yelchin",?,?,116848
"Pokémon-Spiele",?,?,116612
"Mario Götze",?,?,115688
"Marseillaise",?,?,115260
"Thomas Wagner (Unternehmer)",?,?,114894
"Gilmore Girls",?,?,114755
"Star Trek (2009)",?,?,114404
"EU-Austritt des Vereinigten Königreichs",?,?,114403
"Präsidentschaftswahl in den Vereinigten Staaten 2016",?,?,112606
"Paul Pogba",?,?,112591
"Nizza",?,?,111938
"Hamburg",?,?,111835
"FC Bayern München",?,?,111786
