Page,Edits,Editors,Views
"Tote Mädchen lügen nicht",8,4,609889
"Nekrolog 2017",37,15,512784
"Tote Mädchen lügen nicht (Fernsehserie)",77,43,505494
"Deutschland",18,15,461236
"Emmanuel Macron",126,61,442848
"Wladimir Klitschko",49,35,430368
"Robert Koch",25,15,430142
"Ostern",25,11,394218
"Emil von Behring",17,15,390922
"RMS Titanic",21,9,382485
"GBU-43/B Massive Ordnance Air Blast",101,51,369052
"Prison Break",58,34,367206
"Anthony Joshua",41,29,345275
"Alice Weidel",115,52,332256
"Karfreitag",20,10,326544
"Frauke Petry",16,12,325458
"Adolf Dassler",12,11,324382
"Präsidentschaftswahl in Frankreich 2017",166,58,322868
"Lohnsteuerklasse",2,1,301627
"Nordkorea",1,1,297844
"Kanadischer Dollar",0,0,284780
"Adidas",8,8,269941
"Guardians of the Galaxy",11,9,249813
"Interstellar",10,8,249528
"Rudolf Dassler",5,3,248897
"Frank Elstner",11,9,248227
"Unix-Shell",0,0,245587
"Adolf Hitler",17,10,240358
"Game of Thrones",13,9,233099
"Vitali Klitschko",6,6,231560
"Gaby Köster",20,15,231345
"Fast & Furious 8",71,36,225921
"Erster Mai",14,13,216091
"The Walking Dead (Fernsehserie)",7,4,214641
"The Fast and the Furious (Filmreihe)",40,17,212095
"Gründonnerstag",25,9,208747
"Hacker",29,5,205452
"Sarin",53,29,204759
"Wikipedia",4,4,193491
"Puma (Unternehmen)",0,0,192619
"Grey’s Anatomy",35,22,191896
"Vereinigte Staaten",9,7,190716
"Berlin",20,15,187642
"Tuberkulose",11,10,182899
"Marine Le Pen",32,25,180081
"Türkei",18,14,177666
"Verfassungsreferendum in der Türkei 2017",464,100,174422
"Recep Tayyip Erdoğan",74,32,173100
"Vater aller Bomben",21,18,171487
"Taboo (Fernsehserie)",3,1,171070
"Maze Runner – Die Auserwählten im Labyrinth",3,3,170305
"Braunschlag",0,0,168313
"Paul Ehrlich",9,7,167391
"Diphtherie",0,0,165212
"Präsenz",0,0,161037
"Schweiz",22,8,160731
"BGM-109 Tomahawk",42,25,160345
"Ed Sheeran",29,23,157505
"Stephen Hawking",3,2,157043
"Phantastische Tierwesen und wo sie zu finden sind (Film)",10,8,157031
"Barbra Streisand",8,5,157018
"Gil Ofarim",4,3,153688
