Page,Edits,Editors,Views
"Fußball-Europameisterschaft 2016",936,262,2425853
"Island",27,18,1577344
"Bud Spencer",170,107,1289261
"Muhammad Ali",185,96,1002978
"Götz George",139,90,984143
"Fußball-Europameisterschaft",141,53,908961
"Wales",53,39,850982
"Brexit",0,0,812035
"Terence Hill",16,11,808999
"Deutschland",27,16,688604
"Vereinigtes Königreich",58,42,615201
"Deutsche Fußballnationalmannschaft",112,62,599789
"Nordirland",49,32,594068
"Cristiano Ronaldo",19,7,580186
"Nekrolog 2016",21,10,568176
"Game of Thrones",34,22,557571
"Shkodran Mustafi",44,25,525897
"Liste von Kaffeespezialitäten",0,0,497694
"Jérôme Boateng",70,46,463335
"Zlatan Ibrahimović",83,60,461940
"Fußball-Weltmeisterschaft",19,12,447880
"Fußball-Europameisterschaft 2012",28,12,443913
"Christina Grimmie",102,68,428481
"Joachim Löw",49,32,418277
"Wikipedia",8,8,394502
"Sascha Lewandowski",56,35,394012
"Europäische Union",23,17,388199
"Irland",27,21,386375
"Bastian Schweinsteiger",53,27,362320
"Unix-Shell",3,3,359144
"Fußball-Weltmeisterschaft 2014",18,17,349438
"Joshua Kimmich",33,25,345763
"Isländische Fußballnationalmannschaft",43,36,342639
"Mitgliedstaaten der Europäischen Union",20,15,334972
"Karl Landsteiner",21,18,325563
"Fußball-Europameisterschaft 2020",0,0,321915
"Gotthard-Basistunnel",189,79,316075
"Mehmet Scholl",15,14,313130
"Mario Gómez",46,30,305157
"Anton Yelchin",98,48,304391
"Deutsche Nationalhymne",2,2,290842
"Schottland",52,25,281666
"England",7,7,276405
"Gianluigi Buffon",23,16,271417
"Zygote",35,5,270950
"Fußball-Europameisterschaft 2016/Qualifikation",13,10,268258
"Großbritannien",0,0,264810
"Schweiz",32,9,262132
"Copa América Centenario 2016",230,66,257635
"Jonas Hector",10,10,256830
"Manuel Neuer",14,12,248563
"Roman Neustädter",62,33,248453
"Lukas Podolski",30,25,247918
"Völkermord an den Armeniern",59,24,245593
"Pierluigi Collina",8,6,243267
"Albanien",4,4,241769
"Fußball-Europameisterschaft 2008",16,9,241567
"Will Grigg",42,22,238531
"Frankreich",23,21,236675
"Gina-Lisa Lohfink",30,19,233747
"Daniela Katzenberger",30,23,232716
"Slowakei",11,7,231845
"Aserbaidschan",9,6,230084
"Lionel Messi",27,12,227470
"Oliver Kahn",8,7,227298
"Ramadan",7,7,227256
"Copa América",61,21,225326
"Russland",22,20,220784
"Vereinigte Staaten",4,3,214972
"Österreich",6,6,213008
"Rosen",5,4,212356
"Sami Khedira",19,17,212257
"Europa",1,1,210560
"Robert Lewandowski",29,20,209840
"Dimitri Payet",35,23,209153
"Gábor Király",38,22,205721
"Fußball-Europameisterschaft 2004",14,6,202688
"Referendum über den Verbleib des Vereinigten Königreichs in der Europäischen Union",0,0,196531
"Kroatien",17,14,196496
"Red Hot Chili Peppers",8,7,196364
"Berlin",17,11,196350
"Warcraft: The Beginning",78,26,195712
"Julian Draxler",19,14,194937
"Kimbo Slice",39,28,192830
"Italienische Fußballnationalmannschaft",48,9,188870
"Donald Trump",45,23,186930
"Gareth Bale",18,14,186651
"Fußball-Weltmeisterschaft 2006",6,4,183397
"Bandscheibenprotrusion",0,0,182807
"Fußball-Weltmeisterschaft 2010",9,9,181455
"Victoria Swarovski",16,5,180891
"Fußball-Weltmeisterschaft 2018",18,16,180597
"Lucas Cordalis",5,4,180432
"Thomas Müller",31,26,180425
"Türkei",10,6,180285
"Mesut Özil",8,7,178348
"Orange Is the New Black",25,15,178240
"FIFA-Weltrangliste",13,6,177517
"Italien",21,13,177413
"Polen",3,3,174482
"Figuren aus dem Marvel-Universum",?,?,173148
"Antoine Griezmann",?,?,172798
"Loni von Friedl",?,?,170558
"Lotte Reiniger",?,?,169320
"Bernd Storck",?,?,168369
"Belgien",?,?,168065
"Flagge Deutschlands",?,?,166587
"Bundespräsident (Deutschland)",?,?,166333
"Isländischer Personenname",?,?,162249
"Emre Mor",?,?,161584
"Facebook",?,?,160519
"Mario Götze",?,?,157907
"Vikings (Fernsehserie)",?,?,157576
"X-Men (Filmreihe)",?,?,157142
"Liste der Länder Europas",?,?,156784
"Adolf Hitler",?,?,155554
"Xherdan Shaqiri",?,?,155468
"Wayne Rooney",?,?,154795
"Zweiter Weltkrieg",?,?,151874
"Islamischer Staat (Organisation)",?,?,151676
"Toni Kroos",?,?,150886
"Erster Weltkrieg",?,?,150361
"Baku",?,?,149593
"Beate Heinemann",?,?,149179
"Asperger-Syndrom",?,?,145748
"Boris Johnson",?,?,144943
"Sonnenwende",?,?,144899
"Figuren im Lied von Eis und Feuer",?,?,144732
"Großbritannien (Insel)",?,?,143505
"Hand-Fuß-Mund-Krankheit",?,?,142061
"Emilia Clarke",?,?,142022
"Jo Cox",?,?,141301
"Spanien",?,?,141235
"Ungarn",?,?,140246
"Olympische Sommerspiele 2016",?,?,140012
"Spanische Fußballnationalmannschaft",?,?,139885
"Elisabeth II.",?,?,139611
"Liste der Kfz-Kennzeichen in Deutschland",?,?,138461
"Armenien",?,?,138018
"David Alaba",?,?,136394
"Taylor Swift",?,?,136274
"Fußball-Europameisterschaft 1996",?,?,135879
"Portugal",?,?,135558
"The Big Bang Theory",?,?,134699
"ClamAV",?,?,133910
"Periodensystem",?,?,133555
"Bilderberg-Konferenz",?,?,133348
"Französische Fußballnationalmannschaft",?,?,133056
"Parkinson-Krankheit",?,?,132988
"Rock am Ring",?,?,131858
"Pretty Little Liars",?,?,131753
"Michu Meszaros",?,?,131737
"Planet der Affen: Revolution",?,?,131659
"Rumänien",?,?,131265
"Mats Hummels",?,?,131090
"Game of Thrones/Staffel 6",?,?,130470
"Kevin-Prince Boateng",?,?,129917
"Petr Čech",?,?,128533
"Game of Thrones/Episodenliste",?,?,128180
"Miroslav Klose",?,?,127807
"Ein ganzes halbes Jahr (Film)",?,?,126346
"Stade de France",?,?,124217
"Schweizer Fussballnationalmannschaft",?,?,123359
"Australien",?,?,122527
"Schweden",?,?,121832
"David Guetta",?,?,121731
"Fußball",?,?,119937
"Mark Forster",?,?,118285
"X-Men: Apocalypse",?,?,117508
"Fußball-Europameisterschaft 2000",?,?,117213
"Österreichische Fußballnationalmannschaft",?,?,117088
"The Walking Dead (Fernsehserie)",?,?,116905
"Multiple Sklerose",?,?,114930
"Hamburg",?,?,114447
"Jana Pallaske",?,?,113891
"Conjuring – Die Heimsuchung",?,?,113841
"Kanada",?,?,113824
"Liste der IPA-Zeichen",?,?,113745
"Gibraltar",?,?,113699
"Niederlande",?,?,113374
"Abseitsregel",?,?,113042
"Angela Merkel",?,?,112380
