Page,Edits,Editors,Views
"Chester Bennington",211,111,1158106
"G20-Gipfel in Hamburg 2017",1764,223,865227
"Casu Marzu",1,1,713664
"Andrea Jürgens",118,60,683439
"Gruppe der zwanzig wichtigsten Industrie- und Schwellenländer",108,48,638730
"Linkin Park",114,68,609195
"Nekrolog 2017",38,16,574268
"Game of Thrones",24,16,555607
"Michael Kessler",3,3,434980
"Deutschland",146,32,431932
"Fußball-Europameisterschaft der Frauen 2017",280,77,376615
"Rote Flora",123,42,367685
"Unix-Shell",0,0,311663
"O. J. Simpson",25,18,306430
"FIFA-Konföderationen-Pokal",55,32,296872
"Roger Federer",51,23,282242
"Hacker",9,6,278784
"Chris Cornell",9,7,267871
"Jutta Ditfurth",22,17,262756
"FIFA-Konföderationen-Pokal 2017",119,45,252030
"Chris Roberts (Schlagersänger)",56,48,245398
"Dunkirk (2017)",101,29,241299
"Alan Turing",8,7,233627
"Helmut Kohl",252,42,227817
"Maike Kohl-Richter",18,12,226986
"Tour de France 2017",176,48,216647
"Arnold Schwarzenegger",15,13,215887
"Angela Merkel",19,11,205692
"Käthe Kollwitz",23,18,200745
"Liste der Kfz-Kennzeichen in Deutschland",46,7,198467
"Schwarzer Block",16,11,192458
"Schlacht von Dünkirchen",5,4,189657
"Bitcoin",14,10,188428
"Grace Kelly",5,3,186579
"Enigma (Maschine)",12,10,179540
"Wikipedia",4,3,174560
"Berlin",52,13,174528
"Steffi Jones",13,8,172198
"Tour de France",24,15,169049
"Schweiz",20,14,165440
"Asperger-Syndrom",21,12,164540
"Vereinigte Staaten",34,10,163482
"Adele Bloch-Bauer I",4,4,161362
"Valerian – Die Stadt der tausend Planeten",78,27,159743
"Hamburg",21,15,157217
"Jessica Paszka",13,8,156868
"Eskimo Callboy",10,7,156708
"Präsenz",0,0,156670
"Game of Thrones/Staffel 7",91,22,156170
"Österreich",9,6,152336
"Donald Trump",113,33,149686
"Pretty Little Liars",9,9,139865
"Marshall McLuhan",26,17,137722
"Die Bestimmung – Divergent",0,0,136582
"Tote Mädchen lügen nicht (Fernsehserie)",4,3,136296
"The Walking Dead (Fernsehserie)",3,2,134446
"Die Frau in Gold (2015)",6,4,133773
"Kanada",17,10,132591
"Figuren im Lied von Eis und Feuer",5,5,131119
"Kroatien",16,14,131069
"UEFA Europa League 2017/18",142,34,130374
"Conor McGregor",33,27,127725
"Martin Landau",27,18,127492
"UEFA Champions League 2017/18",93,32,126320
"Elisabeth II.",0,0,126285
"Autonome",2,2,126159
"House of Cards (Fernsehserie)",0,0,125959
"Großes ß",17,14,124744
"Prison Break",7,7,123997
"Harrison Ford",6,5,122319
"Ed Sheeran",4,4,122102
"Cara Delevingne",5,4,121142
"Sherlock (Fernsehserie)",3,3,120581
"Orange Is the New Black",7,6,119568
"Transgender",4,4,118437
"Frankreich",18,8,118353
"American Gods (Fernsehserie)",5,3,118091
"Russland",27,18,117248
"187 Strassenbande",54,31,117058
"Grey’s Anatomy",15,12,116850
"Vikings (Fernsehserie)",6,4,116323
"The Imitation Game – Ein streng geheimes Leben",19,8,115682
"Dunja Hayali",1,1,114876
"Vampire Diaries",6,5,114171
"Malta",22,12,113860
"Adolf Hitler",18,7,113260
"Niki Lauda",4,4,112328
"John Heard",28,21,112194
"Emmanuel Macron",34,8,112122
"Italien",23,9,111581
"Zweiter Weltkrieg",27,9,111028
"Boris Becker",20,17,110457
"Joachim Meisner",92,43,110398
"Erster Weltkrieg",9,7,109882
"Babett Peter",9,9,108806
"Patrick Weber",3,3,107990
"Figuren aus dem Marvel-Universum",11,8,107641
"Spider-Man: Homecoming",130,17,106931
"Europa",1,1,106920
"Liste der IPA-Zeichen",1,1,106398
"Brigitte Macron",?,?,106236
"Carmen",?,?,105906
"Suicide Squad (Film)",?,?,105102
"The Big Bang Theory",?,?,104960
"Deutsche Fußballnationalmannschaft der Frauen",?,?,104470
"Pablo Escobar",?,?,104139
"Peter Härtling",?,?,103835
"Hand-Fuß-Mund-Krankheit",?,?,103788
"The Kelly Family",?,?,103664
"Mitgliedstaaten der Europäischen Union",?,?,103143
"Deutsche Bahn",?,?,101993
"Nelsan Ellis",?,?,100804
"Fidget Spinner",?,?,100579
"James Bond",?,?,100482
"Wilfried (Sänger)",?,?,100481
"Das Schicksal ist ein mieser Verräter (Film)",?,?,99336
"Maryam Mirzakhani",?,?,99039
"München",?,?,98521
"Verwandtschaftsbeziehung",?,?,98467
"Niederlande",?,?,98167
"Jeanne Moreau",?,?,98091
"Zitieren von Internetquellen",?,?,97524
"Google Übersetzer",?,?,97393
"Türkei",?,?,97387
"Europäische Union",?,?,97198
"Game of Thrones/Episodenliste",?,?,96904
"Elon Musk",?,?,96435
"Maria Altmann",?,?,95814
"Wien",?,?,95667
"Eurocopter Tiger",?,?,95590
"Schanzenviertel",?,?,95498
"Bayern",?,?,94870
"Marcel Kittel",?,?,94386
