Page,Edits,Editors,Views
"Tamme Hanken",117,72,882656
"Reichsbürgerbewegung",292,86,662493
"The Walking Dead (Fernsehserie)",61,41,613485
"Halloween",15,12,560836
"Nekrolog 2016",28,12,527634
"Deutschland",40,21,514304
"Manfred Krug",112,60,505366
"Wikipedia",5,5,369683
"Donald Trump",201,54,359572
"Tag der Deutschen Einheit",40,20,339977
"Bob Dylan",111,72,306387
"Viskosität",3,2,298530
"Pablo Escobar",31,21,275684
"Ralf Dümmel",15,8,272117
"Desoxyribonukleinsäure",2,2,269591
"Präsidentschaftswahl in den Vereinigten Staaten 2016",49,27,262478
"Star Wars",15,14,249143
"Reformationstag",35,24,229434
"Harry Potter",16,14,227882
"Periodensystem",0,0,226233
"Vereinigte Staaten",7,3,222505
"Harry Potter (Filmreihe)",18,12,221254
"Yvonne Catterfeld",2,2,220298
"Unix-Shell",0,0,215194
"Game of Thrones",9,8,213367
"Bhumibol Adulyadej",75,50,208664
"Martin Luther",24,15,207896
"Figuren aus dem Marvel-Universum",19,13,204139
"Comprehensive Economic and Trade Agreement",0,0,202754
"Allerheiligen",3,1,202666
"Grey’s Anatomy",21,15,196520
"Nationalfeiertag (Österreich)",16,13,190341
"Club der roten Bänder",43,17,188537
"Hillary Clinton",28,21,186285
"Erster Weltkrieg",31,8,184912
"Berlin",22,14,183220
"Schweiz",12,9,181580
"Carolina-Dosenschildkröte",14,7,176823
"Österreich",9,8,176313
"Norfloxacin",0,0,175721
"Fack ju Göhte",8,7,173329
"Sommerzeit",26,13,169624
"Mr. Robot (Fernsehserie)",24,21,164770
"Adolf Hitler",9,7,163588
"Carsten Maschmeyer",7,6,159613
"Peer Kusmagk",11,11,159318
"Victoria Swarovski",1,1,153661
"The Big Bang Theory",20,15,153311
"Liste der Torschützenkönige der Fußball-Bundesliga",2,2,152548
"Liste der Präsidenten der Vereinigten Staaten",4,4,151809
"Carolin Emcke",47,29,151154
"Sophia Thomalla",8,7,149721
"Zweiter Weltkrieg",20,5,149318
"Suicide Squad (Film)",3,2,149075
"Russland",36,24,147834
"American Horror Story",27,18,147597
"Asperger-Syndrom",3,3,145603
"Roy Black",13,10,144063
"Liste der Kfz-Kennzeichen in Deutschland",12,7,143699
"Outlander (Fernsehserie)",24,10,142352
"The Walking Dead (Fernsehserie)/Episodenliste",29,14,140875
"Stephen Hawking",6,6,140794
"Europa",4,2,140336
"James Bond",12,11,139972
"Die Insel der besonderen Kinder",63,19,139159
"Figuren aus Star Wars",35,15,138823
"The Wolf of Wall Street (2013)",5,5,135769
"BASF",39,26,135614
"Kanada",6,6,132936
"Auf Achse (Fernsehserie)",17,9,132496
"Kim Kardashian",34,22,131517
"The Walking Dead (Fernsehserie)/Staffel 6",10,7,131505
"Acetonperoxid",47,27,131296
"Flügelnüsse",1,1,130070
"Elyas M’Barek",6,5,128379
"Horrorclown-Phänomen",216,73,128183
"Alwara Höfels",8,7,127832
"Hamburg",12,12,127349
"Marvel’s Luke Cage",65,21,126635
"Facebook",6,3,125662
"Sarah Lombardi",30,22,124713
"Inferno (2016)",68,17,123170
"Helene Fischer",3,3,122900
"Island",6,5,122818
"Starterbatterie",1,1,122725
"New York City",5,5,122586
"Edward Snowden",5,5,122043
"Frank Thelen",4,4,121409
"Bayern",30,21,121340
"Mitgliedstaaten der Europäischen Union",3,3,121299
"Florian David Fitz",5,5,120081
"Transsibirische Eisenbahn",20,17,119597
"Robin Williams",6,6,119005
"Leonore Bartsch",6,3,118023
