Page,Edits,Editors,Views
"Elli Smula",53,24,2150744
"Zauberwürfel",38,26,2000562
"Star Wars: Das Erwachen der Macht",305,146,1395862
"Star Wars",163,56,1120231
"Helene Fischer",5,3,707089
"Nekrolog 2015",50,29,560599
"Deutschland",67,23,524566
"Lemmy Kilmister",88,51,481892
"Stefan Raab",38,22,471590
"The Man in the High Castle (Fernsehserie)",47,32,423866
"Figuren aus Star Wars",67,47,414760
"The Royals (Fernsehserie)",15,13,398870
"Daisy Ridley",13,11,345019
"Weihnachten",36,19,344452
"Der Hobbit (Filmtrilogie)",3,3,337660
"Macaulay Culkin",4,4,334606
"Club der roten Bänder",75,19,325653
"Frank Sinatra",29,24,296856
"Adele (Sängerin)",21,16,289335
"Mark Hamill",6,6,281908
"Krampus",15,9,272410
"Ernő Rubik",0,0,269074
"Carlo Ancelotti",82,44,262250
"Donald Trump",87,47,258380
"Nikolaus von Myra",47,30,256756
"James Bond",17,14,254410
"Islamischer Staat (Organisation)",102,46,253713
"Krieg der Sterne",13,10,250393
"The Walking Dead (Fernsehserie)",31,8,248073
"Wikipedia",48,16,247703
"B. K. S. Iyengar",41,33,244946
"The Big Bang Theory",35,19,242957
"Game of Thrones",27,16,240773
"Weihnachtsmann",27,19,229339
"Vereinigte Staaten",38,15,228024
"Fußball-Europameisterschaft 2016",78,29,226613
"Die Tribute von Panem",12,8,224274
"Carrie Fisher",3,2,220899
"Kevin – Allein zu Haus",18,10,219397
"Unix-Shell",0,0,213200
"Adam Driver",7,7,210821
"Der Herr der Ringe (Filmtrilogie)",3,3,203352
"Sonnenwende",19,9,196412
"Motörhead",35,25,195819
"Schöne Bescherung",6,5,195747
"Deutschland 83",0,0,194035
"Star Wars: Episode I – Die dunkle Bedrohung",6,6,193400
"Montenegro",12,8,193251
"Adolf Hitler",51,21,192430
"Berlin",12,10,191441
"Hero (Film)",0,0,189326
"Drei Haselnüsse für Aschenbrödel",10,8,187422
"Syrien",5,3,185923
"Harrison Ford",20,11,183343
"Der kleine Lord (1980)",7,7,180788
"Hacker",9,2,179780
"Schweiz",27,12,178635
"Ludwig van Beethoven",2,2,177898
"Fargo (Fernsehserie)",53,18,175597
"James Bond 007: Spectre",62,31,174962
"Patrick Swayze",6,5,174919
"Pablo Escobar",18,16,174850
"Hand-Fuß-Mund-Krankheit",2,2,172565
"Victoria (Vereinigtes Königreich)",4,4,170561
"Fackeln im Sturm",25,5,168724
"Otto Waalkes",8,4,168400
"Der Medicus (Film)",11,7,167316
"Russland",27,17,167042
