Page,Edits,Editors,Views
"Helmut Schmidt",185,115,1245960
"Islamischer Staat (Organisation)",139,61,1146472
"Die Tribute von Panem",46,35,1075362
"James Bond",67,42,849428
"Gutbrod (Unternehmen)",4,2,795439
"James Bond 007: Spectre",179,90,702503
"Niki Lauda",12,11,621343
"Deutschland",65,20,605658
"Nekrolog 2015",45,16,591978
"The Walking Dead (Fernsehserie)",71,11,545434
"Frida Gold",4,3,508037
"Template:GeoTemplate",?,?,486617
"James Hunt",6,4,483731
"Elo-Zahl",7,7,441433
"Terroranschläge vom 13. November 2015 in Paris",1,1,435229
"Jennifer Lawrence",31,22,426307
"Black Friday",25,14,419891
"Anonymous (Kollektiv)",38,24,406126
"Die Tribute von Panem – Catching Fire",15,11,380868
"Die Tribute von Panem – Mockingjay Teil 1",21,19,378021
"Syrien",9,9,377284
"Wladimir Klitschko",83,44,371348
"Adele (Sängerin)",24,18,357779
"Hedy Lamarr",19,15,353236
"Club der roten Bänder",104,41,342050
"Eagles of Death Metal",79,54,316238
"George Boole",36,24,316091
"The 100",25,18,313845
"Daniel Craig",14,9,304535
"Luis Trenker",10,9,302107
"Die Tribute von Panem – Mockingjay Teil 2",52,33,299152
"Die Tribute von Panem – The Hunger Games",15,12,297174
"Wikipedia",10,7,296673
"Tyson Fury",91,38,294958
"Unix-Shell",0,0,286777
"James Bond 007: Skyfall",28,20,281562
"The Walking Dead (Fernsehserie)/Episodenliste",67,27,260738
"Xavier Naidoo",210,81,252645
"The Royals (Fernsehserie)",20,13,251937
"Christoph Waltz",32,18,247634
"Facebook",10,8,241163
"Figuren aus James-Bond-Filmen",81,26,237703
"NATO",31,26,233262
"Vereinigte Staaten",32,10,229223
"Adolf Hitler",13,10,227212
"Star Wars",40,19,226949
"Thanksgiving",23,15,226576
"Lockheed F-104",11,8,226479
"Bundeskanzler (Deutschland)",16,10,225978
"Frankreich",42,27,225455
"Susanne Schmidt",0,0,224867
"The Big Bang Theory",20,13,224725
"Starfighter-Affäre",6,3,223006
"Game of Thrones",26,15,221560
"Henry Kissinger",21,16,219144
"Angela Merkel",50,21,216832
"Andreas Bourani",24,16,212627
"Suchoi Su-24",42,29,210704
"Mali",23,14,208641
"Berlin",39,19,206559
"X-Men (Filmreihe)",2,2,206461
"Charlie Sheen",26,19,202887
"Bürgerkrieg in Syrien",0,0,201560
"Dorothea Christiane Erxleben",45,34,200081
"Abu Bakr al-Baghdadi",31,21,199526
"Helene Fischer",13,10,197444
"Guy Fawkes",8,7,195776
"Vitali Klitschko",13,9,195607
"Martinstag",51,20,194764
"Django Unchained",12,11,192854
"Kaki",5,4,192163
"Tim Oliver Schultz",5,5,192033
"Schweiz",19,7,190311
"Deutschland 83",0,0,185924
"Weltbevölkerung",2,2,185333
"Steve Jobs",4,3,184893
"Periodensystem",1,1,183318
"Russland",13,9,183044
"Österreich",40,30,182384
"Zweiter Weltkrieg",10,6,179720
"Paris",25,15,178487
"Léa Seydoux",11,8,177194
"Harry Potter",19,13,175924
"Islam",13,10,174967
"Mitgliedstaaten der Europäischen Union",3,3,172158
"Figuren aus dem Marvel-Universum",35,21,172054
"Bataclan",135,52,171345
"Terroranschläge am 13. November 2015 in Paris",2389,512,170902
"Terroranschläge am 11. September 2001",13,7,169554
"Hand-Fuß-Mund-Krankheit",1,1,166150
"Buß- und Bettag",22,14,164011
"Türkei",10,8,163523
"Erster Weltkrieg",36,10,162250
"Johnny Cash",6,2,160966
"Philip Seymour Hoffman",2,2,160408
"Star Wars: Das Erwachen der Macht",45,29,158486
"Harry Potter (Filmreihe)",1,1,158470
"Mark Zuckerberg",17,16,156002
"Marseillaise",17,13,155057
"Halloween",5,5,153850
"Albert Einstein",?,?,152042
"Pablo Escobar",?,?,149763
"Europäische Union",?,?,149237
"Liam Hemsworth",?,?,148766
"Loki Schmidt",?,?,147641
"Mr. Robot (Fernsehserie)",?,?,147532
"Fußball-Europameisterschaft 2016",?,?,144342
"Leni Riefenstahl",?,?,142537
"Tuberkulose",?,?,142419
"Martin Luther",?,?,141633
"Rush – Alles für den Sieg",?,?,141155
"Australopithecus afarensis",?,?,139579
"Two and a Half Men",?,?,138702
"Johann Wolfgang von Goethe",?,?,138629
"Anschlag auf Charlie Hebdo",?,?,138035
"Myanmar",?,?,135816
"Jesiden",?,?,135813
"X-Men: Erste Entscheidung",?,?,135777
"James Bond 007: Ein Quantum Trost",?,?,135770
"Intersexualität",?,?,134446
"Grey’s Anatomy",?,?,134361
"Panavia Tornado",?,?,134040
"Monica Bellucci",?,?,134038
"New York City",?,?,132096
"Kanada",?,?,130301
"Hamburg",?,?,129365
"Google",?,?,128960
"Josh Hutcherson",?,?,128893
"Kogalymavia-Flug 9268",?,?,128565
"Terence Hill",?,?,127560
"Baschar al-Assad",?,?,127497
"Europa",?,?,126717
"Australien",?,?,123546
"Bud Spencer",?,?,123312
"Downton Abbey",?,?,122553
"Z Nation",?,?,121644
"Asperger-Syndrom",?,?,120780
"Damian Hardung",?,?,120259
"Norbert Gastell",?,?,120193
"Belgien",?,?,119962
"Berliner Mauer",?,?,119677
"Klaus Kinski",?,?,119465
"Fargo (Fernsehserie)",?,?,119241
"Michael Fassbender",?,?,118761
"Charles de Gaulle (R 91)",?,?,118759
"American Horror Story",?,?,118675
"Günter Schabowski",?,?,118635
"Breaking Bad",?,?,118504
"Enissa Amani",?,?,117929
"Helmut Kohl",?,?,117580
"Starfighter – Sie wollten den Himmel erobern",?,?,117028
"YouTube",?,?,116562
"Multiple Sklerose",?,?,116433
"Thomas de Maizière",?,?,116417
"Sex",?,?,116166
"Rea Garvey",?,?,115891
"Bundespräsident (Deutschland)",?,?,115824
"Navy CIS",?,?,115567
"Bob Ross (Maler)",?,?,115446
"Chris Hemsworth",?,?,114595
"Sean Connery",?,?,114555
"Alternative für Deutschland",?,?,113602
"Italien",?,?,113336
"Indien",?,?,112677
"Sankt Martin",?,?,112644
"Silbermond",?,?,111426
"Bundeswehr",?,?,111373
"Ausnahmezustand",?,?,111266
"Konfektionsgröße",?,?,111227
"Elysium (2013)",?,?,110601
"Schlüssel",?,?,110442
"Jonah Lomu",?,?,109670
"Schweden",?,?,109414
"Marvel’s Jessica Jones",?,?,109173
"Sophia Thomalla",?,?,109118
"Volksrepublik China",?,?,108929
"Maria Furtwängler",?,?,108846
"Borderline-Persönlichkeitsstörung",?,?,108403
"Wolfgang Schäuble",?,?,108249
"Carolin Kebekus",?,?,108039
"Pfeiffer-Drüsenfieber",?,?,106720
"Israel",?,?,106394
"Iran",?,?,106097
"Luise Befort",?,?,105795
"London",?,?,105607
"Sunniten",?,?,105457
"Flüchtlingskrise in Europa 2015",?,?,105253
"The Voice of Germany",?,?,105151
"Bruce Willis",?,?,105096
"Liste der Kfz-Kennzeichen in Deutschland",?,?,105018
"Johnny Depp",?,?,104769
"Robert Geiss",?,?,104647
"Polen",?,?,104372
"Afghanistan",?,?,103887
"9. November",?,?,103693
"NATO-Doppelbeschluss",?,?,103684
"Liste der IPA-Zeichen",?,?,103283
"Krätze",?,?,103202
"Jürgen Todenhöfer",?,?,103130
"Salafismus",?,?,103003
"Reichsbürgerbewegung",?,?,102638
"München",?,?,102580
"Mark Benecke",?,?,102451
"Martin von Tours",?,?,102337
"Supernatural",?,?,101742
"Leonardo DiCaprio",?,?,101578
"Island",?,?,101428
"Advent",?,?,101135
"Napoleon Bonaparte",?,?,100955
"Pegida",?,?,100856
"Elizabeth Banks",?,?,100846
"Bayern",?,?,100813
"Der Hobbit (Filmtrilogie)",?,?,100750
"Kalaschnikow",?,?,100724
"Kalifat",?,?,100385
"Saudi-Arabien",?,?,100317
"Quentin Tarantino",?,?,100252
"Autismus",?,?,99892
"Vagina",?,?,99888
"Liste der Länder Europas",?,?,99667
"Köln",?,?,99603
"Eiffelturm",?,?,99437
"Vereinigtes Königreich",?,?,99372
"The Flash (Fernsehserie)",?,?,99349
"A4-Format",?,?,98916
"Guido Westerwelle",?,?,98875
"Wladimir Wladimirowitsch Putin",?,?,98725
"Fear the Walking Dead",?,?,98476
"Vereinte Nationen",?,?,98242
"Schizophrenie",?,?,98151
"Willy Brandt",?,?,98069
"Liste der Großstädte in Deutschland",?,?,97978
"Rote Armee Fraktion",?,?,97866
"Stephen Hawking",?,?,97562
"Internet Movie Database",?,?,97531
"Spanien",?,?,97091
"Scharlach",?,?,96680
"Niederlande",?,?,95830
