Page,Edits,Editors,Views
"Alice Weidel",168,78,1079815
"Bundestagswahl 2017",433,165,803694
"Alternative für Deutschland",122,73,627863
"Alexander Gauland",81,53,610223
"Christian Lindner",63,39,571377
"Deutschland",16,11,561308
"Angela Merkel",23,17,552296
"Frauke Petry",66,39,541204
"Nekrolog 2017",4,4,533366
"Sahra Wagenknecht",23,15,488482
"Game of Thrones",20,17,440506
"Es (2017)",99,43,382072
"Martin Schulz",86,51,369628
"Hugh Hefner",30,24,369081
"Bundestagswahl 2013",29,22,351955
"Stephen Kings Es",8,6,333552
"Unix-Shell",4,4,306774
"Heiner Geißler",131,64,289105
"Nordkorea",13,10,272669
"Patrick Weber",0,0,270080
"Bertram Brenig",1,1,257204
"Pablo Escobar",15,10,250367
"Die Linke",28,21,249263
"Freie Demokratische Partei",46,31,248762
"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",0,0,246865
"Andreas Schmidt (Schauspieler)",39,25,243630
"Hurrikan Irma",262,107,241094
"Bundeskanzler (Deutschland)",5,5,234363
"Bundestagswahl",12,12,220855
"Deutscher Bundestag",27,20,215688
"Hurrikan",12,7,214100
"Opposition (Politik)",5,4,213715
"Cali-Kartell",8,7,208327
"Katalonien",16,14,205643
"Solidaritätszuschlag",2,2,204138
"Joy Fleming",74,54,202939
"Dagmar Rosenfeld-Lindner",0,0,195561
"Marlene Marlow",0,0,193751
"Vereinigte Staaten",10,6,192011
"Cem Özdemir",8,7,187834
"Dagmar Wöhrl",4,3,186925
"Mother!",46,20,185195
"Bitcoin",18,15,184466
"Katrin Göring-Eckardt",10,9,184405
"Star Trek: Discovery",65,25,176529
"Kim Jong-un",35,25,174564
"Andrea Nahles",46,26,174225
"Schweiz",29,22,172633
"Der Marsianer – Rettet Mark Watney",8,7,172461
"Liste der Städte und Gemeinden in Rheinland-Pfalz",0,0,170584
"Jörg Meuthen",21,14,170262
"Berlin",21,16,169774
"Liste ehemaliger NSDAP-Mitglieder, die nach Mai 1945 politisch tätig waren",1,1,169512
"Narcos",12,8,169237
"Liste in Deutschland vorhandener Dampflokomotiven",17,9,166492
"Myanmar",12,9,165684
"Pretty Little Liars",13,9,165489
"Österreich",39,20,164019
"Sozialdemokratische Partei Deutschlands",34,32,161319
"Puerto Rico",20,8,159832
"Star Wars",4,3,157962
"Bernd Lucke",5,3,157682
"Kernwaffentechnik",9,5,156884
"Bündnis 90/Die Grünen",12,9,154174
"Wikipedia",2,2,152531
"Bill Skarsgård",7,6,152309
"The Rolling Stones",7,5,147995
"Liste der Kfz-Kennzeichen in Deutschland",7,3,146878
"Rohingya",41,25,146691
"Björn Höcke",15,13,145734
"Gerhard Schröder",19,16,145729
"Terroranschläge am 11. September 2001",2,2,143164
"Christlich Demokratische Union Deutschlands",7,5,142493
"Manuela Schwesig",17,13,140056
"Präsenz",0,0,139658
"Stephen King",2,2,139374
"Bundestagswahl 2009",2,2,139267
"Vikings (Fernsehserie)",8,8,139155
"Ländervorwahlliste sortiert nach Nummern",1,1,137763
"Game of Thrones/Staffel 7",7,7,137477
"Vietnamkrieg",10,5,135224
"Jamaika-Koalition",22,16,133355
"Bundespräsident (Deutschland)",11,8,133317
"Wolfgang Schäuble",14,13,133205
"Adolf Hitler",23,12,131402
"Europa",2,2,131116
"Carsten Maschmeyer",11,11,130512
"Erster Weltkrieg",10,2,128393
"Zweiter Weltkrieg",25,7,127349
"Beatrix von Storch",14,12,127240
"Nazan Eckes",10,7,126533
"Australien",49,31,126442
"Es (Roman)",10,9,125444
"Oktoberfest",37,17,124261
"Figuren im Lied von Eis und Feuer",4,4,122285
"Oskar Lafontaine",4,4,122282
"Russland",28,21,120342
"Karl-Theodor zu Guttenberg",1,1,120207
"Bundestagswahl 2005",2,2,119861
"Hamburg",24,16,115761
