Page,Edits,Editors,Views
"Italien",14,8,1184766
"Donald Trump",492,129,1103502
"Kader Loth",50,35,1091652
"Shirin David",45,19,1058618
"Florian Wess",45,29,773918
"Hanka Rackwitz",65,36,772437
"Polenfeldzug",0,0,684158
"Martin Schulz",130,57,663947
"Deutschland",109,24,644361
"Marc Terenzi",49,30,614619
"Nekrolog 2017",49,22,608510
"Elbphilharmonie",165,86,552535
"Ich bin ein Star – Holt mich hier raus!",51,15,506404
"Nicole Mieth",35,17,410783
"Game of Thrones",20,15,388486
"Handball-Weltmeisterschaft der Männer 2017",499,76,383442
"Melania Trump",99,41,381473
"Gina-Lisa Lohfink",31,13,371082
"Roger Federer",26,15,369649
"Alexander Keen",33,22,363339
"Thomas Häßler",31,24,363178
"Vereinigte Staaten",43,24,335182
"Roman Herzog",114,75,326455
"Liste in Deutschland vorhandener Dampflokomotiven",7,4,320687
"Barack Obama",27,20,310745
"Liste der Präsidenten der Vereinigten Staaten",67,42,306196
"The Man in the High Castle (Fernsehserie)",20,17,299109
"Unix-Shell",0,0,293821
"Wikipedia",8,7,288046
"Michelle (Sängerin)",11,10,280557
"Limitless (Fernsehserie)",15,10,277613
"Russland",31,24,277321
"Bessie Coleman",28,23,277119
"The Big Bang Theory",30,22,272229
"Australien",153,21,267885
"La La Land (Film)",62,23,262176
"Markus Majowski",31,24,254725
"John Hurt",58,39,250912
"Vikings (Fernsehserie)",26,12,246330
"Adolf Hitler",5,5,232657
"Mercedes-Benz Baureihe 204",0,0,232625
"Sarah Joelle Jahnel",33,18,231171
"Asperger-Syndrom",8,8,230726
"Sigmar Gabriel",66,37,226502
"Frl. Menke",51,26,223753
"Botox-Boys",4,4,221084
"Rogue One: A Star Wars Story",35,25,214714
"Sherlock (Fernsehserie)",41,17,209533
"Brasilien",16,11,207157
"The Walking Dead (Fernsehserie)",13,12,205917
"Bundespräsident (Deutschland)",20,8,205917
"Österreich",9,9,204808
"Miguel Ferrer",25,21,202772
"Hacker",3,2,201969
"Berlin",16,8,201625
"Schweiz",30,17,200944
"Erster Weltkrieg",13,5,197525
"Präsident der Vereinigten Staaten",112,51,196759
"Heilige Drei Könige",18,11,196565
"Björn Höcke",201,58,195855
"Zweiter Weltkrieg",46,5,193706
"Stephen Hawking",4,3,193136
"Ich bin ein Star – Holt mich hier raus! (Staffel 11)",?,?,192932
"Split (Film)",65,31,192758
"Helmut Berger",5,3,185987
"Josefine Preuß",5,4,185401
"Angela Merkel",36,18,185295
"Star Wars",22,17,185289
"Sonja Zietlow",6,5,184653
"Emma Stone",11,10,184497
"Rafael Nadal",19,11,182795
"Ryan Gosling",11,10,181465
"Der große Gatsby",0,0,179722
"Periodensystem",0,0,178606
"Jens Büchner",57,22,176920
"Elisabeth II.",1,1,176383
"Europa",5,4,175683
"Ivanka Trump",22,17,174790
"Elisabeth von Österreich-Ungarn",11,2,174492
"Kanada",5,2,173785
"Klaus Wildbolz",73,47,172410
"Abtreibung",0,0,170824
"Sarah Connor",26,14,170259
"Pompeji",13,11,170182
"Gil Ofarim",16,11,169603
"Passengers (2016)",72,32,169415
"Elvis Presley",1,1,168814
"Prison Break",13,10,167033
"Der Pate (Film)",27,14,166911
"Super Bowl",20,13,163828
"Kingsman: The Secret Service",14,7,163381
"Udo Ulfkotte",106,56,162360
"Das Sacher",22,14,161409
"Oscarverleihung 2017",117,29,160842
"ApeCrime",69,40,158505
"Prometheus – Dunkle Zeichen",3,3,153510
"NATO",25,19,153259
"Grey’s Anatomy",9,7,153021
"James Bond",7,7,152542
"Suicide Squad (Film)",3,2,151698
"Martin Luther",?,?,151396
"Pablo Escobar",?,?,150533
"Zäpfchen",?,?,148004
"Europäische Union",?,?,147081
"Hamburg",?,?,146048
"American Horror Story",?,?,144967
"Harry Potter",?,?,144532
"Bitcoin",?,?,143016
"Pretty Little Liars",?,?,142965
"Super Bowl LI",?,?,142134
"H.P. Baxxter",?,?,140717
"Bares für Rares",?,?,140393
"Figuren aus Star Wars",?,?,139669
"Transcendence (Film)",?,?,137954
"Indien",?,?,136762
"Chelsea Manning",?,?,136726
"Frankreich",?,?,136679
"David Bowie",?,?,136250
"Leonardo DiCaprio",?,?,135629
"Figuren aus dem Marvel-Universum",?,?,135387
"Ivana Trump",?,?,135347
"Michael Fassbender",?,?,135259
"Meryl Streep",?,?,135081
"Sahra Wagenknecht",?,?,134748
"Harry Potter (Filmreihe)",?,?,134739
"Chinesische Mauer",?,?,134723
"Jennifer Lawrence",?,?,134010
"Dieter Bohlen",?,?,132949
"New York City",?,?,131311
"Zirkumzision",?,?,130626
"Supernatural",?,?,130289
