Page,Edits,Editors,Views
"Game of Thrones",46,30,865934
"Nekrolog 2017",4,3,570284
"Der Minister",0,0,501514
"Deutschland",48,15,452912
"Game of Thrones/Staffel 7",128,44,450216
"Guam",27,24,448955
"Diana, Princess of Wales",30,22,336529
"Bertram Brenig",1,1,315138
"Jerry Lewis",51,39,302236
"Jens Hilbert (Unternehmer)",71,37,300114
"Milo Moiré",32,25,293055
"Hacker",13,4,289954
"Fipronil",153,56,277715
"Conor McGregor",39,32,272308
"Floyd Mayweather junior",0,0,244634
"Leichtathletik-Weltmeisterschaften 2017",290,58,241968
"Nordkorea",19,10,237144
"Usain Bolt",23,15,229396
"Game of Thrones/Episodenliste",13,10,220857
"Figuren im Lied von Eis und Feuer",10,7,218965
"Liste der Kfz-Kennzeichen in Deutschland",10,3,213677
"Dunkirk (2017)",58,25,212998
"Bitcoin",26,19,207933
"Elvis Presley",31,18,203268
"UEFA Champions League 2017/18",87,31,197990
"Patrick Weber",0,0,194255
"UEFA Europa League 2017/18",134,31,190658
"Vereinigte Staaten",23,9,190188
"Sarah Kern",32,21,182407
"Lucifer (Fernsehserie)",12,9,179363
"Schweiz",44,25,178709
"Willi Herren",12,5,174907
"Air Berlin",204,43,173999
"Emilia Clarke",9,9,170751
"Bundestagswahl 2017",103,39,170202
"Angela Merkel",12,11,168958
"Abgasnorm",10,9,165322
"Planet der Affen",0,0,163718
"Berlin",11,8,161082
"Österreich",15,10,156392
"Wikipedia",7,5,154851
"Schlacht von Dünkirchen",9,5,153223
"Präsenz",0,0,152196
"Pretty Little Liars",10,8,149660
"Neymar",51,25,148594
"Zachi Noy",20,14,147799
"Donald Trump",108,57,144975
"Kim Jong-un",2,2,144438
"Ländervorwahlliste sortiert nach Nummern",0,0,143893
"Planet der Affen (1968)",8,6,140602
"Europa",0,0,138852
"Großer Perlmutterfalter",0,0,131539
"Wespenspinne",4,4,131239
"Alice Weidel",36,18,131224
"Caster Semenya",16,11,131157
"Sonnenfinsternis vom 21. August 2017",31,21,130073
"Vikings (Fernsehserie)",2,2,128632
"Sarah Knappik",15,12,126932
"Der Dunkle Turm",5,4,126896
"Elke Twesten",222,76,126418
"Patrick Swayze",6,4,125481
"Unix-Shell",0,0,125391
"Arnold Schwarzenegger",15,13,123302
"Kroatien",4,4,122203
"Elisabeth II.",0,0,119914
"Zweiter Weltkrieg",10,4,119207
"Kit Harington",5,4,118833
"Hamburg",36,29,118724
"Sam Shepard",16,10,117378
"Zehnkampf",11,3,116514
"Margot Hielscher",33,23,115810
"Leichtathletik-Weltmeisterschaften 2017/Medaillenspiegel",96,13,115465
"Rudolf Heß",27,9,115441
"Cara Delevingne",7,6,115159
"Sahra Wagenknecht",4,3,112646
"Adolf Hitler",15,12,112600
"Elon Musk",7,6,112165
"Russland",18,15,112101
"The Big Bang Theory",13,8,110547
"Erster Weltkrieg",20,5,109169
"Promi Big Brother",91,41,109023
"Joanne K. Rowling",2,2,108344
"Frankreich",5,5,108237
"Michael Herbig",6,5,107719
"Malta",9,9,107417
"Verwandtschaftsbeziehung",5,4,107045
"The Walking Dead (Fernsehserie)",9,9,106924
"Figuren aus dem Marvel-Universum",6,5,106606
"Roland Kaiser",0,0,105489
"Kanada",9,5,105417
"Indien",34,16,105005
"Italien",7,6,104997
"Dodi Al-Fayed",9,3,104675
"Australien",29,22,104289
"James Bond",5,5,104251
"Prison Break",8,6,103829
"Liste der IPA-Zeichen",5,5,103383
"Das Lied von Eis und Feuer",3,1,103159
"Frauke Petry",47,25,102788
"House of Cards (Fernsehserie)",0,0,102603
"Liste der Sonnenfinsternisse des 21. Jahrhunderts",?,?,102312
"Hochzeitstag",?,?,102001
"Google Übersetzer",?,?,100470
"Niederlande",?,?,99799
"Hornisse",?,?,99709
"Mitgliedstaaten der Europäischen Union",?,?,99199
"Pablo Escobar",?,?,99141
"Asperger-Syndrom",?,?,99139
"Mariä Aufnahme in den Himmel",?,?,99130
"Ku-Klux-Klan",?,?,98882
"Niki Luftfahrt",?,?,98385
"Tote Mädchen lügen nicht (Fernsehserie)",?,?,97868
"Island",?,?,96874
"Wien",?,?,95959
"Fußball-Europameisterschaft der Frauen 2017",?,?,95754
"Dwayne Johnson",?,?,95595
"München",?,?,95280
"American Horror Story",?,?,94946
"Suits (Fernsehserie)",?,?,94807
"Aida (Oper)",?,?,94784
"Amyotrophe Lateralsklerose",?,?,94516
"Chester Bennington",?,?,94413
"Star Wars",?,?,94146
"Liste der Großstädte in Deutschland",?,?,93703
"Michael Schumacher",?,?,93117
"Liste in Deutschland vorhandener Dampflokomotiven",?,?,92922
"Valerian – Die Stadt der tausend Planeten",?,?,92567
"Der Lehrer (Fernsehserie)",?,?,92327
"Robert Hardy",?,?,92322
"Linkin Park",?,?,92236
"Orange Is the New Black",?,?,92118
"Maisie Williams",?,?,91904
"Dustin Hoffman",?,?,91402
"Bayern",?,?,91365
"Planet der Affen: Survival",?,?,90900
"Bazooka",?,?,90526
"Vereinigtes Königreich",?,?,90319
"Volksrepublik China",?,?,90202
"Helena Fürst",?,?,89963
"DFL-Supercup",?,?,89785
"Koreakrieg",?,?,89679
"Vampire Diaries",?,?,89677
"New York City",?,?,89587
"Dirty Dancing",?,?,89491
"100-Meter-Lauf",?,?,88807
"This Is Us – Das ist Leben",?,?,88480
"Orphan Black",?,?,88351
"Christian Lindner",?,?,87939
"Ousmane Dembélé",?,?,87886
"Marvel’s The Defenders",?,?,87655
"Dänemark",?,?,87516
"Wladimir Klitschko",?,?,87323
"Margos Spuren",?,?,86953
"Leonardo DiCaprio",?,?,86721
"Norwegen",?,?,85882
"Justin Gatlin",?,?,85710
"Michael Jackson",?,?,85628
"Silvia Andersen",?,?,85582
"Eis am Stiel (Film)",?,?,85535
"Spanien",?,?,85470
"Kim Wall (Journalistin)",?,?,85333
"Eloy de Jong",?,?,85255
"Jennifer Grey",?,?,85168
"Robert Edward Lee",?,?,85082
"Singapur",?,?,85074
"Schweden",?,?,84819
"Bruce Lee",?,?,84417
"Mila Kunis",?,?,83721
"Claudia Obert",?,?,83350
"Julia Roberts",?,?,83244
"Harry Potter",?,?,83241
"50+1-Regel",?,?,83137
"Ziehung der Lottozahlen",?,?,83061
"Deutsch",?,?,83052
"Peter Madsen (Ingenieur)",?,?,82934
"Gesa Felicitas Krause",?,?,82789
"Bodensee",?,?,82418
"Periodensystem",?,?,82348
"Vanessa Mai",?,?,82204
"Venezuela",?,?,82139
"Europäische Union",?,?,81959
"Tom Cruise",?,?,81819
"Jason Statham",?,?,81725
"Polen",?,?,81690
"Sagrada Família",?,?,81480
"Klaus Kinski",?,?,81024
"Nordrhein-Westfalen",?,?,80981
"Islamischer Staat (Organisation)",?,?,80975
"187 Strassenbande",?,?,80846
"Mireille Darc",?,?,80471
"Paris Saint-Germain",?,?,80470
"Bares für Rares",?,?,80362
"X-Men (Filmreihe)",?,?,80191
"VW Golf VII",?,?,80053
"Vagina",?,?,79838
"Für immer Adaline",?,?,79580
"Sophie Turner",?,?,79494
"Jesus von Nazaret",?,?,79292
"Bundeskanzler (Deutschland)",?,?,78887
"Marilyn Monroe",?,?,78808
"RMS Titanic",?,?,78705
"Türkei",?,?,78664
"Culotte",?,?,78534
"Hans Rudolf Wöhrl",?,?,78514
"Peter Dinklage",?,?,78339
"Konfektionsgröße",?,?,78224
"Borderline-Persönlichkeitsstörung",?,?,78184
"Myanmar",?,?,78071
"Gardasee",?,?,78023
"Breaking Bad",?,?,77909
"Dean Martin",?,?,77736
"Das erstaunliche Leben des Walter Mitty",?,?,77732
"Jennifer Lawrence",?,?,77705
"Köln",?,?,77438
"Stoker (Film)",?,?,77072
"Incoterms",?,?,77064
"Blockchain",?,?,76852
"Atombombenabwürfe auf Hiroshima und Nagasaki",?,?,76833
"Internet Movie Database",?,?,76807
"Lufthansa",?,?,76748
"Ozark (Fernsehserie)",?,?,76702
"Sherlock (Fernsehserie)",?,?,76278
"Alternative für Deutschland",?,?,75917
"Helene Fischer",?,?,75839
"John J. Pershing",?,?,75822
"Alexander Zverev",?,?,75760
"Eminem",?,?,75659
"Japan",?,?,75600
"Frankfurt am Main",?,?,75555
"Planet der Affen (2001)",?,?,75553
"Bipolare Störung",?,?,75517
"Rose Leslie",?,?,75353
"Bundespräsident (Deutschland)",?,?,75075
"RAF Camora",?,?,75059
"Christian Tramitz",?,?,74949
"Cristiano Ronaldo",?,?,74928
"Liste der Darsteller der Fernsehserie Game of Thrones",?,?,74840
"Solidaritätszuschlag",?,?,74753
"Wacken Open Air",?,?,74652
"Bullyparade – Der Film",?,?,74643
"Weltwunder",?,?,74584
"Martin Luther",?,?,74453
"Supernatural",?,?,74445
"Baden-Württemberg",?,?,74318
"Christoph Kolumbus",?,?,74282
"Napoleon Bonaparte",?,?,74268
"Barcelona",?,?,74074
"Peter Kraus",?,?,74029
"Dieter Hallervorden",?,?,74018
"Martin Schulz",?,?,73860
"Google",?,?,73660
"Philip, Duke of Edinburgh",?,?,73515
"Airbus A380",?,?,73413
"Evelyn Hamann",?,?,73288
"Schizophrenie",?,?,73223
"Blake Lively",?,?,72950
"Niedersachsen",?,?,72928
"FC Bayern München",?,?,72898
"Louis de Funès",?,?,72761
"Dienstgrade der Bundeswehr",?,?,72673
"Geschlechtsverkehr",?,?,72574
"Fast Castle",?,?,72555
"Schlacht von Stalingrad",?,?,72201
"Brunzhose",?,?,71890
"Lena Headey",?,?,71782
"Sean Connery",?,?,71776
"AdBlue",?,?,71668
"Buchsbaumzünsler",?,?,71351
"Siebenkampf",?,?,71152
"Houston",?,?,71038
"Große Winkelspinne",?,?,71034
"Tom Hardy",?,?,71033
"BDSM",?,?,71003
"Johann Wolfgang von Goethe",?,?,70672
"Die Rosenheim-Cops",?,?,70474
"Victoria (Vereinigtes Königreich)",?,?,70471
"Instagram",?,?,70461
"Schutzart",?,?,70414
"Neuseeland",?,?,70402
"Irena Sendler",?,?,70329
"Dachauer Dora-Prozess",?,?,70272
"Krake ZK 14",?,?,70198
"The Beatles",?,?,70129
"Ingo Nommsen",?,?,70020
"Alexander Gauland",?,?,69886
"Gina Lückenkemper",?,?,69843
"Bondo GR",?,?,69751
"Scarlett Johansson",?,?,69366
"Südkorea",?,?,69278
"Navy CIS",?,?,69014
"Sting",?,?,68983
"Albert Einstein",?,?,68881
"Irland",?,?,68669
"Leipzig",?,?,68650
"Escape Plan",?,?,68632
"Dunja Hayali",?,?,68448
"Liste der Präsidenten der Vereinigten Staaten",?,?,68331
"Tom Ellis",?,?,68226
"Lost (Fernsehserie)",?,?,68200
"Stephen King",?,?,68039
"Doctor Who",?,?,68020
"Sardinien",?,?,67977
"Gotham (Fernsehserie)",?,?,67797
"Grönland",?,?,67794
"Weibliche Ejakulation",?,?,67674
"Ed Sheeran",?,?,67645
"Slowenien",?,?,67606
"MDMA",?,?,67456
"Rückkehr zum Planet der Affen",?,?,67431
"Tschechien",?,?,67360
"Abgasskandal",?,?,67280
"Liechtenstein",?,?,67180
"Luxemburg",?,?,67080
"Vietnamkrieg",?,?,66996
"American Hustle",?,?,66938
"Sonnenfinsternis",?,?,66884
"Israel",?,?,66804
"London",?,?,66735
"Liste der Staaten der Erde",?,?,66660
"Pavee",?,?,66650
"Deutsche Bahn",?,?,66572
"Rumänien",?,?,66543
"Tuberkulose",?,?,66462
"Hand-Fuß-Mund-Krankheit",?,?,66399
"Elyas M’Barek",?,?,66316
"Two and a Half Men",?,?,66285
"Shameless (US-amerikanische Fernsehserie)",?,?,66252
"Terence Hill",?,?,66144
"Maria Hering",?,?,66124
"Ludwig XIV.",?,?,66123
"Vulva",?,?,66108
"Gilmore Girls",?,?,65976
"Niccolò Paganini",?,?,65766
"Sezessionskrieg",?,?,65654
"Riverdale (Fernsehserie)",?,?,65538
"Airbus-A320-Familie",?,?,65529
"Sibel Kekilli",?,?,65317
"Rhein",?,?,65027
"Schatten der Wahrheit",?,?,64993
"Land (Deutschland)",?,?,64945
"Berliner Mauer",?,?,64767
"Rote Armee Fraktion",?,?,64695
"Die Reifeprüfung",?,?,64596
"Grey’s Anatomy",?,?,64490
"Liste von Terroranschlägen",?,?,64382
"The Strain (Fernsehserie)",?,?,64290
"Indonesien",?,?,64267
"Mauritius",?,?,64136
"Ringelnatter",?,?,64109
"Pakistan",?,?,64066
