Page,Edits,Editors,Views
"FIFA-Konföderationen-Pokal 2017",275,106,767880
"Helmut Kohl",310,88,753583
"Pfingsten",11,10,666919
"Fronleichnam",5,4,665332
"Nekrolog 2017",29,10,545989
"Deutschland",150,30,495177
"FIFA-Konföderationen-Pokal",15,13,452434
"Fidget Spinner",29,18,437894
"Katar",67,40,366335
"Unix-Shell",0,0,346056
"Otto Warmbier",137,62,341796
"Maike Kohl-Richter",36,31,332282
"Gunter Gabriel",83,51,312136
"San Marino",8,8,299912
"The Kelly Family",23,6,264254
"Sherlock (Fernsehserie)",40,23,262546
"American Gods (Fernsehserie)",44,15,255715
"Cristiano Ronaldo",50,14,236190
"Ariana Grande",8,7,226753
"Hannelore Kohl",37,20,224970
"Game of Thrones",7,6,224026
"Covfefe",76,28,217901
"Gil Ofarim",15,11,203510
"Gentleman (Musiker)",6,5,202860
"Helene Fischer",26,18,200083
"Walter Kohl (Unternehmer)",28,12,199736
"Grenfell Tower",548,164,199307
"Donald Trump",140,32,198424
"Orange Is the New Black",56,30,197580
"Berlin",10,9,194447
"Wikipedia",10,9,193924
"Peter Kohl (Unternehmer)",7,6,189492
"Michael Patrick Kelly",32,19,184275
"Gal Gadot",15,9,181317
"Vereinigte Staaten",15,9,179287
"Prison Break",6,6,177866
"House of Cards (Fernsehserie)",0,0,175471
"Gebäudeklasse",1,1,174006
"Angela Merkel",17,13,171648
"Vanessa Mai",15,14,167658
"U-21-Fußball-Europameisterschaft 2017",166,28,167083
"4 Blocks",13,10,165588
"Moses Pelham",12,5,165523
"Schweiz",36,22,160909
"Wonder Woman (2017)",91,35,160854
"Bitcoin",29,19,160212
"Gilbert Baker (Künstler)",35,27,152913
"Bundeskanzler (Deutschland)",12,12,151958
"Österreich",12,7,151362
"Mikael Nyqvist",18,12,150939
"Präsenz",0,0,150805
"Tote Mädchen lügen nicht (Fernsehserie)",9,8,150358
"Fußball-Weltmeisterschaft 2018",30,20,149812
"Friedrich Schiller",6,3,148959
"Lena Meyer-Landrut",35,10,147415
"Harry Potter",0,0,146063
"Liste der Kfz-Kennzeichen in Deutschland",10,10,145634
"Hacker",28,2,142424
"UEFA Champions League",46,25,139793
"Jessica Paszka",8,5,137836
"Italien",6,5,137648
"Rafael Nadal",48,18,137416
"Gerippter Brachkäfer",7,5,137219
"Russland",13,9,136369
"Pretty Little Liars",32,18,136327
"Botulismus",8,7,135833
"G20-Gipfel in Hamburg 2017",224,47,134848
"Adam West",27,23,134456
"Boris Becker",40,17,134380
"Terminator: Genisys",5,4,132992
"Großes ß",57,42,132045
"Hamburg",17,17,131779
"Ramadan",12,6,131614
"Bushido (Rapper)",5,4,131565
"Grey’s Anatomy",26,15,131545
"Braunschlag",1,1,130362
"Prodigy (Rapper)",16,11,130159
"Roger Federer",41,11,129463
"Islamischer Staat (Organisation)",70,39,129410
"Lilly Becker",11,8,129010
"Mata Hari",3,3,127338
"Zweiter Weltkrieg",22,7,126772
"Adolf Hitler",10,9,126564
