Page,Edits,Editors,Views
"Syrien",51,36,1006859
"Template:GeoTemplate",?,?,918590
"Deutschland",79,20,683907
"Nekrolog 2015",74,12,499707
"Bürgerkrieg in Syrien",0,0,463507
"Pablo Escobar",24,17,447555
"Elyas M’Barek",45,32,433638
"Anagramm",3,3,398332
"Under the Dome (Fernsehserie)",62,26,345591
"Fack ju Göhte",11,9,306632
"RMS Titanic",4,4,290542
"Islamischer Staat (Organisation)",144,62,281484
"The Big Bang Theory",12,9,263264
"Unix-Shell",0,0,260448
"The Visit (Horrorfilm)",87,28,258106
"Fear the Walking Dead",104,33,253654
"Star Wars",28,19,250705
"Game of Thrones",14,10,245366
"Vereinigte Staaten",14,10,242816
"Angela Merkel",27,16,239018
"Volkswagen AG",80,49,231935
"Mitgliedstaaten der Europäischen Union",11,9,229589
"Stephen Hawking",8,7,223027
"Fußball-Europameisterschaft 2016",43,26,221610
"Dieter Hallervorden",34,16,220554
"Helene Fischer",15,12,220338
"Mondfinsternis",52,8,219682
"Fußball-Europameisterschaft 2016/Qualifikation",230,77,214859
"HTTP-Statuscode",3,3,209833
"The Walking Dead (Fernsehserie)",40,11,208765
"How to Get Away with Murder",9,8,207371
"Schweiz",33,7,206641
"Eazy-E",27,18,201938
"Basketball-Europameisterschaft 2015",231,54,201857
"Narcos",23,16,201690
"Flüchtlingskrise in Europa 2015",0,0,201353
"Österreich",24,19,193952
"Wikipedia",5,4,191295
"Martin Winterkorn",58,49,186384
"Terroranschläge am 11. September 2001",10,7,185580
"Europäische Union",50,22,184954
"Pain & Gain",19,11,182131
"Berlin",21,11,180439
"Tim Berners-Lee",4,4,180315
"Fack ju Göhte 2",123,47,180071
"Dr. Dre",8,5,178492
"Frank Thelen",8,8,174568
"Baschar al-Assad",10,8,172846
"Titanic (1997)",7,5,170374
"Hellmuth Karasek",104,49,165788
"Steve Jobs",1,1,165172
"Oktoberfest",53,33,163532
"Schengener Abkommen",29,21,161731
"Harry Potter",12,8,161404
"Google",55,40,160159
"Asperger-Syndrom",10,6,160143
"Jella Haase",11,6,159071
"N.W.A",24,9,159039
"Australien",10,6,157786
"Zweiter Weltkrieg",77,6,156289
"Palina Rojinski",16,11,153625
"Liste der Kfz-Kennzeichen in Deutschland",9,6,153059
"Islamisches Opferfest",11,11,152483
"Ungarn",5,3,152432
"Elisabeth II.",29,13,150637
"Adolf Hitler",11,4,150332
"Lencke Steiner",0,0,149779
"The Flash (Fernsehserie)",22,13,146082
"Europa",1,1,145365
"Franz Beckenbauer",25,13,145237
"Ice Cube",14,12,144161
"Russland",20,8,143677
"Maze Runner – Die Auserwählten im Labyrinth",12,6,143379
"Until Dawn",25,19,141834
"House of Cards (Fernsehserie)",0,0,140968
"James Dean",19,17,140946
"New York City",0,0,140183
"James Bond",3,3,139693
"Figuren aus Star Wars",20,14,138741
"Bertolt Brecht",37,19,138251
"Frankreich",9,7,137995
"Life of Pi: Schiffbruch mit Tiger",5,5,136648
"Singapur",19,10,136167
"Harry Potter (Filmreihe)",12,8,135062
"Gotham (Fernsehserie)",28,19,134833
"Volkswagen",38,24,134472
"Türkei",8,7,133237
"Periodensystem",0,0,132928
"Figuren aus dem Marvel-Universum",14,11,132467
"Berlin – Tag & Nacht",204,28,132011
"Zoll (Einheit)",2,2,131756
"Straight Outta Compton (Film)",12,8,131548
"Kroatien",23,17,130975
"Erster Weltkrieg",6,4,130374
"Breaking Bad",9,8,129400
"Franz Josef Strauß",38,21,128393
"Tuberkulose",8,4,123713
"Paul Walker",2,2,123568
"The 100",22,11,123353
"Borderline-Persönlichkeitsstörung",130,21,122891
"The Dark Knight Rises",?,?,122864
"Island",?,?,122101
"Weissensee (Fernsehserie)",?,?,121031
"Leonardo DiCaprio",?,?,120335
"Multiple Sklerose",?,?,119619
"Star Trek Into Darkness",?,?,118974
"Grey’s Anatomy",?,?,118967
"Bones – Die Knochenjägerin",?,?,118737
"Dirk Nowitzki",?,?,118515
"Patrick Swayze",?,?,118313
"Hamburg",?,?,118017
"Mount Everest",?,?,117681
"Eritrea",?,?,117515
"Hashtag",?,?,117505
"Italien",?,?,116633
"Forever (Fernsehserie)",?,?,115485
"Matthias Müller (Manager)",?,?,114812
"Star Wars: Episode I – Die dunkle Bedrohung",?,?,114474
"Namika",?,?,114404
"Katalonien",?,?,113743
"Pretty Little Liars",?,?,112938
"Romy Schneider",?,?,112414
"Johnny Depp",?,?,112335
"Indien",?,?,111928
"Liste der Länder Europas",?,?,111581
"Karoline Herfurth",?,?,109950
"Dirty Dancing",?,?,109425
"München",?,?,108333
"Johann Wolfgang von Goethe",?,?,108279
"Polen",?,?,107504
"Tom Hardy",?,?,107475
"Schweden",?,?,107355
"Amyotrophe Lateralsklerose",?,?,107277
"Kanada",?,?,107166
"Mad Max: Fury Road",?,?,107145
"Konfektionsgröße",?,?,106280
"Bayern",?,?,106201
"Star Trek",?,?,105946
"Judith Williams",?,?,105520
"Robert Lewandowski",?,?,105052
"Rugby-Union-Weltmeisterschaft 2015",?,?,104960
"Supernatural",?,?,104657
"Two and a Half Men",?,?,104603
"Donald Trump",?,?,104310
"Sophia Thomalla",?,?,103905
"Unglück am Mount Everest (1996)",?,?,103513
"Star Wars: Das Erwachen der Macht",?,?,103272
"Afghanistan",?,?,102846
"Sido",?,?,102744
"Avengers: Age of Ultron",?,?,101806
"Spanien",?,?,101503
"FC Bayern München",?,?,101498
"The Strain (Fernsehserie)",?,?,101081
"Kaley Cuoco",?,?,100620
"Kaaba",?,?,99630
"Köln",?,?,99218
"Tamme Hanken",?,?,98150
"Iran",?,?,97874
"Jasmine Thompson",?,?,97726
"Vereinigtes Königreich",?,?,97223
"Antoine Monot, Jr.",?,?,97218
"Daniela Katzenberger",?,?,96590
"Mekka",?,?,96370
"True Detective",?,?,96108
"2,5-Dimethoxy-4-ethylphenylethylamin",?,?,95765
"Robert Geiss",?,?,95557
"Shameless (US-Fernsehserie)",?,?,95455
"Dwayne Johnson",?,?,95445
"Lone Survivor (Film)",?,?,95129
"Liste der Großstädte in Deutschland",?,?,94025
"Suge Knight",?,?,93703
"Krätze",?,?,93557
"Vagina",?,?,93368
"Internet Movie Database",?,?,93294
"Die Tribute von Panem",?,?,92229
"Roger Federer",?,?,92169
"Max von der Groeben",?,?,92114
"Wien",?,?,92094
"Facebook",?,?,91766
"London",?,?,91513
"Vampire Diaries",?,?,91227
"Frankfurt am Main",?,?,91194
"Orange Is the New Black",?,?,90765
"Attitüde",?,?,90712
"Niederlande",?,?,90477
"Thomas Müller (Fußballspieler)",?,?,90472
"Malta",?,?,90364
"Hämorrhoiden",?,?,90291
"Islam",?,?,90112
"Prometheus – Dunkle Zeichen",?,?,89781
"VW-Abgasmanipulation in den Vereinigten Staaten",?,?,89750
"Prison Break",?,?,89742
"A4-Format",?,?,89375
"Mars (Planet)",?,?,88465
"Franz Kremer",?,?,88387
"Kosovo",?,?,88386
"Volksrepublik China",?,?,88120
"Liste der IPA-Zeichen",?,?,88049
"Miranda Leonhardt",?,?,87937
"Pfeiffer-Drüsenfieber",?,?,87735
"Bundeskanzler (Deutschland)",?,?,87300
"Eminem",?,?,87204
"Til Schweiger",?,?,86975
"Helmut Schmidt",?,?,86883
"Serbien",?,?,86707
"Nordrhein-Westfalen",?,?,86247
"Irland",?,?,85879
"Tupac Shakur",?,?,85782
"Jennifer Grey",?,?,85297
"Israel",?,?,85109
"Norwegen",?,?,84841
"Fast & Furious 7",?,?,84670
"Fast & Furious 6",?,?,84656
"Natalie Portman",?,?,84617
"Deutsche Fußballnationalmannschaft",?,?,84609
"Verwandtschaftsbeziehung",?,?,84568
"Schizophrenie",?,?,84015
"Japan",?,?,83939
"Klaas Heufer-Umlauf",?,?,83834
"Matrix (Film)",?,?,83715
"Sons of Anarchy",?,?,83430
"Transatlantisches Freihandelsabkommen",?,?,83280
"Empathie",?,?,83200
"Napoleon Bonaparte",?,?,83155
"Dennis Schröder",?,?,83114
"Mark Wahlberg",?,?,82934
"2 Broke Girls",?,?,82432
"Arnold Schwarzenegger",?,?,82277
"Jason Statham",?,?,82245
"Albert Schweitzer",?,?,82173
"MacGyver",?,?,82115
"Die Höhle der Löwen",?,?,81789
"Neuseeland",?,?,81505
"Morbus Crohn",?,?,81448
"Rumänien",?,?,81217
"Hänsel und Gretel: Hexenjäger",?,?,81187
"Dexter (Fernsehserie)",?,?,81154
"Bipolare Störung",?,?,81153
"Mond",?,?,80425
"Albert Einstein",?,?,80081
"Lucas Cordalis",?,?,79990
"Autismus",?,?,79690
"Flavia Pennetta",?,?,79545
"Berliner Mauer",?,?,79189
"Cristiano Ronaldo",?,?,78795
"UEFA Champions League",?,?,78327
"Incoterms",?,?,78288
"Dubliner Übereinkommen",?,?,78003
"K.I.Z",?,?,77786
"Josefine Preuß",?,?,77598
"Depression",?,?,77531
"Jochen Schweizer (Unternehmer)",?,?,77496
"Griechenland",?,?,77439
"Dänemark",?,?,77434
"Figuren im Star-Trek-Universum",?,?,77242
"Castle (Fernsehserie)",?,?,77240
"Albanien",?,?,77192
"Navy CIS",?,?,77088
"American Horror Story",?,?,76842
"Figuren der Harry-Potter-Romane",?,?,76811
"Johnny Galecki",?,?,76770
"Honig im Kopf",?,?,76760
"Land (Deutschland)",?,?,76750
"Toque",?,?,76690
"Geschlechtsverkehr",?,?,76641
"Saudi-Arabien",?,?,76449
"Caitlyn Jenner",?,?,76195
"Joseph M’Barek",?,?,76183
"American Football",?,?,76104
"Moldawien",?,?,75850
"Vural Öger",?,?,75848
"Tschechien",?,?,75676
"Schottland",?,?,75264
"Stefan Raab",?,?,75216
"Raumschiff Enterprise – Das nächste Jahrhundert",?,?,75208
"Vereinte Nationen",?,?,75136
"Gone Girl – Das perfekte Opfer (Film)",?,?,75113
"Primzahl",?,?,75109
"Jahreszeit",?,?,75099
"Ländervorwahlliste sortiert nach Nummern",?,?,74994
"Liste der Staaten der Erde",?,?,74903
"Baden-Württemberg",?,?,74700
"Emma Watson",?,?,74639
"BDSM",?,?,74344
"How I Met Your Mother",?,?,74312
"BMW",?,?,74253
"Haddsch",?,?,74000
"Irak",?,?,73843
"Hand-Fuß-Mund-Krankheit",?,?,73611
"Barack Obama",?,?,73406
"Heath Ledger",?,?,73224
"Novak Đoković",?,?,72936
"Belgien",?,?,72841
"Claudio Pizarro",?,?,72840
"Jake Gyllenhaal",?,?,72839
"Vikings (Fernsehserie)",?,?,72781
"Interstellar",?,?,72620
"Sex",?,?,72600
"Robin Schulz",?,?,72547
"Carolin Kebekus",?,?,72452
"Flughafen Berlin Brandenburg",?,?,72069
"Alarm für Cobra 11 – Die Autobahnpolizei",?,?,71701
"Vulva",?,?,71466
"Liam Neeson",?,?,71462
"AdBlue",?,?,71276
"Homeland (Fernsehserie)",?,?,71114
"Downton Abbey",?,?,71096
"Arrow (Fernsehserie)",?,?,71009
"Euro",?,?,70916
"World Trade Center",?,?,70707
"Rugby",?,?,70611
"The Big Bang Theory/Episodenliste",?,?,70386
"Dresden",?,?,70379
"Star Trek (2009)",?,?,70339
"Michael Schumacher",?,?,70245
"James Bond 007: Spectre",?,?,70236
"Joko Winterscheidt",?,?,70193
"Sinister (Film)",?,?,70189
"Candida Royalle",?,?,69649
"Osteopathie (Alternativmedizin)",?,?,69394
"Luxemburg",?,?,69379
"Fibromyalgie",?,?,69368
"NATO",?,?,69317
"Universal Serial Bus",?,?,69297
"Gender",?,?,69217
"Liechtenstein",?,?,69158
"Papierformat",?,?,69118
"Borussia Dortmund",?,?,69116
"Harry Potter und der Stein der Weisen (Film)",?,?,69088
"Star Wars: Episode II – Angriff der Klonkrieger",?,?,69040
"UEFA Champions League 2015/16",?,?,68970
"Channing Tatum",?,?,68920
"Eiffelturm",?,?,68860
"Suits (Fernsehserie)",?,?,68777
"AnnenMayKantereit",?,?,68681
"Bundespräsident (Deutschland)",?,?,68607
"Mila Kunis",?,?,68594
"Asylrecht (Deutschland)",?,?,68371
"Narzissmus",?,?,68365
"Tag der Deutschen Einheit",?,?,68233
"Slowenien",?,?,68006
"Audi",?,?,67971
"The Fast and the Furious (Filmreihe)",?,?,67937
"Cara Delevingne",?,?,67856
"Mad Max",?,?,67802
"Rhein",?,?,67591
"Airbus A380",?,?,67518
"Die Bestimmung – Divergent",?,?,67508
"Michael Jackson",?,?,67302
"Erde",?,?,66952
"Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch",?,?,66944
"YouPorn",?,?,66737
"Android (Betriebssystem)",?,?,66603
"RAL-Farbe",?,?,66591
"Kasachstan",?,?,66326
"Abgasnorm",?,?,66244
"Doctor Who",?,?,66082
"Grimm (Fernsehserie)",?,?,66055
"Lost (Fernsehserie)",?,?,66019
"Martin Luther",?,?,65718
"Zypern",?,?,65660
"Sherlock (Fernsehserie)",?,?,65595
"Ausweisnummer",?,?,65543
"Under the Dome (Fernsehserie)/Episodenliste",?,?,65429
"Ursula von der Leyen",?,?,65375
"The Mentalist",?,?,65352
"Ludwig XIV.",?,?,65287
"Griechisches Alphabet",?,?,65265
"Bushido (Rapper)",?,?,65262
"Liste der Disney-Filme",?,?,65226
"Neger",?,?,65189
"Jesiden",?,?,64720
"Anne Hathaway",?,?,64720
"YouTube",?,?,64719
"Hashimoto-Thyreoiditis",?,?,64713
"Masturbation",?,?,64660
"Hektar",?,?,64628
"Wendigo",?,?,64571
"Robert De Niro",?,?,64571
"Sport Utility Vehicle",?,?,64569
"Jim Parsons",?,?,64543
"Methamphetamin",?,?,64521
"Undateable",?,?,64498
"WhatsApp",?,?,64280
"Paris",?,?,64273
"Down-Syndrom",?,?,64126
"Rom",?,?,64048
"Vin Diesel",?,?,63906
"Petra Wanitschka",?,?,63809
"Wolfgang Amadeus Mozart",?,?,63715
"Herpes Zoster",?,?,63459
"Ferdinand Piëch",?,?,63440
"MDMA",?,?,63379
"England",?,?,63362
"Zuzanna Ginczanka",?,?,63307
"Batman",?,?,63186
"The Walking Dead (Fernsehserie)/Episodenliste",?,?,63184
"Bruttoinlandsprodukt",?,?,63109
"Niedersachsen",?,?,63033
"Jana Pallaske",?,?,62911
"Cro (Rapper)",?,?,62875
"Libanon",?,?,62634
"Felix von Jascheroff",?,?,62499
"Deutsche Demokratische Republik",?,?,62481
"Weltwunder",?,?,62398
"Californication",?,?,62392
"Alessandra Meyer-Wölden",?,?,62295
"Die Ärzte",?,?,62247
"Charlie Sheen",?,?,62207
"Köln 50667",?,?,62156
"Die wilden Siebziger",?,?,62120
"Faust. Eine Tragödie.",?,?,62107
"Traumfrauen",?,?,62083
"Brasilien",?,?,61908
"BMW E90",?,?,61839
"Hochzeitstag",?,?,61800
"Porsche",?,?,61771
"Afrika",?,?,61768
"Ellis Kaut",?,?,61748
"Französische Revolution",?,?,61657
"Body-Mass-Index",?,?,61643
"Leipzig",?,?,61496
"Quentin Tarantino",?,?,61466
"Apple",?,?,61460
"Loretta Lynn",?,?,61438
