Page,Edits,Editors,Views
"Deutschland",40,19,1058449
"Template:GeoTemplate",?,?,914732
"Nekrolog 2015",93,19,556744
"The 100",36,20,449801
"David Odonkor",51,29,442273
"Carl von Cosel",0,0,441287
"Nina Kristin",47,13,326640
"Duke Kahanamoku",44,30,308552
"Daniel Köllerer",23,14,275623
"UEFA Champions League 2015/16",179,57,265572
"Anja Schüte",13,11,262381
"UEFA Europa League 2015/16",308,69,258125
"Game of Thrones",9,8,255621
"Désirée Nick",30,22,246238
"The Big Bang Theory",9,8,245885
"Promi Big Brother",507,111,242692
"Syrien",11,11,242093
"Judith Hildebrandt",16,9,236578
"Stephan Beckenbauer",54,39,233986
"Nino de Angelo",9,7,222927
"Echte Wespen",3,3,218076
"The Strain (Fernsehserie)",23,13,216923
"Unix-Shell",0,0,210962
"Leichtathletik-Weltmeisterschaften 2015",263,45,199665
"Vereinigte Staaten",25,13,199399
"Liste der Kfz-Kennzeichen in Deutschland",20,11,195163
"Pretty Little Liars",26,21,192806
"Hornisse",2,1,189589
"Menowin Fröhlich",23,16,188800
"Wer ist Hanna?",11,9,186493
"Schweiz",20,10,185426
"Donald Trump",49,17,185170
"Egon Bahr",83,53,177623
"Berlin",40,14,175524
"Wikipedia",15,8,173097
"The Walking Dead (Fernsehserie)",14,13,171916
"Viertaktmotor",5,2,170999
"Islamischer Staat (Organisation)",92,63,170756
"Channing Tatum",14,7,153768
"Perseiden",24,10,153735
"N.W.A",9,9,153377
"Fear the Walking Dead",73,26,152616
"Dr. Dre",34,18,152294
"Sarah Nowak",0,0,151169
"Sherlock (Fernsehserie)",7,7,150549
"Berlin – Tag & Nacht",262,14,148915
"Österreich",40,15,147955
"Figuren aus dem Marvel-Universum",23,15,145117
"Atombombenabwürfe auf Hiroshima und Nagasaki",29,14,144932
"Two and a Half Men",16,11,144548
"Terence Hill",14,11,143112
"Palina Rojinski",16,9,142117
"Ich bin ein Star – Holt mich hier raus!",84,46,141723
"Eazy-E",5,4,140225
"Seelen (Film)",1,1,139067
"Gerhard Mayer-Vorfelder",77,48,134581
"Breaking Bad",4,4,134564
"Orange Is the New Black",8,6,132864
"Kroatien",17,12,131936
"Safe Haven – Wie ein Licht in der Nacht",1,1,131738
"Zweiter Weltkrieg",84,14,131726
"Odd Grenland",1,1,130565
"Oblivion (Film)",30,12,130305
"Asperger-Syndrom",157,20,130090
"Mitgliedstaaten der Europäischen Union",3,3,129849
"Adolf Hitler",16,8,128595
"Très Jolie",1,1,125832
"Borderline-Persönlichkeitsstörung",10,5,124516
"Sinister (Film)",10,9,124105
"2 Broke Girls",15,9,123903
"Hamburg",18,13,123396
"Inglourious Basterds",11,9,122564
"Die Welle (2008)",2,2,122038
"Bürgerkrieg in Syrien",0,0,121722
"Robin Williams",7,5,121257
"Franz Beckenbauer",24,21,121120
"Bertolt Brecht",5,5,120703
"Bundesvision Song Contest 2015",61,34,119922
"Tom Cruise",21,9,118351
"Ingrid Bergman",12,9,118155
"Saoirse Ronan",0,0,117456
"Paul Walker",2,2,116553
"Liste der Naturschutzgebiete in Nordrhein-Westfalen",11,4,116480
"FC Bayern München",37,17,116427
"Eminem",5,2,115376
"Percy Jackson – Im Bann des Zyklopen (Film)",6,4,114823
"Frankreich",9,7,114468
"Usain Bolt",27,12,113736
"Homeland (Fernsehserie)",11,8,112512
"Kernwaffe",27,19,112094
"Russland",24,8,111991
"Forever (Fernsehserie)",?,?,111453
"Max Greger",72,39,111188
"Italien",10,9,111125
"Til Schweiger",11,8,110774
"Harald Range",118,58,109832
"Mission: Impossible – Rogue Nation",46,23,109822
"Prison Break",15,8,109563
"Malaysia-Airlines-Flug 370",477,43,109432
"Grey’s Anatomy",8,7,109390
"Cara Delevingne",?,?,109179
"Natriumcyanid",?,?,108824
"James Bond",?,?,108591
"Under the Dome (Fernsehserie)",?,?,108490
"Multiple Sklerose",?,?,108455
"Taubenschwänzchen",?,?,108133
"Türkei",?,?,107277
"Eritrea",?,?,107099
"Google",?,?,106713
"Percy Jackson",?,?,106120
"Geschlechtsverkehr",?,?,105779
"Fast & Furious 7",?,?,105775
"Sean Price",?,?,105003
"Australien",?,?,104848
"Stephen Hawking",?,?,104400
"New York City",?,?,104328
"Shameless (US-Fernsehserie)",?,?,104218
"Insektenstich",?,?,104162
"Singapur",?,?,102913
"Ice Cube",?,?,102769
"Paranoia – Riskantes Spiel",?,?,102761
"Tuberkulose",?,?,102326
"Vagina",?,?,101984
"Europäische Union",?,?,101921
"Ingrid van Bergen",?,?,101880
"Verwandtschaftsbeziehung",?,?,101719
"Total Recall (2012)",?,?,101637
"Mazedonien",?,?,101323
"Jason Statham",?,?,101037
"Roddy Piper",?,?,100969
"Vampire Diaries",?,?,100658
"Elyas M’Barek",?,?,100640
"Köln",?,?,100470
"Alleinstehender",?,?,100158
"Erster Weltkrieg",?,?,99751
"Bayern",?,?,99685
"Internet Movie Database",?,?,98069
"München",?,?,97899
"Avatar – Aufbruch nach Pandora",?,?,97799
"Quinoa",?,?,97317
"Arnold Schwarzenegger",?,?,96917
"Wolfgang Schäuble",?,?,96488
"Bipolare Störung",?,?,96319
"Angela Merkel",?,?,95794
"Landkreis Donau-Ries",?,?,95298
"Quentin Tarantino",?,?,95255
"Helene Fischer",?,?,94668
"Revenge (Fernsehserie)",?,?,94408
"Europa",?,?,94163
"Sleepers (Film)",?,?,93550
"Sex",?,?,93263
"Teen Wolf (Fernsehserie)",?,?,93241
"Borussia Dortmund",?,?,93112
"Konfektionsgröße",?,?,92998
"Periodensystem",?,?,92199
"How I Met Your Mother",?,?,91871
"Niederlande",?,?,91779
"Liste der Großstädte in Deutschland",?,?,91640
"Totilas",?,?,91455
"Looper (Film)",?,?,91442
"Polen",?,?,91399
"Norwegen",?,?,91266
"Jackie Chan",?,?,91165
"Unknown User",?,?,91034
"Kaley Cuoco",?,?,90974
"Volksrepublik China",?,?,90782
"True Detective",?,?,90745
"Schweden",?,?,90448
"Roland Kaiser",?,?,90061
"Frankfurt am Main",?,?,89741
"Fynn Henkel",?,?,89694
"UEFA Champions League",?,?,89439
"Wien",?,?,89365
"Sons of Anarchy",?,?,89038
"Luke Mockridge",?,?,88540
"Namika",?,?,88430
"Hämorrhoiden",?,?,88106
"Ampel",?,?,88021
"K.I.Z",?,?,87699
"Malta",?,?,87681
"Pablo Escobar",?,?,87572
"Johanna Quandt",?,?,87454
"Percy Jackson – Diebe im Olymp (Film)",?,?,87168
"Pfeiffer-Drüsenfieber",?,?,87146
"Schizophrenie",?,?,86575
"Kanada",?,?,86551
"Elmer McCurdy",?,?,86461
"Leonardo DiCaprio",?,?,86348
"Bodensee",?,?,86282
"Justin Wilson",?,?,85668
"Jake Gyllenhaal",?,?,85595
"Interstellar",?,?,85463
"Liste der IPA-Zeichen",?,?,85369
"Deadpool",?,?,84823
"Harry Potter",?,?,84670
"Thomas Tuchel",?,?,84406
"Criminal Minds",?,?,84159
"Navy CIS",?,?,83983
"BDSM",?,?,83283
"Vikings (Fernsehserie)",?,?,83111
"Scarlett Johansson",?,?,82700
"Ehrlich Brothers",?,?,82662
"Johnny Depp",?,?,82617
"Schwimmweltmeisterschaften 2015",?,?,82617
"Darknet",?,?,82439
"Island",?,?,82345
"Jennifer Lawrence",?,?,82292
"Utta Danella",?,?,81969
"Robin Schulz",?,?,81952
"House of Cards (Fernsehserie)",?,?,81881
"Star Wars",?,?,81823
"Dwayne Johnson",?,?,81627
"Woodstock-Festival",?,?,81624
"Indien",?,?,81547
"Mission: Impossible (Film)",?,?,81279
"Nordrhein-Westfalen",?,?,81164
"Mila Kunis",?,?,81035
"Krätze",?,?,80949
"Sabaton",?,?,80844
"Fack ju Göhte",?,?,80743
"13 (Film)",?,?,80401
"Terminator: Genisys",?,?,80133
"Burlesque (Film)",?,?,79937
"Japan",?,?,79903
"Amber Heard",?,?,79745
"Morbus Crohn",?,?,79718
"Griechenland",?,?,79666
"Grimm (Fernsehserie)",?,?,79577
"Dexter (Fernsehserie)",?,?,79476
"Tor (Netzwerk)",?,?,79260
"Lost (Fernsehserie)",?,?,79243
"Hannibal (Fernsehserie)",?,?,78906
"Amyotrophe Lateralsklerose",?,?,78809
"Airbus A380",?,?,78683
"Marilyn Monroe",?,?,78282
"Liam Hemsworth",?,?,78131
"IZombie",?,?,78086
"Réunion",?,?,77759
"Die Tribute von Panem",?,?,77723
"Michael Jackson",?,?,77586
"Watchmen – Die Wächter",?,?,77459
"Brigitte Nielsen",?,?,77379
"Dagi Bee",?,?,77262
"Jimi Hendrix",?,?,77165
"Area 51",?,?,76833
"Dänemark",?,?,76791
"Kosovo",?,?,76645
"Hashtag",?,?,76593
"Eiskalte Engel",?,?,76405
"Brad Pitt",?,?,76397
"A4-Format",?,?,76247
"Köln 50667",?,?,76247
"Minions",?,?,76193
"Sophie Marceau",?,?,75901
"Neuseeland",?,?,75836
"YouPorn",?,?,75721
"Wes Craven",?,?,75672
"Hummeln",?,?,75566
"Empathie",?,?,75492
"Rhein",?,?,75409
"Hochzeitstag",?,?,75299
"London",?,?,75296
"Spanien",?,?,75176
"Benedict Cumberbatch",?,?,74807
"Eurotunnel",?,?,74475
"Nordkorea",?,?,74442
"Robert De Niro",?,?,74258
"Gardasee",?,?,74235
"George Clooney",?,?,74217
"Vereinigtes Königreich",?,?,74003
"Ungarn",?,?,73956
"Big Brother (Fernsehshow)",?,?,73615
"Downton Abbey",?,?,73587
"Herpes Zoster",?,?,73225
"The Flash (Fernsehserie)",?,?,73210
"Alexandra Daddario",?,?,73025
"Southpaw",?,?,72841
"Kim Kardashian",?,?,72799
"Dresden",?,?,72624
"Baden-Württemberg",?,?,72596
"American Horror Story",?,?,72440
"Figuren im Lied von Eis und Feuer",?,?,72326
"Land (Deutschland)",?,?,72320
"Mont Blanc",?,?,72314
"Kevin De Bruyne",?,?,72259
"Vulva",?,?,71888
"Stefan Raab",?,?,71752
"Eliza Taylor",?,?,71656
"Chris Kyle",?,?,71626
"Mission: Impossible – Phantom Protokoll",?,?,71573
"Jurassic World",?,?,71556
"Israel",?,?,71523
"Susanne Klatten",?,?,71514
"Weltwunder",?,?,71164
"Ländervorwahlliste sortiert nach Nummern",?,?,71039
"BMW",?,?,70947
"Jennifer Aniston",?,?,70927
"Mark Forster",?,?,70876
"Wespenspinne",?,?,70851
"Wirtschaftszahlen zum Automobil",?,?,70739
"Masturbation",?,?,70658
"The Equalizer (Film)",?,?,70509
"Rumänien",?,?,70173
"Depression",?,?,70121
"Avengers: Age of Ultron",?,?,70010
"Douglas Costa",?,?,69980
"Autismus",?,?,69778
"Honig im Kopf",?,?,69596
"Supernatural",?,?,69560
"Incoterms",?,?,69436
"Narzissmus",?,?,69394
"Gossip Girl",?,?,69353
"The Mentalist",?,?,69318
"Jim Parsons",?,?,69208
"Suits (Fernsehserie)",?,?,69136
"Bud Spencer",?,?,69009
"Belgien",?,?,68916
"Skull & Bones",?,?,68895
"Franz Josef Strauß",?,?,68880
"Wildecker Herzbuben",?,?,68839
"Cro (Rapper)",?,?,68813
"Die durch die Hölle gehen",?,?,68806
"Albanien",?,?,68496
"Mauritius",?,?,68463
"Elvis Presley",?,?,68453
"Mallorca",?,?,68376
"Gemeine Wespe",?,?,68250
"Iran",?,?,68165
"Kreta",?,?,68109
"RMS Titanic",?,?,67925
"Die Bestimmung – Divergent",?,?,67853
"Bundeskanzler (Deutschland)",?,?,67812
"Napoleon Bonaparte",?,?,67760
"Jasmine Thompson",?,?,67718
"MDMA",?,?,67685
"Safe House",?,?,67684
"YouTube",?,?,67635
"Vietnamkrieg",?,?,67601
"Cristiano Ronaldo",?,?,67436
"Die Zukunft hat Geburtstag – 100 Jahre Automobil",?,?,67413
"Molare Siedepunkterhöhung",?,?,67384
"Deutsch",?,?,67330
"Megan Fox",?,?,67316
"Fast & Furious Five",?,?,67143
"Hitzewelle in Europa 2015",?,?,67111
"Kabaddi",?,?,67030
"Facebook",?,?,66972
"Deep Web",?,?,66935
"Leipzig",?,?,66670
"Sueskanal",?,?,66547
"Amerikaner (Gebäck)",?,?,66446
"Charlie Sheen",?,?,66270
"Liste der Präsidenten der Vereinigten Staaten",?,?,66270
"Fibromyalgie",?,?,66249
"Bones – Die Knochenjägerin",?,?,66037
"Tschechien",?,?,65868
"Android (Betriebssystem)",?,?,65864
"The Fast and the Furious (Filmreihe)",?,?,65707
"Serbien",?,?,65673
"Liste der Staaten der Erde",?,?,65349
"Albert Einstein",?,?,65337
"Hektar",?,?,65288
"Ant-Man (Film)",?,?,65263
"Hashimoto-Thyreoiditis",?,?,65217
"Johnny Galecki",?,?,64922
"Nicolas Cage",?,?,64857
"Harry Potter (Filmreihe)",?,?,64843
"Kat Dennings",?,?,64784
"Lencke Steiner",?,?,64768
"Sardinien",?,?,64702
"Bremsen",?,?,64674
"Kfz-Kennzeichen (Deutschland)",?,?,64572
"Irland",?,?,64565
"Ryan Reynolds",?,?,64483
"Body-Mass-Index",?,?,64355
"Mariä Aufnahme in den Himmel",?,?,64337
"Parkinson-Krankheit",?,?,64293
"Ausweisnummer",?,?,64220
"Kira Grünberg",?,?,64177
"Ronda Rousey",?,?,64149
"Arrow (Fernsehserie)",?,?,63931
"Until Dawn",?,?,63919
"Emilia Clarke",?,?,63898
"Liste der Millionenstädte",?,?,63898
"Hiroshima",?,?,63794
"Lungenembolie",?,?,63703
"Pansexualität",?,?,63702
"Warren Buffett",?,?,63590
"Penis",?,?,63565
"Scientology",?,?,63530
"Internationale Raumstation",?,?,63485
"Liste erfolgreicher Filme",?,?,63423
"RAL-Farbe",?,?,63391
"Elisabeth II.",?,?,63349
"Tinder",?,?,63255
"Eine schrecklich nette Familie",?,?,63215
