Page,Edits,Editors,Views
"Falco",36,29,744796
"Nekrolog 2017",36,16,573109
"Deutschland",80,46,499892
"Donald Trump",285,98,479299
"Valentinstag",9,6,455227
"Oscarverleihung 2017",121,37,452314
"Martin Luther",26,19,428132
"Frank-Walter Steinmeier",33,25,370509
"Gone Girl – Das perfekte Opfer (Film)",9,8,354976
"Bundespräsident (Deutschland)",46,22,353617
"Liberty Island",0,0,349311
"Martin Schulz",180,41,326718
"Katharina von Bora",33,24,302711
"Batrachotoxin",0,0,301571
"Game of Thrones",9,8,300948
"Unix-Shell",0,0,293982
"Tom Brady",49,31,291693
"Bill Paxton",44,27,287335
"Karneval, Fastnacht und Fasching",12,9,282957
"In meinem Himmel",5,5,268153
"La La Land (Film)",40,23,267952
"Wikipedia",6,6,254304
"Lucifer (Fernsehserie)",9,8,253038
"Wahl des deutschen Bundespräsidenten 2017",193,89,246999
"Shirin David",34,15,240559
"Super Bowl",37,16,240456
"Shades of Grey",8,6,238961
"Rizin",3,3,236962
"Vereinigte Staaten",31,12,236577
"Nena",6,3,231179
"Super Bowl LI",161,66,227924
"Zweifarbenpitohui",2,2,227572
"New England Patriots",73,43,225626
"Weiberfastnacht",18,15,220545
"The Walking Dead (Fernsehserie)",13,6,219981
"Moonlight (2016)",30,15,218305
"Emma Stone",18,12,206208
"Sabine Oberhauser",40,27,203979
"Split (Film)",59,21,203417
"Westworld (Fernsehserie)",34,13,201489
"Angela Merkel",16,12,192898
"Vikings (Fernsehserie)",12,6,184310
"Österreich",31,22,176455
"Casey Affleck",11,6,175822
"Berlin",14,12,174890
"Schweiz",3,3,169235
"Bundesversammlung (Deutschland)",20,14,168990
"Dieter Bohlen",4,3,168765
"Laura Dahlmeier",112,43,168152
"The Man in the High Castle (Fernsehserie)",10,8,167027
"VX",61,36,164303
"Adolf Hitler",5,3,164167
"Michelle (Sängerin)",2,2,163207
"The Big Bang Theory",20,15,161207
"Zweiter Weltkrieg",55,9,155393
"Kim Jong-nam",105,47,152194
"Ryan Gosling",3,3,147293
"Präsenz",1,1,146813
"Erster Weltkrieg",14,5,144582
"Russland",30,21,144206
"Liste der Präsidenten der Vereinigten Staaten",13,7,142196
"Melania Trump",37,13,138651
"Die Ketzerbraut (Film)",20,9,138382
"Italien",16,12,137910
"Elisabeth II.",3,3,137317
"Prison Break",11,9,136806
"Ed Sheeran",24,22,135447
"American Football",3,2,134876
"Stephen Bannon",108,40,133294
"NATO",22,19,133285
"Kanada",8,8,133134
"Ben Affleck",3,3,132722
"Philipp Lahm",30,23,131511
"Influenza",12,9,130656
"Die Verurteilten",6,4,130471
"Europäische Union",34,7,130272
"Asperger-Syndrom",10,9,128192
"Pretty Little Liars",14,8,127445
"Europa",1,1,126460
"Comedian Harmonists",5,5,126055
"Keanu Reeves",5,5,125676
"Kerstin Gähte",27,18,124752
"Fifty Shades of Grey (Film)",4,3,124509
"Toni Erdmann",14,9,124191
"Bares für Rares",14,7,123863
"Krav Maga",2,2,123404
"Santa Clarita Diet",35,16,121661
"Hamburg",40,28,120915
"Deutsche Nationalhymne",10,4,119658
"Lady Gaga",11,6,119642
"Sportfreunde Lotte",7,6,119357
"Australien",99,27,118615
"A Cure for Wellness",46,21,118535
"Manchester by the Sea",18,9,118136
