Page,Edits,Editors,Views
"Pablo Escobar",45,34,605859
"Nekrolog 2016",27,14,517587
"Deutschland",41,16,485663
"Angelique Kerber",111,50,350415
"Gerwald Claus-Brunner",313,98,349244
"Wikipedia",17,6,321030
"Victoria Swarovski",17,14,306663
"Terroranschläge am 11. September 2001",10,9,292641
"Unix-Shell",3,2,290220
"Alternative für Deutschland",119,45,277302
"Landtagswahl in Mecklenburg-Vorpommern 2016",174,86,273838
"Edwards-Syndrom",4,2,268273
"Christine Zierl",26,15,267376
"Wahl zum Abgeordnetenhaus von Berlin 2016",269,54,257015
"Quantico (Fernsehserie)",18,15,236653
"Hannes Arch",84,53,234516
"Benjamin Tewaag",29,25,230184
"Mutter Teresa",145,59,222928
"Jessica Paszka",46,25,220244
"Game of Thrones",21,16,219795
"Narcos",29,12,215174
"Vereinigte Staaten",14,3,209676
"Angelina Jolie",7,6,207375
"Suicide Squad (Film)",5,3,201749
"Mario Basler",12,12,198340
"Carsten Maschmeyer",12,9,197026
"Berlin",16,8,195500
"Donald Trump",24,13,195492
"Alexis Arquette",25,21,195011
"László József Bíró",16,13,194652
"Star Wars",1,1,185903
"Schweiz",7,5,179454
"Österreich",10,7,177941
"The Big Bang Theory",40,13,174694
"Frank Thelen",5,5,174569
"Cathy Lugner",24,16,169916
"Blindspot",27,12,167942
"Stephen Hawking",14,13,165382
"Liste der Kfz-Kennzeichen in Deutschland",11,6,165130
"Die Unfassbaren – Now You See Me",3,3,164710
"Frauke Petry",73,42,159687
"Isa Jank",11,9,157411
"Promi Big Brother",166,60,155941
"Stranger Things",9,8,154368
"Asperger-Syndrom",6,5,153231
"Ralf Dümmel",0,0,152621
"Islamisches Opferfest",9,8,150218
"Präsidentschaftswahl in den Vereinigten Staaten 2016",49,29,149836
"Periodensystem",0,0,149659
"Sophia Thomalla",10,8,148477
"Mitgliedstaaten der Europäischen Union",10,6,147670
"RMS Titanic",6,3,147164
"Brad Pitt",7,5,147116
"Angela Merkel",19,17,146376
"Mecklenburg-Vorpommern",64,23,145781
"The Night Manager",4,3,142434
"Australien",39,25,137602
"Sommer-Paralympics 2016",74,32,137371
"Erster Weltkrieg",13,8,137153
"New York City",3,3,137137
"Europa",3,2,136847
"Zweiter Weltkrieg",16,6,135680
"The Walking Dead (Fernsehserie)",9,8,135110
"Islamischer Staat (Organisation)",29,24,134683
"Ehrlich Brothers",2,2,134568
"Oktoberfest",25,15,134101
"The 100",21,14,133484
"House of Cards (Fernsehserie)",0,0,131794
"World Trade Center",0,0,129648
"Schimon Peres",44,28,128664
"Hagen Liebing",29,19,127866
"Russland",7,6,127506
"RB Leipzig",15,12,126433
"Die glorreichen Sieben",7,4,125568
"Figuren aus dem Marvel-Universum",14,12,123668
"Hamburg",16,10,122719
"Adolf Hitler",20,11,122421
"Jenke von Wilmsdorff",5,4,121822
"Italien",7,4,121188
"Richard Lugner",6,4,120955
"Hillary Clinton",10,8,120249
"Elektrolyse",0,0,120026
"Outlander (Fernsehserie)",19,6,119174
"Sylvester Stallone",2,2,117710
"Grey’s Anatomy",10,8,116622
"Pretty Little Liars",4,4,115687
"The Purge – Die Säuberung",7,6,115621
"Figuren aus Star Wars",16,7,115449
"Frankreich",28,24,114915
"Freddie Mercury",9,9,113671
"Introversion und Extraversion",0,0,112941
"Kanada",16,6,112329
"Edward Snowden",2,2,112106
"Singapur",3,3,111976
"Star Trek",8,5,110151
"Transatlantisches Freihandelsabkommen",18,18,110149
"Facebook",20,8,109615
"Europäische Union",15,13,109167
"Beginner",4,4,108895
"Bruce Darnell",0,0,108623
"Sex",?,?,107479
"Schutzart",?,?,105740
"Bayern",?,?,104248
"Malta",?,?,104101
"Kroatien",?,?,103450
"187 Strassenbande",?,?,103197
"Jennifer Rostock",?,?,102658
"American Horror Story",?,?,102643
"Tag der Deutschen Einheit",?,?,102442
"The Expendables 3",?,?,102248
"Steve Jobs",?,?,101985
"Albert Einstein",?,?,101302
"Die unendliche Geschichte",?,?,100854
"München",?,?,100388
"Amyotrophe Lateralsklerose",?,?,99453
"Hilmar Thate",?,?,99440
"James Bond",?,?,98371
"Wien",?,?,97697
"Lupus erythematodes",?,?,97538
"Stan Wawrinka",?,?,97511
"Liste der Länder Europas",?,?,97462
"Multiple Sklerose",?,?,95947
"Google",?,?,95913
"Harry Potter",?,?,95088
"Judith Williams",?,?,94323
"Vikings (Fernsehserie)",?,?,94120
"A4-Format",?,?,93989
"Liste der IPA-Zeichen",?,?,93934
"Leonardo DiCaprio",?,?,93926
"Deutsche Bahn",?,?,93869
"Nordrhein-Westfalen",?,?,93589
"Verwandtschaftsbeziehung",?,?,93453
"Marion Cotillard",?,?,93222
"Konfektionsgröße",?,?,93206
"The Mentalist",?,?,92451
"Stephen Dürr",?,?,92419
"Niederlande",?,?,92085
"Margot Robbie",?,?,91729
"Borderline-Persönlichkeitsstörung",?,?,91480
"C&A",?,?,91344
"Türkei",?,?,90886
"Island",?,?,90679
"Liste der Großstädte in Deutschland",?,?,90588
"Vera F. Birkenbihl",?,?,90444
"Prison Break",?,?,90114
"FC Bayern München",?,?,89935
"Köln",?,?,89796
"Hand-Fuß-Mund-Krankheit",?,?,89661
"Sommer-Paralympics 2016/Medaillenspiegel",?,?,89515
"Syrien",?,?,89376
"Bundeskanzler (Deutschland)",?,?,89041
"Bundespräsident (Deutschland)",?,?,88646
"Mark Wahlberg",?,?,88632
"Bipolare Störung",?,?,88486
"Spanien",?,?,88283
"Cali-Kartell",?,?,88251
"Vereinigtes Königreich",?,?,87972
"The Green Mile (Film)",?,?,87875
"Mittelerde: Mordors Schatten",?,?,87846
"The Purge: Election Year",?,?,87811
"Schizophrenie",?,?,87227
"Volksrepublik China",?,?,86944
"Die Höhle der Löwen",?,?,86849
"Barack Obama",?,?,86654
"Tupac Shakur",?,?,86617
"Günter-Peter Ploog",?,?,86486
"Jason Statham",?,?,86342
"Autismus",?,?,86171
"Marvel’s Agents of S.H.I.E.L.D.",?,?,86067
"Désirée Nick",?,?,85827
"Karoline Herfurth",?,?,85342
"Comprehensive Economic and Trade Agreement",?,?,85337
"Liste der Präsidenten der Vereinigten Staaten",?,?,85319
"Indien",?,?,85104
"Frankfurt am Main",?,?,85033
"Roman Romanowitsch Romantschuk",?,?,84984
"Vagina",?,?,84905
"Israel",?,?,84900
"Gzuz",?,?,84872
"Jennifer Aniston",?,?,84348
"Dave Franco",?,?,83874
"Freddy Quinn",?,?,83176
"Martin Luther",?,?,82878
"Supernatural",?,?,82754
"Jochen Schweizer (Unternehmer)",?,?,82734
"Die Unfassbaren 2",?,?,82676
"D. Swarovski",?,?,82662
"Babyn Jar",?,?,82481
"Land (Deutschland)",?,?,82300
"Raumschiff Enterprise",?,?,82144
"Ötzi",?,?,81797
"Borussia Dortmund",?,?,81286
"Carolin Kebekus",?,?,80365
"Two and a Half Men",?,?,80330
"UEFA Champions League 2016/17",?,?,80282
"Gilmore Girls",?,?,80194
"Napoleon Bonaparte",?,?,79978
"Body-Mass-Index",?,?,79883
"Zac Efron",?,?,79752
"Polen",?,?,79703
"World Cup of Hockey 2016",?,?,79567
"Tigerpython",?,?,79539
"Neuseeland",?,?,79450
"Liste der 500 reichsten Deutschen",?,?,79351
"Mr. Robot (Fernsehserie)",?,?,79135
"Ausweisnummer",?,?,79096
"Edona James",?,?,79060
"Norwegen",?,?,78975
"Tschick (Roman)",?,?,78918
"Incoterms",?,?,78892
