Page,Edits,Editors,Views
"Template:GeoTemplate",?,?,949541
"Nekrolog 2015",107,32,584216
"Deutschland",85,22,477014
"The 100",34,18,459305
"Empire (Fernsehserie, 2015)",80,41,448851
"Lungenembolie",19,11,416581
"Game of Thrones",55,31,360283
"Griechenland",53,25,350917
"Pluto",172,53,308082
"Philipp Mißfelder",227,126,305743
"Tour de France 2015",168,53,283569
"Grexit",111,40,255799
"The Strain (Fernsehserie)",20,15,254766
"Arnold Schwarzenegger",25,16,250268
"Zweiter Prager Fenstersturz",0,0,249103
"Erster Prager Fenstersturz",0,0,245800
"Jan Masaryk",2,2,237693
"The Big Bang Theory",9,8,234658
"Jules Bianchi",55,33,229411
"Jurassic World",38,22,211423
"Orange Is the New Black",14,11,211219
"Aiga Rasch",44,24,206288
"City-Galerie (Augsburg)",?,?,198278
"Homeland (Fernsehserie)",21,13,197465
"Wikipedia",8,6,194898
"Vereinigte Staaten",15,10,192909
"Austerität",139,46,192468
"Sophia Thomalla",5,4,188852
"Massaker von Srebrenica",50,31,184673
"Tour de France",52,36,181738
"Minions",53,37,178780
"Unknown User",46,31,173365
"Terminator: Genisys",105,39,172245
"Frauke Petry",90,37,170375
"Jurassic Park",24,14,170312
"Channing Tatum",9,8,170117
"Schweiz",15,8,169767
"New Horizons",137,57,169500
"Yanis Varoufakis",86,39,168333
"K.I.Z.",1,1,167352
"UEFA Europa League 2015/16",211,34,166852
"Omar Sharif",62,38,166796
"Berlin",22,18,163845
"Two and a Half Men",17,15,163547
"Pretty Little Liars",33,19,161494
"UEFA Champions League 2015/16",119,39,159800
"Terminator (Film)",21,16,156653
"The Mentalist",14,11,156553
"Liste der Kfz-Kennzeichen in Deutschland",16,9,155150
"Islamischer Staat (Organisation)",131,51,155065
"Cara Delevingne",33,24,150202
"Cro (Rapper)",7,5,147812
"Beautiful Creatures – Eine unsterbliche Liebe",6,5,146125
"Asperger-Syndrom",34,5,145824
"Bipolare Störung",1,1,145729
"Kroatien",20,13,143131
"Mitgliedstaaten der Europäischen Union",0,0,141931
"Österreich",15,13,141450
"The Walking Dead (Fernsehserie)",23,15,141169
"Angela Merkel",17,16,140587
"Uran",2,2,138355
"Roger Federer",2,2,138344
"Stephen Hawking",4,4,138108
"Unix-Shell",0,0,137162
"Satoru Iwata",53,35,137066
"Boris Becker",3,3,136946
"Alexis Tsipras",32,24,136887
"Wolfgang Schäuble",32,20,135841
"Revenge (Fernsehserie)",20,10,135699
"Breaking Bad",9,7,135619
"Adolf Hitler",16,10,133454
"Europäische Union",9,9,133047
"Arrow (Fernsehserie)",22,17,132446
"Emilia Clarke",1,1,132266
"Bremsen",13,10,132074
"Die drei Musketiere (2011)",0,0,131323
"Griechische Staatsschuldenkrise",226,76,130614
"Bob Marley",10,3,130042
"Unknown Identity",6,6,129786
"Frankreich",28,21,128401
"Riesen-Bärenklau",8,6,126901
"Bertolt Brecht",0,0,125362
"Zweiter Weltkrieg",95,18,123672
"Chris Kyle",5,5,123013
"Amanda Knox",1,1,122488
"2 Broke Girls",10,7,122270
"Teen Wolf (Fernsehserie)",66,30,121046
"Figuren aus dem Marvel-Universum",35,13,120962
"Italien",15,11,120342
"Hamburg",14,5,119250
"Dustin Brown (Tennisspieler)",61,24,119222
"Outlander (Fernsehserie)",7,5,119096
"Alleinstehender",0,0,118822
"Suicide Squad",8,7,118640
"Türkei",17,10,117841
"Russland",36,8,117102
"Bastian Schweinsteiger",49,35,116696
"Amyotrophe Lateralsklerose",3,3,116256
"Vikings (Fernsehserie)",5,4,116128
"Multiple Sklerose",2,2,115851
"Joaquín Guzmán",?,?,114961
"Helene Fischer",?,?,114233
"Borderline-Persönlichkeitsstörung",?,?,113498
"Tom Cruise",?,?,113043
"Forever (Fernsehserie)",?,?,112794
"Sarah Connor",?,?,112750
"Heath Ledger",?,?,111070
"Berlin – Tag & Nacht",?,?,108654
"Batman",?,?,108110
"Hummeln",?,?,107915
"Novak Đoković",?,?,107713
"True Detective",?,?,106828
"Ziemlich beste Freunde",?,?,105943
"Echte Wespen",?,?,105778
"Liam Neeson",?,?,105698
"Jason Statham",?,?,104732
"Jussie Smollett",?,?,104722
"Fußball-Weltmeisterschaft der Frauen 2015",?,?,104675
"Vagina",?,?,103906
"Sherlock (Fernsehserie)",?,?,103724
"Panzerkampfwagen V Panther",?,?,103540
"Daniel Wirtz",?,?,103517
"Bayern",?,?,102851
"Figuren im Lied von Eis und Feuer",?,?,102804
"Alternative für Deutschland",?,?,102225
"Europa",?,?,102000
"Euro",?,?,101993
"Jasmine Thompson",?,?,101155
"Ashley Tisdale",?,?,100910
"Sex",?,?,100814
"Google",?,?,100026
"Tomorrowland",?,?,97991
"Erster Weltkrieg",?,?,95588
"American Sniper",?,?,95309
"Schizophrenie",?,?,94828
"Internet Movie Database",?,?,94594
"Australien",?,?,94590
"Interstellar",?,?,94488
"Game of Thrones/Episodenliste",?,?,94356
"Elisabeth II.",?,?,94330
"Malta",?,?,94271
"Jan Hus",?,?,93863
"New York City",?,?,93223
"James Bond",?,?,93121
"Sonnensystem",?,?,93120
"Donald Trump",?,?,92476
"Iran",?,?,92007
"München",?,?,91937
"Fest des Fastenbrechens",?,?,91597
"Paul Walker",?,?,91519
"Spanien",?,?,91172
"Weltwunder",?,?,91114
"Pfeiffer-Drüsenfieber",?,?,91033
"Kanada",?,?,90751
"Ramadan",?,?,90615
"Sylvester Stallone",?,?,90224
"Leonardo DiCaprio",?,?,90025
"Polen",?,?,89764
"Hämorrhoiden",?,?,89511
"Niederlande",?,?,89488
"The Dark Knight",?,?,89109
"Mad Max: Fury Road",?,?,88812
"Vampire Diaries",?,?,88788
"Kaley Cuoco",?,?,88719
"Tropic Thunder",?,?,88493
"FC Bayern München",?,?,88454
"Schweden",?,?,88403
"Grey’s Anatomy",?,?,87766
"Harry Potter",?,?,87755
"Hornisse",?,?,87624
"Island",?,?,87622
"Konfektionsgröße",?,?,87531
"Autismus",?,?,87329
"Köln",?,?,87088
"Empathie",?,?,86909
"Ant-Man",?,?,86861
"Magic Mike (Film)",?,?,86609
"Norwegen",?,?,86570
"How I Met Your Mother",?,?,86246
"Hand-Fuß-Mund-Krankheit",?,?,86199
"Sons of Anarchy",?,?,85926
"AnnenMayKantereit",?,?,85821
"Till Lindemann",?,?,85636
"Terrence Howard",?,?,85576
"Daniel Aminati",?,?,85509
"Zwei an einem Tag (Film)",?,?,85359
"Bodensee",?,?,85173
"Johnny Depp",?,?,85134
"Oskar Gröning",?,?,84980
"Volksrepublik China",?,?,84891
"Eurozone",?,?,84718
"Geschlechtsverkehr",?,?,84518
"Felix Jaehn",?,?,84489
"Parkinson-Krankheit",?,?,84489
"Chris Pratt",?,?,84479
"Liste der IPA-Zeichen",?,?,83798
"Der schmale Grat",?,?,83735
"Jane the Virgin",?,?,83482
"Wien",?,?,83291
"Köln 50667",?,?,82941
"Christian Audigier",?,?,82888
"Morbus Crohn",?,?,82880
"YouTube",?,?,82871
"Dexter (Fernsehserie)",?,?,82785
"AC/DC",?,?,82543
"Angelina Jolie",?,?,82135
"Tuberkulose",?,?,82112
"Star Wars",?,?,81837
"Batman Begins",?,?,81723
"Downton Abbey",?,?,81528
"Amy Winehouse",?,?,81201
"Rhein",?,?,80994
"Frankfurt am Main",?,?,80662
"Indien",?,?,80394
"Lyme-Borreliose",?,?,80202
"Elyas M’Barek",?,?,80046
"Matterhorn",?,?,79961
"Periodensystem",?,?,79758
"Wimbledon Championships",?,?,79747
"House of Cards (Fernsehserie)",?,?,79627
"Mordfall Meredith Kercher",?,?,79619
"Die Tribute von Panem",?,?,79586
"Verwandtschaftsbeziehung",?,?,79402
"Liste der Millionenstädte",?,?,79156
"Gerippter Brachkäfer",?,?,79098
"Incoterms",?,?,79074
"Turandot (Oper)",?,?,79042
"Prison Break",?,?,78999
"Herpes Zoster",?,?,78704
"A4-Format",?,?,78641
"BDSM",?,?,78565
"Der Mandant (Film)",?,?,78158
"Chris Froome",?,?,77996
"Eminem",?,?,77793
"Facebook",?,?,77744
"Lost (Fernsehserie)",?,?,77329
"Guardians of the Galaxy",?,?,77323
"Xavier Naidoo",?,?,77092
"Navy CIS",?,?,77075
"Liste der Großstädte in Deutschland",?,?,76883
"Arturo Vidal",?,?,76618
"Eritrea",?,?,76344
"Hashtag",?,?,76314
"Matthew McConaughey",?,?,76245
"Eliza Taylor",?,?,76090
"Airbus A380",?,?,76010
"Mila Kunis",?,?,75880
"Japan",?,?,75447
"Depression",?,?,75401
"Florence + the Machine",?,?,75315
"Nordrhein-Westfalen",?,?,75140
"Mayim Bialik",?,?,74963
"Dänemark",?,?,74855
"YouPorn",?,?,74749
"Serena Williams",?,?,74738
"Lichtjahr",?,?,74686
"Paul Hogan",?,?,74682
"Kosovo",?,?,74602
"Body-Mass-Index",?,?,74154
"London",?,?,73964
"Hitzefrei",?,?,73956
"Wimbledon Championships 2015",?,?,73639
"Singapur",?,?,73452
"Robin Williams",?,?,73430
"Joan Baez",?,?,73011
"Lichtgeschwindigkeit",?,?,72943
"Brad Pitt",?,?,72789
"Liste erfolgreicher Filme",?,?,72777
"American Horror Story",?,?,72587
"Vereinigtes Königreich",?,?,72425
"Eurotunnel",?,?,72365
"Referendum",?,?,72199
"Israel",?,?,72139
"Emma Stone",?,?,71877
"Masturbation",?,?,71846
"Inception",?,?,71807
"Fußball-Europameisterschaft 2016",?,?,71788
"Barack Obama",?,?,71734
"Scharlach",?,?,71405
"Vulva",?,?,71374
"Kreta",?,?,71325
"Irland",?,?,71272
"Supernatural",?,?,71251
"Ringelnatter",?,?,71228
"WhatsApp",?,?,71087
"Melissa McCarthy",?,?,70910
"Insektenstich",?,?,70876
"Griechisches Alphabet",?,?,70767
"Hashimoto-Thyreoiditis",?,?,70754
"Schottland",?,?,70751
"Belgien",?,?,70556
"Baden-Württemberg",?,?,70528
"Gossip Girl",?,?,70514
"Junikäfer",?,?,70496
"Vietnamkrieg",?,?,70294
"The Expendables 3",?,?,70067
"Michael Jackson",?,?,69956
"NATO",?,?,69813
"Unabhängigkeitstag (Vereinigte Staaten)",?,?,69712
"Syrien",?,?,69685
"Rothschild",?,?,69606
"Abraham Lincoln",?,?,69559
"Taraji P. Henson",?,?,69186
"MDMA",?,?,69171
"Tinder",?,?,69118
"The Dark Knight Rises",?,?,68981
"Kat Dennings",?,?,68851
"Ungarn",?,?,68834
"Deep Web",?,?,68726
"Ted 2",?,?,68724
"Land (Deutschland)",?,?,68690
"Montenegro",?,?,68672
"Ich – Einfach unverbesserlich",?,?,68553
"Allianz für Fortschritt und Aufbruch",?,?,68503
"King Arthur (Film)",?,?,68262
"Michael Schumacher",?,?,68254
"Sardinien",?,?,68227
"LeFloid",?,?,68145
"Dresden",?,?,68083
"Fußball-Weltmeisterschaft 2014",?,?,67923
"Anne Hathaway",?,?,67841
"RMS Titanic",?,?,67749
"Napoleon Bonaparte",?,?,67743
"Criminal Minds",?,?,67681
"Shameless (Fernsehserie, 2011)",?,?,67625
"Pablo Escobar",?,?,67599
"Rumänien",?,?,67249
"Paris",?,?,67204
"Martina Hingis",?,?,66913
"Tschechien",?,?,66199
"Leuchtkäfer",?,?,66050
"Gardasee",?,?,65849
"Kriebelmücken",?,?,65795
"Shades of Grey",?,?,65758
"Amanda Seyfried",?,?,65721
"Ausweisnummer",?,?,65421
"Jurassic Park III",?,?,65405
"RAL-Farbe",?,?,65359
"Bernd Lucke",?,?,65351
"Borreliose",?,?,65289
"Hochzeitstag",?,?,65278
"The Undertaker",?,?,65188
"Blitz",?,?,65174
"Fibromyalgie",?,?,65105
"Serbien",?,?,65103
"Yvonne Catterfeld",?,?,65047
"Luxemburg",?,?,64926
"Ironman",?,?,64913
"Ludwig II. (Bayern)",?,?,64862
"Whitney Houston",?,?,64798
"Udo Jürgens",?,?,64696
"Mallorca",?,?,64682
"Jim Parsons",?,?,64677
"Ayrton Senna",?,?,64604
"Hektar",?,?,64581
"Suits (Fernsehserie)",?,?,64561
"Margot Robbie",?,?,64541
"Réunion",?,?,64502
"Penis",?,?,64456
"Zypern",?,?,64296
"Albanien",?,?,64247
"Münster (Westfalen)",?,?,64171
"Kurden",?,?,64066
"BMW E90",?,?,64041
"Standardabweichung",?,?,63970
"Tom Hardy",?,?,63955
"Fack ju Göhte",?,?,63822
"Triathlon",?,?,63784
"Mond",?,?,63647
"Erde",?,?,63630
"Narzissmus",?,?,63513
"Wayward Pines",?,?,63446
"Magic Mike XXL",?,?,63436
"Insidious",?,?,63139
"Malaysia-Airlines-Flug 370",?,?,63105
"Neuseeland",?,?,62937
"Slowenien",?,?,62592
"Kuba",?,?,62540
"Zorn der Titanen",?,?,62433
"Brasilien",?,?,62364
"Deutsch",?,?,62321
"Albert Einstein",?,?,62247
"Kasachstan",?,?,62231
"Ryan Gosling",?,?,62060
"Bundeskanzler (Deutschland)",?,?,62047
"Bradley Cooper",?,?,61789
"Diabetes mellitus",?,?,61688
"Beaufortskala",?,?,61642
"Bulgarien",?,?,61596
"Liste von Pornodarstellerinnen",?,?,61563
"Manchester United",?,?,61543
"Leipzig",?,?,61518
"BMW",?,?,61496
"Stefan Effenberg",?,?,61494
"Christian Bale",?,?,61444
"James Franco",?,?,61436
"Das Lied von Eis und Feuer",?,?,61428
"Citroën 2CV",?,?,61385
"Victoria (Vereinigtes Königreich)",?,?,61365
"Finnland",?,?,61321
"Mauritius",?,?,61317
"Fransenflügler",?,?,61306
"Tepito",?,?,61281
"Terminator 2 – Tag der Abrechnung",?,?,61273
"Jakobs-Greiskraut",?,?,61272
"Fifty Shades of Grey (Film)",?,?,61220
"Til Schweiger",?,?,61146
"Jared Leto",?,?,61074
"Linda Kozlowski",?,?,61018
"Osteopathie (Alternativmedizin)",?,?,60796
"Alf (Fernsehserie)",?,?,60686
"Marvel’s Agents of S.H.I.E.L.D.",?,?,60584
"Sherlock Holmes (2009)",?,?,60516
"Mel Gibson",?,?,60415
"Wolfsberger AC",?,?,60331
"Taylor Swift",?,?,60279
"Liste der Disney-Filme",?,?,60259
"Kernwaffentechnik",?,?,60201
"Dwayne Johnson",?,?,60144
"Bosnien und Herzegowina",?,?,60088
"Lupus erythematodes",?,?,60084
"Christoph Waltz",?,?,60077
"Doctor Who",?,?,60063
"Salonwagen König Ludwigs II. von Bayern",?,?,60046
"Margos Spuren",?,?,59991
"Vorstadtweiber",?,?,59983
"Amanda Peterson",?,?,59958
"Sinus und Kosinus",?,?,59898
"Sahra Wagenknecht",?,?,59834
"Jake Gyllenhaal",?,?,59745
"Minecraft",?,?,59719
"Nicholas Winton",?,?,59648
"Wacken Open Air",?,?,59549
"Ulrich Lenk",?,?,59497
"Berliner Mauer",?,?,59458
"Bushido (Rapper)",?,?,59262
"Heike Makatsch",?,?,59239
"Victoria (2015)",?,?,59170
"Dads",?,?,59114
"Klitoris",?,?,59076
"Sonne",?,?,59039
"Die Bestimmung – Divergent",?,?,59029
"Blutgruppe",?,?,58979
"Chronisch obstruktive Lungenerkrankung",?,?,58904
"Mission: Impossible (Film)",?,?,58844
"Madeira",?,?,58700
"Cameron Diaz",?,?,58693
"Gangster Squad",?,?,58682
"Kanarische Inseln",?,?,58629
