Page,Edits,Editors,Views
"Donald Trump",417,143,2573127
"Präsidentschaftswahl in den Vereinigten Staaten 2016",238,150,1014343
"Liste der Präsidenten der Vereinigten Staaten",44,26,684812
"Melania Trump",45,32,616931
"Gerätestecker",2,1,575479
"Black Friday",47,34,571853
"San Marino",8,7,563209
"Deutschland",163,53,559691
"Nekrolog 2016",33,17,536602
"Französische Revolution",12,11,528425
"The Walking Dead (Fernsehserie)",24,16,522846
"Leonard Cohen",347,112,480113
"Barack Obama",33,14,436704
"Hillary Clinton",128,72,434736
"Vereinigte Staaten",43,25,429650
"Präsident der Vereinigten Staaten",26,22,427428
"Fidel Castro",112,64,411489
"Phantastische Tierwesen und wo sie zu finden sind (Film)",111,21,405910
"Harry Potter (Filmreihe)",7,7,404453
"Game of Thrones",12,9,395976
"Wikipedia",13,8,391828
"John F. Kennedy",3,3,369408
"Ivanka Trump",15,14,346262
"Harry Potter",28,26,336941
"Angela Merkel",16,11,310705
"Unix-Shell",0,0,298181
"Club der roten Bänder",112,31,296802
"Populismus",29,9,294407
"Die Tribute von Panem",5,4,294036
"Jack the Ripper",34,27,283341
"Ivana Trump",10,9,279984
"Elisabeth II.",7,3,276984
"Frank-Walter Steinmeier",46,39,266042
"Bundespräsident (Deutschland)",5,3,264790
"Frederick Banting",42,37,259593
"Gilmore Girls",33,22,257120
"Der Butler (2013)",21,15,256572
"Nico Rosberg",27,20,252977
"Apollo 13",4,2,247264
"Glühlampe",9,8,244523
"Thanksgiving",43,31,241057
"Bundeskanzler (Deutschland)",25,10,240421
"Victoria Swarovski",5,5,239833
"Präsidentschaftswahl in den Vereinigten Staaten",55,39,237692
"Die Bestimmung – Divergent",5,4,235910
"Wahlmann",48,15,224242
"Yvonne Catterfeld",7,6,222658
"Figuren der Harry-Potter-Romane",38,27,219695
"Samu Haber",4,4,219219
"Otto Waalkes",8,6,212220
"Mikrofon",4,4,210933
"Periodensystem",8,6,203618
"Erster Weltkrieg",9,5,201200
"Berlin",23,12,198893
"Schachweltmeisterschaft 2016",374,78,198019
"Meghan Markle",0,0,197569
"RB Leipzig",96,57,196917
"Martin Luther",12,11,195981
"Bill Clinton",5,5,195898
"The Big Bang Theory",23,17,194724
"Präsidentschaftswahl in den Vereinigten Staaten 2012",9,6,190641
"Bee Gees",2,2,190593
"Republikanische Partei",36,26,188150
"Schweiz",11,7,185539
"Keke Rosberg",9,8,185372
"Österreich",39,19,183211
"Trump Tower",28,25,182573
"Adolf Hitler",8,7,182511
"Grey’s Anatomy",19,13,173542
"Zweiter Weltkrieg",45,10,170380
"Peter Hintze",106,39,169110
"Ronald Reagan",27,15,168807
"Russland",25,22,166095
"Martin Schulz",41,21,165404
"Pablo Escobar",12,10,165381
"Che Guevara",10,9,165253
"Italien",20,17,164843
"Figuren aus dem Marvel-Universum",19,14,164701
"American Horror Story",82,39,162382
