Page,Edits,Editors,Views
"David Bowie",297,149,1577922
"Helena Fürst",74,46,1328425
"Thorsten Legat",105,55,1266765
"Alan Rickman",95,55,969276
"The Revenant – Der Rückkehrer",135,57,760395
"Sophia Wollersheim",0,0,749729
"Maja Maranow",126,81,744914
"Deutschland",85,19,694969
"Nekrolog 2016",72,40,693664
"Handball-Europameisterschaft 2016",559,131,618613
"Ich bin ein Star – Holt mich hier raus!",113,55,608577
"Star Wars: Das Erwachen der Macht",156,84,556630
"Rolf Zacher",55,42,530244
"Bert Wollersheim",25,12,498608
"Angelique Kerber",82,39,497125
"Brigitte Nielsen",18,15,490354
"Menderes Bağcı",47,28,476107
"Paywall",6,4,464865
"Star Wars",136,21,461508
"Leonardo DiCaprio",46,31,459646
"Wolkenfrei",21,15,458645
"The Big Bang Theory",21,15,405954
"The Hateful Eight",71,42,358779
"H.P. Baxxter",22,17,357731
"Liste der Städte und Gemeinden in Finnland",0,0,355036
"The Man in the High Castle (Fernsehserie)",27,15,347597
"Super Bowl 50",58,27,346590
"Unix-Shell",1,1,336145
"Zoo (Fernsehserie)",39,30,324458
"Kleiner Waffenschein",11,10,320037
"Zika-Virus",124,48,318691
"Achim Mentzel",120,65,308616
"Charles Perrault",26,22,308284
"Ricky Harris (Moderator)",29,22,304046
"David Ortega Arenas",1,1,300471
"Wikipedia",296,46,300250
"Quentin Tarantino",26,20,298462
"The Walking Dead (Fernsehserie)",5,4,289740
"Oscarverleihung 2016",125,32,284286
"Game of Thrones",8,8,281498
"Vereinigte Staaten",10,7,278263
"Verblendung (2011)",2,2,262116
"Tom Hardy",10,7,260327
"Seed (Fernsehserie)",1,1,260128
"Michelle (Sängerin)",5,5,253023
"The Shannara Chronicles",52,28,249267
"Lemmy Kilmister",60,32,249138
"Handball",17,16,244899
"Helene Fischer",16,12,241991
"Deutsche Männer-Handballnationalmannschaft",125,38,241308
"Iman Abdulmajid",13,10,240726
"Gunter Gabriel",19,16,239136
"Figuren aus Star Wars",146,70,237217
"Colitis ulcerosa",3,3,234725
"Helena Fürst – Kämpferin aus Leidenschaft",12,10,234243
"James Bond",16,10,231468
"Die Ludolfs – 4 Brüder auf’m Schrottplatz",12,8,230565
"Österreich",39,28,226642
"Periodensystem",0,0,222094
"Donald Trump",97,46,221960
"Das erstaunliche Leben des Walter Mitty",6,6,219562
"Alternative für Deutschland",151,48,218306
"Berlin",23,14,218134
"Adolf Hitler",33,17,216249
"Schweiz",23,10,215979
"Til Schweiger",23,18,209809
"Burkina Faso",9,8,205874
"Sophie Taeuber-Arp",39,29,204462
"Karen Friesicke",42,22,204250
"Syrien",3,3,199474
"Jim Knopf und Lukas der Lokomotivführer",8,5,198767
"Der Lehrer (Fernsehserie)",34,26,197586
"The Danish Girl",32,15,197483
"Islamischer Staat (Organisation)",100,67,197226
"Der Hobbit (Filmtrilogie)",1,1,195908
"Hugh Glass",21,11,194045
"Zweiter Weltkrieg",31,10,193683
"Channing Tatum",15,13,193225
"Sylvester Stallone",40,15,193109
"Angela Merkel",40,28,192937
"Saudi-Arabien",37,24,191801
"American Football",14,9,189148
"Gaußsche Summenformel",2,2,187535
"Heilige Drei Könige",20,16,186998
"Sonja Zietlow",4,3,183776
"Facebook",11,10,182332
"Dagur Sigurðsson",14,9,181402
"Iran",79,35,180080
"Rote Armee Fraktion",42,19,179456
"Liste erfolgreicher Filme",44,10,178022
"Gefährten",0,0,176441
"Jürgen Milski",35,20,176058
"Super Bowl",8,6,175754
"Handballregeln",5,5,174798
"Russland",12,8,173878
"Daisy Ridley",23,11,173276
"Pablo Escobar",17,15,170834
"Borderline-Persönlichkeitsstörung",5,4,170533
"Erster Weltkrieg",4,3,168515
"Serena Williams",24,6,168365
"Adele (Sängerin)",?,?,167197
"Albert Göring",?,?,166072
"The Big Short (Film)",?,?,165813
"Fußball-Europameisterschaft 2016",?,?,163923
"Howard Hughes",?,?,162649
"Glenn Frey",?,?,161890
"Pretty Little Liars",?,?,161209
"Escape Plan",?,?,160359
"Julia Klöckner",?,?,158033
"Ruth Leuwerik",?,?,157779
"Jenny Elvers-Elbertzhagen",?,?,157560
"Chris Kyle",?,?,156853
"Asperger-Syndrom",?,?,156355
"Stephen Hawking",?,?,156351
"Pegida",?,?,155242
"Mitgliedstaaten der Europäischen Union",?,?,155140
"Kaley Cuoco",?,?,154777
"Two and a Half Men",?,?,154375
"Mechanisches Fernsehen",?,?,152869
"Jennifer Lawrence",?,?,152725
"Harry Potter",?,?,152534
"Motörhead",?,?,152006
"Grey’s Anatomy",?,?,151927
"Johnny Depp",?,?,151830
"Arnold Schwarzenegger",?,?,150672
"Sebastian Kurz",?,?,150665
"Hermann Göring",?,?,150330
"Fargo (Fernsehserie)",?,?,149981
"Wolfgang Amadeus Mozart",?,?,149211
"Kanada",?,?,148475
"Australien",?,?,147924
"Deutsche-Bank-Hochhaus",?,?,147484
"Sexuelle Übergriffe in der Silvesternacht 2015/16",?,?,147459
"Island",?,?,146572
"Bones – Die Knochenjägerin",?,?,146440
"Google",?,?,145076
"Frankreich",?,?,144411
"Fluch der Karibik",?,?,143815
"David Ortega",?,?,143787
"New York City",?,?,143542
"Duncan Jones (Regisseur)",?,?,143538
"Multiple Sklerose",?,?,143457
"Europäische Union",?,?,142384
"Frauke Petry",?,?,141392
"American Horror Story",?,?,141344
"Nathalie Volk",?,?,140590
"Die Pfeiler der Macht",?,?,139165
"Suits (Fernsehserie)",?,?,138886
"The Mentalist",?,?,138701
"Stefan Kretzschmar",?,?,138027
"Marie Antoinette",?,?,136771
"Morgen hör ich auf",?,?,136522
"Figuren aus dem Marvel-Universum",?,?,135996
"Präsidentschaftswahl in den Vereinigten Staaten 2016",?,?,135873
"Céline Dion",?,?,135817
"Tom Brady",?,?,135732
"YouTube",?,?,134893
"Scooter (Band)",?,?,134662
"Türkei",?,?,134154
"Breaking Bad",?,?,133968
"Ich bin ein Star – Holt mich hier raus! (Staffel 10)",?,?,133958
"Andreas Wolff (Handballspieler)",?,?,132885
"Eminem",?,?,132822
"Schengener Abkommen",?,?,132737
"Elvis Presley",?,?,132699
"Prison Break",?,?,132288
"Polen",?,?,131719
"Internet Movie Database",?,?,131711
"Pfeiffer-Drüsenfieber",?,?,131304
"Heinrich VIII. (England)",?,?,131061
"Black (Musiker)",?,?,130452
"Beatrix von Storch",?,?,130403
"Richard Lugner",?,?,129117
"Konfektionsgröße",?,?,128934
"Die Tribute von Panem",?,?,128903
"Navy CIS",?,?,128063
"Amyotrophe Lateralsklerose",?,?,127910
"Novak Đoković",?,?,127689
"Indien",?,?,127597
"Streif",?,?,127321
"Hamburg",?,?,126479
"Carolin Kebekus",?,?,125670
"Sex",?,?,125478
"Liste der Kfz-Kennzeichen in Deutschland",?,?,125077
"Golden Globe Awards 2016",?,?,124247
"National Football League",?,?,123994
"Looper (Film)",?,?,123494
"Schweden",?,?,123323
"Italien",?,?,123274
"Sherlock (Fernsehserie)",?,?,122988
"Scharlach",?,?,121682
"Köln",?,?,121560
"Eddie Redmayne",?,?,121349
"Sons of Anarchy",?,?,120924
"The Walking Dead (Fernsehserie)/Episodenliste",?,?,120891
"House of Cards (Fernsehserie)",?,?,120737
"Justin Bieber",?,?,119989
"Harrison Ford",?,?,119933
"Bundeskanzler (Deutschland)",?,?,119739
"Darts",?,?,119473
"Vierzehn Nothelfer",?,?,118411
"Akte X – Die unheimlichen Fälle des FBI",?,?,118336
"Michael Fassbender",?,?,117880
"Myanmar",?,?,117393
"Bayern",?,?,117375
"Europa",?,?,116709
"Peyton Manning",?,?,116605
"Downton Abbey",?,?,116603
"Islam",?,?,116453
"Johnny Galecki",?,?,116321
"Harry Potter (Filmreihe)",?,?,115864
"Vagina",?,?,115279
"Handball-Europameisterschaft",?,?,115267
"Dexter (Fernsehserie)",?,?,115201
"Hooligans gegen Salafisten",?,?,115004
"Liste der IPA-Zeichen",?,?,114972
"Elmsfeuer",?,?,114231
"Jessica Ginkel",?,?,113469
"Vampire Diaries",?,?,113405
"The Big Bang Theory/Episodenliste",?,?,113379
"Volksrepublik China",?,?,113355
"Adam Driver",?,?,112697
"Jim Parsons",?,?,112696
"American Sniper",?,?,112400
"Maghreb",?,?,112376
"München",?,?,111826
"Joaquín Guzmán",?,?,111697
"Supernatural",?,?,111592
"James Bond 007: Spectre",?,?,111568
"Joy – Alles außer gewöhnlich",?,?,111038
"Barack Obama",?,?,110707
"Handball-Weltmeisterschaft",?,?,110689
"Dänemark",?,?,110608
"Norwegen",?,?,110540
"Rooney Mara",?,?,110286
"New England Patriots",?,?,109587
"Spanien",?,?,109341
"Schizophrenie",?,?,108955
"Elyas M’Barek",?,?,108576
"Mr. Robot (Fernsehserie)",?,?,108094
"Vereinigtes Königreich",?,?,107996
"Lili Elbe",?,?,107976
"Berlin – Tag & Nacht",?,?,107919
"Creed – Rocky’s Legacy",?,?,107864
"Neuseeland",?,?,107846
"Deutschland sucht den Superstar",?,?,107679
"Niederlande",?,?,107659
"Verwandtschaftsbeziehung",?,?,107347
"Tuberkulose",?,?,106950
"Tatort: Willkommen in Hamburg",?,?,105979
"Homeland (Fernsehserie)",?,?,105116
"Bipolare Störung",?,?,104935
"Christoph Waltz",?,?,104793
"Geomatiker",?,?,104747
"Roger Federer",?,?,104711
"Resident Evil",?,?,104598
"Wien",?,?,104486
"Mark Hamill",?,?,104247
"Mein Kampf",?,?,104221
"Hahnenkammrennen",?,?,104211
"Aviator",?,?,104029
"Johann Wolfgang von Goethe",?,?,103907
"Grönland",?,?,103801
"Nordrhein-Westfalen",?,?,103454
"Daniel Craig",?,?,103407
"Japan",?,?,102943
"Reese Witherspoon",?,?,102616
"Lindsey Vonn",?,?,102565
"Malta",?,?,102448
"Dieter Bohlen",?,?,102330
"Israel",?,?,102160
"Tatort (Fernsehreihe)",?,?,102116
"Nordkorea",?,?,101995
"Kollegah",?,?,101907
"WhatsApp",?,?,101868
"Natalie Cole",?,?,101375
"Pirates of the Caribbean – Fremde Gezeiten",?,?,101352
"Vierschanzentournee",?,?,101091
"Liste der Präsidenten der Vereinigten Staaten",?,?,101046
"Daniel Hartwich",?,?,100965
"Doctor Who",?,?,100773
"Karneval, Fastnacht und Fasching",?,?,100670
"A4-Format",?,?,100522
"Sunniten",?,?,100440
"London",?,?,100394
"Cathy Lugner",?,?,100076
"Krieg der Sterne",?,?,99937
"Vietnamkrieg",?,?,99918
"Napoleon Bonaparte",?,?,99665
"Liste der Großstädte in Deutschland",?,?,99415
"Albert Einstein",?,?,99406
"Die Unfassbaren – Now You See Me",?,?,99337
"Susanne Wolff",?,?,99182
"Kuba",?,?,99063
"Michael Jackson",?,?,99051
"Methylphenidat",?,?,98901
"Singapur",?,?,98886
"Geschlechtsverkehr",?,?,98770
"Autismus",?,?,98695
"2 Broke Girls",?,?,98663
"Scary Movie 5",?,?,97931
"Lionel Messi",?,?,97701
"Bud Spencer",?,?,97092
"Luna Schweiger",?,?,97052
"Liam Neeson",?,?,96674
"Frankfurt am Main",?,?,96521
"Wir sind die Millers",?,?,96287
"Body-Mass-Index",?,?,96172
"Alejandro González Iñárritu",?,?,96122
"Jason Statham",?,?,96091
"Thomas Cromwell, 1. Earl of Essex",?,?,95998
"Wasserstoffbombe",?,?,95545
"Resident Evil (Film)",?,?,95537
"Mark Wahlberg",?,?,95157
"Jenna Dewan",?,?,94933
"Caterina Valente",?,?,94848
"Heath Ledger",?,?,94844
"Bob McCarron",?,?,94787
"Scoville-Skala",?,?,94754
"Hämorrhoiden",?,?,94284
"Nekrolog 2015",?,?,94181
"Empathie",?,?,94155
"Indonesien",?,?,94143
"Brad Pitt",?,?,94115
"Bundespräsident (Deutschland)",?,?,93782
"Krätze",?,?,93726
