Page,Edits,Editors,Views
"Template:GeoTemplate",?,?,906298
"Halloween",34,19,636606
"Deutschland",102,32,628523
"The Walking Dead (Fernsehserie)",135,64,624395
"James Bond",40,15,604572
"Nekrolog 2015",46,13,545338
"Syrien",5,5,421780
"Zurück in die Zukunft",28,24,421111
"Michael J. Fox",15,11,389918
"Star Wars",47,24,380589
"Lupus erythematodes",2,2,344248
"Akif Pirinçci",400,81,329473
"Zurück in die Zukunft (Film)",63,43,311888
"Fußball-Europameisterschaft 2016/Qualifikation",410,130,310535
"The 100",18,14,285920
"Fußball-Europameisterschaft 2016",99,54,284402
"Andreas Bourani",16,11,273328
"James Bond 007: Spectre",42,24,265127
"Star Wars: Das Erwachen der Macht",62,40,255807
"Zurück in die Zukunft II",71,38,234586
"Patriotische Europäer gegen die Islamisierung des Abendlandes",0,0,231288
"Die Tribute von Panem",10,7,229759
"The Big Bang Theory",19,11,225972
"The Walking Dead (Fernsehserie)/Episodenliste",46,18,225320
"Er ist wieder da",42,27,225262
"Pablo Escobar",28,21,223053
"Transatlantisches Freihandelsabkommen",48,33,218632
"Game of Thrones",17,13,215958
"Vereinigte Staaten",47,12,211603
"Pluraletantum",3,3,207396
"Fear the Walking Dead",53,26,207281
"Christopher Lloyd (Schauspieler)",3,3,207185
"Schweiz",8,7,207105
"Adolf Hitler",20,14,199310
"Österreich",25,20,198438
"Wikipedia",3,3,197467
"Berlin",48,22,190297
"Angela Merkel",45,26,188625
"Bruce Darnell",6,4,186883
"Asperger-Syndrom",16,11,185107
"Interstellar",4,3,184379
"Rammstein",24,18,183135
"Rugby-Union-Weltmeisterschaft 2015",159,51,180623
"Bürgerkrieg in Syrien",0,0,175383
"Der Marsianer",14,11,175095
"DNA-Reparatur",5,5,170809
"Mitgliedstaaten der Europäischen Union",6,6,169277
"Islamischer Staat (Organisation)",25,14,168461
"Tag der Deutschen Einheit",23,17,163619
"Sommerzeit",29,22,162800
"Seepferdchen",5,5,160800
"Elyas M’Barek",2,2,158561
"Georgien",7,7,157133
"Daniel Craig",8,8,154715
"Henriette Reker",150,68,154418
"Harry Potter",17,14,154236
"Figuren aus Star Wars",30,23,153744
"Türkei",15,11,153568
"Russland",7,6,153130
"Henning Mankell",73,35,152725
"Stephen Hawking",11,10,151487
"Alles steht Kopf",40,24,151270
"Björn Höcke",134,40,150750
"Mignon (Batterie)",0,0,150104
"Zweiter Weltkrieg",50,10,148439
"Todsünde",3,3,148224
"Liste der Kfz-Kennzeichen in Deutschland",0,0,145916
"Yps",22,18,145245
"Periodensystem",1,1,144708
"Grey’s Anatomy",23,20,144251
"Mark Hamill",18,11,139349
"Flüchtlingskrise in Europa 2015",0,0,138671
"Reformationstag",2,2,135777
"Harry Potter (Filmreihe)",12,8,135651
"Europäische Union",18,12,133342
"Volkswagen AG",36,14,132088
"Bertolt Brecht",17,11,132040
"James J. Bulger",5,5,130569
"Weissensee (Fernsehserie)",0,0,130546
"Rugby",7,5,130337
"Krieg der Sterne",8,8,127268
"Rea Garvey",11,9,127232
"Frankreich",28,20,126937
"Erster Weltkrieg",4,4,126763
"Berliner Mauer",11,2,126586
"Judith Williams",3,2,125831
"The Voice of Germany",9,6,125644
"Black Mass",3,1,125055
"New York City",13,8,125012
"FC Liverpool",47,27,124631
"House of Cards (Fernsehserie)",0,0,124629
"Lencke Steiner",0,0,122831
"Carrie Fisher",0,0,122349
"Australien",4,2,122107
"Hamburg",18,14,121611
"Reisekrankheit",3,2,121539
"Breaking Bad",13,11,120641
"Multiple Sklerose",3,3,119978
