Page,Edits,Editors,Views
"Peter Lustig",157,74,861197
"Roger Willemsen",162,111,688284
"Deutschland",39,14,682112
"Oscarverleihung 2016",85,35,616097
"Game of Thrones",23,16,611068
"Leonardo DiCaprio",88,58,588912
"Nekrolog 2016",54,22,574973
"Donald Trump",89,48,482670
"Super Bowl 50",87,44,475012
"Zika-Virus",195,64,453087
"Valentinstag",25,21,442829
"The Hateful Eight",131,57,383738
"Deadpool (Film)",71,38,353181
"Akte X – Die unheimlichen Fälle des FBI",66,35,345433
"The Revenant – Der Rückkehrer",46,20,335985
"Der große Gatsby",2,2,326808
"Quentin Tarantino",19,16,297255
"Colonia Dignidad",36,22,296507
"Uwe Barschel",82,27,289175
"The Walking Dead (Fernsehserie)",52,26,280781
"Deadpool",0,0,271844
"Präsidentschaftswahl in den Vereinigten Staaten 2016",44,29,260027
"Wikipedia",18,17,251424
"Unix-Shell",2,2,250615
"Vereinigte Staaten",24,10,247959
"Syrien",7,7,246565
"Super Bowl",13,10,246314
"Frauke Petry",112,52,242913
"Der große Gatsby (2013)",4,3,242449
"The Big Bang Theory",17,9,238220
"Karneval, Fastnacht und Fasching",14,9,233841
"Angelique Kerber",76,43,229601
"American Football",23,19,210973
"Alternative für Deutschland",12,4,205821
"Gravitationswelle",114,60,205775
"Jamie-Lee Kriewitz",126,63,199174
"Berlin",25,9,198610
"Weiberfastnacht",27,23,198599
"Peyton Manning",45,28,198084
"Figuren im Lied von Eis und Feuer",8,6,197334
"Schweiz",35,14,195626
"Eisenbahnunfall von Bad Aibling",830,201,189023
"Österreich",26,19,188621
"Grey’s Anatomy",11,8,188466
"Adolf Hitler",29,13,179553
"Shutter Island (Film)",5,5,176922
"Spotlight (Film)",38,20,176848
"Bernie Sanders",54,38,176633
"Löwenzahn (Fernsehsendung)",36,26,171476
"Asperger-Syndrom",2,2,170550
"Periodensystem",2,2,170140
"The Shannara Chronicles",38,17,169202
"Non-Stop (Film)",9,8,169076
"Angela Merkel",11,9,167877
"Albert Einstein",12,7,165478
"Zweiter Weltkrieg",32,9,164390
"Erster Weltkrieg",22,8,163449
"Figuren aus dem Marvel-Universum",94,31,163195
"Russland",8,7,162971
"Beatrix von Storch",137,42,162770
"René Théophile Hyacinthe Laënnec",0,0,161577
"Mitgliedstaaten der Europäischen Union",23,18,161077
"Die Brücke – Transit in den Tod",28,8,160459
"Schlacht um Verdun",80,11,158895
"Dunja Hayali",32,16,158877
"Ryan Reynolds",10,8,158178
"Ruby O. Fee",6,6,156763
"Wolkenfrei",13,7,156254
"Bürgerkrieg in Syrien",0,0,155291
"Oscar",21,16,152822
"Der Lehrer (Fernsehserie)",29,20,152283
"Zoo (Fernsehserie)",18,9,152028
"Facebook",3,3,152012
"Europäische Union",44,33,149705
"Tuberkulose",10,9,149481
"Pretty Little Liars",27,15,148950
"Captain Phillips",7,4,148137
"Fritz Bauer",17,12,144923
"Alain Delon",5,5,144886
"Umberto Eco",40,26,144207
"Scharlach",4,3,140247
"Gillian Anderson",6,6,136797
"Marco Huck",42,29,136779
"Til Schweiger",16,14,136720
"Kleiner Waffenschein",11,5,134514
"Brie Larson",12,11,134337
"Islamischer Staat (Organisation)",29,18,134114
"Jessica Ginkel",9,6,134086
"Colonia Dignidad – Es gibt kein Zurück",22,13,133122
"Barschel-Affäre",23,15,132249
"Wolfgang Rademann",22,13,132166
"Star Wars: Das Erwachen der Macht",71,30,132014
"Google",12,9,131696
"Aschermittwoch",17,7,131383
"Europa",10,7,129710
"Frankreich",49,33,129115
"Game of Thrones/Episodenliste",5,3,128051
"Two and a Half Men",19,11,127548
"Australien",14,5,127464
"Star Wars",12,6,127415
"Michael Michalsky",?,?,126581
"The Mentalist",?,?,124851
"Hail, Caesar!",?,?,124736
"Türkei",?,?,124193
"Fastenzeit",?,?,123244
"The Walking Dead (Fernsehserie)/Episodenliste",?,?,122407
"Pfeiffer-Drüsenfieber",?,?,122165
"Helena Fürst",?,?,122057
"Multiple Sklerose",?,?,122012
"YouTube",?,?,120777
"Kanada",?,?,120207
"Channing Tatum",?,?,119957
"Andreas Wolff (Handballspieler)",?,?,119573
"Raum (Film)",?,?,119452
"Hamburg",?,?,119351
"New York City",?,?,119337
"Julia Klöckner",?,?,119040
"Schaltjahr",?,?,118865
"Fußball-Europameisterschaft 2016",?,?,118726
"Bayern",?,?,117960
"Levi’s Stadium",?,?,117721
"Florian David Fitz",?,?,117191
"Vampire Diaries",?,?,116793
"Tom Hardy",?,?,116264
"Denver Broncos",?,?,115917
"American Horror Story",?,?,115791
"Jennifer Lawrence",?,?,115567
"House of Cards (Fernsehserie)",?,?,114588
"Prison Break",?,?,113867
"Italien",?,?,113630
"James Bond",?,?,113512
"Adele (Sängerin)",?,?,112582
"Barack Obama",?,?,112268
"Suits (Fernsehserie)",?,?,112150
"Chinesisches Neujahrsfest",?,?,111889
"Paul Schäfer (Colonia Dignidad)",?,?,111456
"Angelman-Syndrom",?,?,111451
"Felix Sturm",?,?,110542
"Juan Amador",?,?,110476
"Castle (Fernsehserie)",?,?,110364
"H.P. Baxxter",?,?,109923
"Die Hebamme (2014)",?,?,109914
"Liste der Kfz-Kennzeichen in Deutschland",?,?,109673
"Sons of Anarchy",?,?,109613
"Indien",?,?,109574
"Forrest Gump",?,?,109138
"Borderline-Persönlichkeitsstörung",?,?,108646
"Vorwahlergebnisse der Präsidentschaftswahl in den Vereinigten Staaten 2016",?,?,108509
"Die drei Musketiere (2011)",?,?,108412
"Toni Garrn",?,?,108288
"Der Marsianer – Rettet Mark Watney",?,?,108063
"Breaking Bad",?,?,107833
"Carolina Panthers",?,?,107766
"Sylvester Stallone",?,?,107752
"Neuseeland",?,?,107750
"Panzerkampfwagen IV",?,?,107736
"Matthias Schweighöfer",?,?,107382
"Morena Baccarin",?,?,107153
"NATO",?,?,106883
"Stephen Hawking",?,?,106554
"Bundeskanzler (Deutschland)",?,?,105810
"Robert De Niro",?,?,105410
"Andrea Berg",?,?,105235
"Iran",?,?,105147
"Bipolare Störung",?,?,105116
"Johnny Depp",?,?,104536
"Scarlett Johansson",?,?,104420
"Klaus Kinski",?,?,104202
"Vereinigtes Königreich",?,?,104193
"Internet Movie Database",?,?,104170
"Eurovision Song Contest 2016",?,?,104139
"Konfektionsgröße",?,?,104094
"Sex",?,?,104062
"Berlin – Tag & Nacht",?,?,104020
"Clint Eastwood",?,?,103942
"Germany’s Next Topmodel",?,?,103354
"Polen",?,?,103186
"München",?,?,102768
"Michael Jackson",?,?,102745
"Menderes Bağcı",?,?,102625
"Figuren aus Star Wars",?,?,102475
"Volksrepublik China",?,?,102293
"David Bowie",?,?,102137
"Schizophrenie",?,?,102076
"Liste der IPA-Zeichen",?,?,101988
"Michael Oher",?,?,101928
"Michelle (Sängerin)",?,?,101922
"Köln",?,?,101808
"The Big Short (Film)",?,?,101799
"Justin Bieber",?,?,101443
"Seeohren",?,?,101032
"Vagina",?,?,100990
"George Clooney",?,?,100954
"Tom Hanks",?,?,100819
"Präposition",?,?,100817
"Harry Potter",?,?,100694
"Kate Winslet",?,?,100485
"Vietnamkrieg",?,?,100470
"Ted Cruz",?,?,100316
"Liste erfolgreicher Filme",?,?,100115
"Wolfgang Amadeus Mozart",?,?,99930
"Liste der Präsidenten der Vereinigten Staaten",?,?,99873
"Jim Reeves (deutscher Sänger)",?,?,99735
"Sasha (Sänger)",?,?,98999
"Criminal Minds",?,?,98289
"Julianne Moore",?,?,98168
"Alicia Vikander",?,?,98032
"Spanien",?,?,97913
"Kannibalismus",?,?,97636
"Nordrhein-Westfalen",?,?,97106
"Martin Luther",?,?,97028
"Wien",?,?,96818
"Hans Globke",?,?,96646
"Island",?,?,96143
"Helene Fischer",?,?,96037
"Eli Manning",?,?,96025
"Nora Tschirner",?,?,96014
"RMS Titanic",?,?,95987
"Jennifer Jason Leigh",?,?,95943
"A4-Format",?,?,95663
"Emma Watson",?,?,95532
"Marvel’s The Avengers",?,?,95527
"Schweden",?,?,95395
"Mad Max: Fury Road",?,?,95125
"Johann Wolfgang von Goethe",?,?,94910
"FC Bayern München",?,?,94776
"Rosenmontag",?,?,94388
"Verwandtschaftsbeziehung",?,?,94115
"Supernatural",?,?,94047
"Liam Neeson",?,?,93977
"Suffragetten",?,?,93461
"Emilia Clarke",?,?,93384
"Dadaismus",?,?,93354
"Navy CIS",?,?,93336
"Empathie",?,?,93289
"Better Call Saul",?,?,93130
"Lena Meyer-Landrut",?,?,93074
"Schengener Abkommen",?,?,92930
"Christoph Kolumbus",?,?,92838
"Autismus",?,?,92664
"David Duchovny",?,?,92644
"Jerry Lewis",?,?,92606
"Mount Everest",?,?,92556
"Transatlantisches Freihandelsabkommen",?,?,92454
"Baden-Württemberg",?,?,92416
"Japan",?,?,91859
"Green Zone",?,?,91706
"Niederlande",?,?,91704
"Elvis Presley",?,?,91224
"Hand-Fuß-Mund-Krankheit",?,?,91158
"Frankfurt am Main",?,?,91036
"Pegida",?,?,90656
"Aglaia Szyszkowitz",?,?,90310
"Kaley Cuoco",?,?,90304
"Krätze",?,?,90175
"Fargo (Fernsehserie)",?,?,90033
"The Man in the High Castle (Fernsehserie)",?,?,90009
"Afghanistan",?,?,89948
"The Danish Girl",?,?,89726
"Weltwunder",?,?,89633
"Amyotrophe Lateralsklerose",?,?,89310
"Michael Fassbender",?,?,89238
"London",?,?,89041
"Maghreb",?,?,88947
"Gianni Infantino",?,?,88946
"Dexter (Fernsehserie)",?,?,88677
"Deutsche Männer-Handballnationalmannschaft",?,?,88384
"Björn Engholm",?,?,88089
"Gran Torino",?,?,87978
"Richard Lugner",?,?,87952
"Malta",?,?,87826
"Body-Mass-Index",?,?,87757
"Arnold Schwarzenegger",?,?,87524
"Liste der Großstädte in Deutschland",?,?,87471
"Jack Ryan: Shadow Recruit",?,?,87323
"Holocaust",?,?,86765
"Tim Mälzer",?,?,86523
"Visegrád-Gruppe",?,?,86386
"Elyas M’Barek",?,?,86249
"Nordkorea",?,?,86045
"Geschlechtsverkehr",?,?,85955
"Eminem",?,?,85703
"Quinoa",?,?,85358
"UEFA Champions League",?,?,85341
"Gigi Hadid",?,?,85323
"Pablo Escobar",?,?,85233
"Mormonentum",?,?,85148
"Musculus pronator teres",?,?,85137
"Snapchat",?,?,85009
"BDSM",?,?,84956
"Boris Nikolajewitsch Jelzin",?,?,84840
"Islam",?,?,84670
"Incoterms",?,?,84598
"Mauritius",?,?,84532
"Kuba",?,?,84508
"Singapur",?,?,84279
"Zac Efron",?,?,84225
"Meryl Streep",?,?,83961
"Christoph Waltz",?,?,83645
"Blokkhaus",?,?,83280
"Lady Gaga",?,?,82978
"Israel",?,?,82481
"Elon Musk",?,?,82251
"Norwegen",?,?,82054
"Bundespräsident (Deutschland)",?,?,81875
"Dave Mirra",?,?,81788
"Julian Nagelsmann",?,?,81651
"Josefine Preuß",?,?,81461
"Der Name der Rose (Film)",?,?,81424
"Ethan und Joel Coen",?,?,81291
"WhatsApp",?,?,81005
"Olivia Wilde",?,?,80837
"Vereinte Nationen",?,?,80770
"Napoleon Bonaparte",?,?,80723
"Mila Kunis",?,?,80615
"Cam Newton",?,?,80512
"Irland",?,?,80129
"Berliner Mauer",?,?,79934
"Sinus und Kosinus",?,?,79775
"Ländervorwahlliste sortiert nach Nummern",?,?,79519
"Natalia Wörner",?,?,79467
"Doctor Who",?,?,79057
"Der Bachelor",?,?,78968
"Thomas Häßler",?,?,78895
"Land (Deutschland)",?,?,78702
"Matrix (Film)",?,?,78551
"Universal Serial Bus",?,?,78418
"Depression",?,?,78190
"Hashimoto-Thyreoiditis",?,?,78018
"Diabetes mellitus",?,?,77917
"Margit Geissler-Rothemund",?,?,77839
"2 Broke Girls",?,?,77835
"National Football League",?,?,77834
"Hillary Rodham Clinton",?,?,77790
"Fibromyalgie",?,?,77781
"Instagram",?,?,77769
"Kroatien",?,?,77760
"Sebastian Kurz",?,?,77438
"Samuel L. Jackson",?,?,77388
"Cristiano Ronaldo",?,?,77146
"Die Tribute von Panem",?,?,77119
"Körpertemperatur",?,?,76972
"Sido",?,?,76932
"Bachelor",?,?,76854
"Liste der Länder Europas",?,?,76742
"Griechisches Alphabet",?,?,76728
"Cheops-Pyramide",?,?,76524
"Narrenruf",?,?,76487
"Blake Lively",?,?,76376
"Narzissmus",?,?,76331
"Ruinen (Film)",?,?,76270
