Page,Edits,Editors,Views
"Pfingsten",4,4,918143
"Fronleichnam",21,15,791665
"Eurovision Song Contest 2016",446,145,697363
"Nekrolog 2016",28,13,583940
"Game of Thrones",38,21,562893
"Deutschland",15,7,539079
"Alexander Van der Bellen",353,96,397244
"12 Years a Slave",8,8,374550
"Fußball-Europameisterschaft 2016",94,47,374158
"Bosseborn",21,10,370551
"Die Tribute von Panem",9,8,346762
"Eisheilige",23,15,325109
"Figuren aus dem Marvel-Universum",69,14,307199
"Muttertag",22,21,295971
"Christi Himmelfahrt",10,8,288604
"Eurovision Song Contest",94,48,274415
"The First Avenger: Civil War",79,24,274083
"UEFA Champions League",60,36,260919
"Norbert Hofer",342,33,260894
"Jana Pallaske",1,1,254794
"Donald Trump",65,28,252484
"Österreich",45,33,247487
"Vatertag",48,32,244846
"Udo Lindenberg",38,25,239506
"FC Bayern München",82,38,239234
"Erika Berger",50,39,237088
"Unix-Shell",0,0,233417
"Wikipedia",18,14,229025
"The Shannara Chronicles",11,8,224754
"Grey’s Anatomy",26,13,224474
"Jamie-Lee Kriewitz",55,41,223402
"Eishockey-Weltmeisterschaft der Herren 2016",164,42,218306
"Vereinigte Staaten",10,6,216043
"Christian Kern",107,56,209015
"Adolf Hitler",20,9,208340
"Berlin",58,25,206241
"Schweiz",9,4,201556
"X-Men: Apocalypse",141,33,199071
"Annett Louisan",8,8,196829
"Bundespräsidentenwahl in Österreich 2016",206,84,181043
"Margot Honecker",201,51,175934
"Sigmund Freud",12,11,169808
"X-Men (Filmreihe)",4,4,169354
"Erster Mai",9,6,168960
"Facebook",2,2,168385
"RB Leipzig",51,21,167657
"Liste der Kfz-Kennzeichen in Deutschland",1,1,166973
"Zweiter Weltkrieg",28,8,166817
"Leicester City",76,45,166806
"Transatlantisches Freihandelsabkommen",69,45,166033
"Erster Weltkrieg",32,12,164151
"Australien beim Eurovision Song Contest",36,19,160371
"Victoria Swarovski",4,4,158134
"The Walking Dead (Fernsehserie)",12,11,156793
"Samy Deluxe",14,8,155874
"Mitgliedstaaten der Europäischen Union",4,4,155849
"Germany’s Next Topmodel",52,30,155259
"Frauke Petry",16,9,154399
"Periodensystem",0,0,153451
"Jan Böhmermann",44,30,151242
"Multiple Sklerose",5,5,150593
"Figuren im Lied von Eis und Feuer",18,7,150326
"Binge Watching",0,0,149996
"The Big Bang Theory",23,16,149865
"Alles, was wir geben mussten (Film)",0,0,149450
"Russland",20,18,149324
"Uwe Friedrichsen",64,38,148466
"Mats Hummels",57,33,146480
"Star Wars: Das Erwachen der Macht",17,14,145565
"Fußball-Europameisterschaft",5,4,144687
"Cristiano Ronaldo",4,1,144250
"DFB-Pokal",45,40,143029
"Secrets and Lies",3,3,141635
"Vorstadtweiber",25,15,141505
"Liste der Sieger und Veranstaltungen des Eurovision Song Contests",13,9,140698
"Justin Timberlake",6,5,140611
"Leonardo DiCaprio",12,9,139902
"Europa",3,2,137430
"Frankreich",22,9,136729
"Italien",35,13,136493
"Jennifer Lawrence",17,14,135292
"Chroniken der Unterwelt",4,3,134938
"Peter Behrens (Schlagzeuger)",36,22,134451
"Deutsche Fußballnationalmannschaft",45,20,132998
"Europäische Union",9,8,130514
"Hamburg",20,18,129941
"Australien",19,15,129720
"Carlo Ancelotti",14,11,129071
"Johnny Depp",10,7,128927
"Mathieu Carrière",14,10,128918
"Marvel Cinematic Universe",20,12,128321
"Die Tribute von Panem – Catching Fire",0,0,127963
"Amber Heard",5,3,127788
"Warcraft: The Beginning",119,33,127181
"Homeland (Fernsehserie)",2,2,126860
"Glyphosat",26,10,126687
"Alternative für Deutschland",283,96,126404
"UEFA Champions League 2016/17",191,41,125452
"Pep Guardiola",21,18,125350
"Bundespräsident (Österreich)",49,34,125227
"Chroniken der Unterwelt – City of Bones",?,?,125144
"House of Cards (Fernsehserie)",?,?,124900
"Bud Spencer",?,?,124543
"Asperger-Syndrom",?,?,124469
"Türkei",?,?,123613
"Malta",?,?,123560
"James Bond",?,?,123486
"Kanada",?,?,122721
"Bob Dylan",?,?,122457
"AC/DC",?,?,121916
"LiveChat",?,?,121678
"Michael Fassbender",?,?,121626
"Pretty Little Liars",?,?,121190
"Fear the Walking Dead",?,?,120150
"Prison Break",?,?,119508
"Oana Nechiti",?,?,119051
"Deutschland beim Eurovision Song Contest",?,?,117545
"Soy Luna",?,?,117504
"Bevölkerungsdichte",?,?,117475
"American Horror Story",?,?,117229
"The Revenant – Der Rückkehrer",?,?,116995
"Game of Thrones/Episodenliste",?,?,116564
"Die Tribute von Panem – The Hunger Games",?,?,116502
"Joko Winterscheidt",?,?,116430
"VfB Stuttgart",?,?,116104
"Emilia Clarke",?,?,116076
"Vielleicht lieber morgen (Film)",?,?,115960
"Gotthard-Basistunnel",?,?,115947
"Mount Everest",?,?,115257
"Borussia Dortmund",?,?,115250
"Star Wars",?,?,114997
"The Blacklist",?,?,114841
"Inception",?,?,114117
"Snapchat",?,?,113928
"The Kelly Family",?,?,113832
"Angela Merkel",?,?,113384
"München",?,?,113318
"Erich Honecker",?,?,113177
"Transformers: Ära des Untergangs",?,?,112482
"Two and a Half Men",?,?,111907
"Terence Hill",?,?,111355
"New York City",?,?,110783
"Downton Abbey",?,?,110571
"Wien",?,?,110378
"Erich Klann",?,?,109284
"Suits (Fernsehserie)",?,?,108805
"Real Madrid",?,?,108590
"Xavier Naidoo",?,?,108485
"Max Verstappen",?,?,108439
