Page,Edits,Editors,Views
"Katalonien",170,70,1043350
"Martin Luther",40,22,583359
"Nekrolog 2017",5,4,573827
"Halloween",20,15,573439
"Deutschland",49,15,568406
"Blade Runner",32,20,564807
"Es (2017)",82,32,484955
"Nena",12,10,466520
"Sebastian Kurz",89,46,439298
"Harvey Weinstein",103,48,390898
"Stranger Things",45,23,361432
"Maximilian I. (HRR)",9,8,357532
"The Walking Dead (Fernsehserie)",6,5,353525
"Stephen Kings Es",18,17,336032
"Tom Petty",95,51,330484
"Patrick Weber",0,0,328228
"Jupp Heynckes",115,52,323856
"Fridtjof Nansen",11,9,313410
"Bukkake",4,3,309618
"Blade Runner 2049",152,53,299561
"Babylon Berlin",57,44,299492
"Reformationstag",22,15,299164
"Star Trek: Discovery",95,43,282084
"Tag der Deutschen Einheit",25,19,272821
"Star Wars",14,9,272687
"Nationalratswahl in Österreich 2017",250,79,259291
"Unix-Shell",2,2,259173
"ThinThread",0,0,257813
"Fußball-Weltmeisterschaft 2018/Qualifikation (UEFA)",260,99,257037
"Game of Thrones",25,20,247551
"Nirvana (US-amerikanische Band)",3,3,241120
"Liste in Deutschland vorhandener Dampflokomotiven",17,9,237562
"Fußball-Weltmeisterschaft 2018/Qualifikation",76,39,237049
"Thomas Müntzer",8,6,236417
"Österreich",27,20,226029
"Ehrlich Brothers",5,4,224446
"Sylke Tempel",78,53,220647
"Elyas M’Barek",6,2,216731
"Spanien",14,10,210877
"Bitcoin",26,15,209580
"Maze Runner – Die Auserwählten im Labyrinth",1,1,198900
"Ländervorwahlliste sortiert nach Nummern",1,1,196244
"Kingsman: The Secret Service",9,9,191943
"Maria von Burgund",3,3,189885
"95 Thesen",4,2,189685
"Fußball-Weltmeisterschaft 2018",81,38,188952
"Schweiz",30,20,183016
"Vereinigte Staaten",17,13,182377
"Fack ju Göhte",16,14,177760
"Mark Forster",23,17,177029
"Air Berlin",107,54,173691
"Allerheiligen",3,3,172472
"Berlin",6,5,172284
"Bundestagswahl 2017",88,57,171086
"Samu Haber",2,2,169938
"UNESCO",127,45,169658
"Kevin Spacey",43,23,169548
"Nadeshda Brennicke",0,0,166202
"Meret Oppenheim",21,17,164186
"Europa",1,1,163241
"Figuren aus Star Wars",73,26,162904
"Rote Armee Fraktion",13,8,162618
"Riverdale (Fernsehserie)",35,20,160984
"Bill Skarsgård",4,4,159780
"Nationalfeiertag (Österreich)",27,19,159411
"Judith Williams",6,5,157538
"The Kelly Family",6,5,157410
"The Walking Dead (Fernsehserie)/Staffel 7",19,9,156161
"Helene Fischer",28,20,154742
"Wikipedia",8,6,151479
"Pretty Little Liars",17,12,149790
"Malta",17,13,149525
"Pablo Escobar",1,1,148868
"Sommerzeit",16,9,142804
"Maze Runner – Die Auserwählten in der Brandwüste",26,9,139169
"Liste der Kfz-Kennzeichen in Deutschland",5,4,139166
"Adolf Hitler",40,10,138766
"Angela Merkel",13,10,138150
"Pest",7,5,137961
"Erster Weltkrieg",14,5,136733
"Yvonne Catterfeld",5,5,136628
"Island",7,4,135939
"Stephen King",12,10,133450
"Geiselnahme von Gladbeck",31,23,132273
"Periodensystem",0,0,131524
"Dagmar Wöhrl",2,2,129857
"Roland Kaiser",3,3,129402
"Österreichische Volkspartei",32,16,128744
"Che Guevara",20,14,128572
"Es (Roman)",11,10,128152
"Landtagswahl in Niedersachsen 2017",153,45,127255
"Goetheturm",83,48,125959
"Vikings (Fernsehserie)",0,0,125777
"Mata Hari",9,6,125642
"Russland",24,18,125363
"Ralf Dümmel",10,6,124916
"The Big Bang Theory",11,7,124478
"American Horror Story",31,15,123666
"Grey’s Anatomy",21,14,123628
"Zweiter Weltkrieg",9,6,122616
"Eminem",?,?,122214
"Hamburg",?,?,121580
"Bud Spencer",?,?,120951
"Rammstein",?,?,119444
"Bayern",?,?,119252
"Puerto Rico",?,?,119157
"Fack ju Göhte 3",?,?,119113
"Terence Hill",?,?,117903
"Blockchain",?,?,117689
"Niedersachsen",?,?,117430
"Frank Thelen",?,?,117011
"Judith Rakers",?,?,116128
"Kingsman: The Golden Circle",?,?,115617
"Liste der IPA-Zeichen",?,?,115603
"Ironman Hawaii",?,?,115371
