Page,Edits,Editors,Views
"George Michael",111,67,993386
"Carrie Fisher",105,68,732634
"Rogue One: A Star Wars Story",195,92,629530
"Ellis-van-Creveld-Syndrom",2,2,623531
"Nekrolog 2016",35,17,618317
"Deutschland",51,16,596955
"Helene Fischer",37,31,506204
"Apollo 13",1,1,444516
"Gotthardtunnel",74,36,432996
"Zsa Zsa Gabor",87,50,408240
"Debbie Reynolds",81,43,378943
"Weihnachten",38,12,364675
"Star Wars",33,21,363295
"Elisabeth von Österreich-Ungarn",28,17,354017
"Kirk Douglas",18,14,323952
"Game of Thrones",14,12,323297
"The Walking Dead (Fernsehserie)",19,14,309344
"Wikipedia",10,6,282791
"Nikolaus von Myra",31,23,282557
"Amundsens Fram-Expedition",18,15,275686
"Liste in Deutschland vorhandener Dampflokomotiven",8,3,244509
"Figuren aus Star Wars",118,37,241148
"Vereinigte Staaten",5,4,238561
"Phantastische Tierwesen und wo sie zu finden sind (Film)",24,8,237945
"Gregory Porter",6,6,236402
"Unix-Shell",0,0,234626
"Europäische Union",8,4,233471
"Nico Rosberg",97,56,230920
"Macaulay Culkin",3,3,226555
"Winnetou",15,8,225836
"Palau",3,3,220058
"Donald Trump",195,38,215359
"Weihnachtsmann",21,18,214612
"Kevin – Allein zu Haus",12,9,210856
"Yvonne Catterfeld",22,10,205705
"Romy Schneider",9,8,204820
"Gilmore Girls",8,5,204736
"Aleppo",20,18,202742
"Stephen Hawking",8,7,199370
"Berlin",9,9,199156
"Elvis Presley",2,2,196520
"Angela Merkel",69,41,196459
"Angriff auf Pearl Harbor",18,11,195624
"Drei Haselnüsse für Aschenbrödel",19,10,194116
"Der kleine Lord (1980)",11,7,192927
"Österreich",25,20,192488
"Sonnenwende",12,10,191999
"Small Planet Airlines",0,0,191038
"Dinner for One",12,11,188642
"Roger Cicero",3,3,187836
"Tatsächlich … Liebe",?,?,183512
"Elisabeth II.",2,2,180865
"Postfaktische Politik",82,34,180742
"Alexander Van der Bellen",90,34,179669
"Priscilla Presley",0,0,178907
"Erster Weltkrieg",5,5,176544
"Der Herr der Ringe (Filmtrilogie)",4,3,175851
"Der Hobbit (Filmtrilogie)",5,3,175086
"Weihnachtsbaum",27,21,173848
"Russland",49,35,173322
"Schweiz",9,6,172647
"Elyas M’Barek",8,6,170519
"Stille Nacht, heilige Nacht",21,16,170229
"Westworld (Fernsehserie)",45,23,168134
"Die Eiskönigin – Völlig unverfroren",6,6,166484
"Vikings (Fernsehserie)",28,13,165458
"Chanukka",15,14,165413
"Zweiter Weltkrieg",14,4,165129
"Adolf Hitler",20,6,164293
"Periodensystem",1,1,163711
"Grey’s Anatomy",5,4,163554
"Silvester",18,17,163332
"The Big Bang Theory",18,11,161219
"Frédéric von Anhalt",41,17,158966
"The Rolling Stones",10,5,156993
"Felicity Jones",3,3,155691
"Max Giesinger",20,10,154704
"American Horror Story",13,12,154014
"X-Men (Filmreihe)",9,8,153602
"Heilige Drei Könige",7,5,152286
"LEG – Adler und Pfeil",16,12,150896
"Pablo Escobar",3,2,150319
"Gotthard-Basistunnel",106,28,150205
"Star Wars: Das Erwachen der Macht",15,14,149928
"Suicide Squad (Film)",8,4,148917
"Karl May",5,5,148780
"Islamischer Staat (Organisation)",36,29,148329
"Bürgerkrieg in Syrien",0,0,147950
"Franz Sacher",32,21,145571
"Udo Jürgens",9,7,144645
"Anschlag auf den Berliner Weihnachtsmarkt an der Gedächtniskirche",1314,234,144480
"Figuren aus dem Marvel-Universum",11,9,144453
"Liste der Staaten der Erde",2,2,143349
"Edge of Tomorrow",26,12,143231
"Victoria Swarovski",5,4,141433
"Die Tribute von Panem",5,5,140693
"RB Leipzig",13,8,140307
"Europa",1,1,139864
"Hacker",10,5,139109
"Rauhnacht",9,7,135703
"Asperger-Syndrom",?,?,134426
"Winnetou (2016)",?,?,133674
"Figuren in Tolkiens Welt",?,?,133576
"Abtreibung",?,?,131696
"Harry Potter",?,?,130882
"Jennifer Lawrence",?,?,129342
"Club der roten Bänder",?,?,128266
"Freddie Mercury",?,?,127641
"Kaki",?,?,126538
"Facebook",?,?,126455
"Italien",?,?,125539
"Bud Spencer",?,?,125221
"Syrien",?,?,125145
"Australien",?,?,124553
"James Bond",?,?,124372
"Luftmine",?,?,124205
"Josefine Preuß",?,?,123415
"Navy CIS",?,?,123097
"Pentatonix",?,?,122024
"Luke Mockridge",?,?,121520
"Verwandtschaftsbeziehung",?,?,121455
"Hamburg",?,?,121364
"Weihnachten weltweit",?,?,121228
"Thomas Strobl",?,?,119932
"Sebastian Münster (Schauspieler)",?,?,119905
"Black Mirror (Fernsehserie)",?,?,119310
"Thorsten Legat",?,?,119280
"Krampus",?,?,119219
"Kerstin Ott",?,?,119165
"Assassin’s Creed",?,?,118365
"Advent",?,?,116950
"Michael Fassbender",?,?,116573
"Jesus von Nazaret",?,?,116472
"Nadja abd el Farrag",?,?,116226
"Harry Potter (Filmreihe)",?,?,115983
"Falco",?,?,115906
"Nik Xhelilaj",?,?,115760
"Marie Antoinette",?,?,115516
"Libuše Šafránková",?,?,115424
"Wham!",?,?,115053
"Ziemlich beste Freunde",?,?,115015
"Pearl Harbor",?,?,114481
"Präsenz",?,?,114142
"Wien",?,?,114128
"Wolfgang Amadeus Mozart",?,?,113851
"Populismus",?,?,113616
"Arrival (Film)",?,?,113299
"Die Schwarzwaldklinik",?,?,113130
"Indien",?,?,112918
"Michael Douglas",?,?,112667
"Bipolare Störung",?,?,112294
"Martin Luther",?,?,111911
"Sissi (Film)",?,?,111576
"Colonia Dignidad",?,?,111445
"Mick Jagger",?,?,110976
"Carolin Kebekus",?,?,110930
"Türkei",?,?,110776
"Der Herr der Ringe: Die Gefährten (Film)",?,?,110463
"Lex Barker",?,?,110460
"Alan Rickman",?,?,110326
"Klaas Heufer-Umlauf",?,?,110006
"Winnetou – Der Mythos lebt",?,?,109469
"Tupolew Tu-154",?,?,109306
"Zirkumzision",?,?,109101
"New York City",?,?,108956
"Pretty Little Liars",?,?,108289
"Leonardo DiCaprio",?,?,108272
"Prison Break",?,?,108211
"Rendezvous mit Joe Black",?,?,108163
"Liste der Präsidenten der Vereinigten Staaten",?,?,108049
"Volksrepublik China",?,?,107872
"The Hateful Eight",?,?,107657
"Lichtgeschwindigkeit",?,?,107652
"Frauke Petry",?,?,107094
"Victoria (Vereinigtes Königreich)",?,?,107063
"Miriam Pielhau",?,?,106988
"Frankreich",?,?,106933
"Hildegard Hamm-Brücher",?,?,106514
"Terence Hill",?,?,105500
"Mitgliedstaaten der Europäischen Union",?,?,105357
"Schöne Bescherung",?,?,104697
"Johnny Depp",?,?,104570
"Bundespräsident (Deutschland)",?,?,104551
"Norbert Hofer",?,?,104336
"Kanada",?,?,103531
"Liste der IPA-Zeichen",?,?,103164
"Krätze",?,?,103136
"Supernatural",?,?,103003
"Billie Lourd",?,?,102944
"The Voice of Germany",?,?,102098
"Konfektionsgröße",?,?,102080
"Pregau – Kein Weg zurück",?,?,102059
"Melanie Thornton",?,?,102037
"Wotan Wilke Möhring",?,?,102021
"Rick Parfitt",?,?,102006
"Liste der Kfz-Kennzeichen in Deutschland",?,?,101978
"Ricky Schroder",?,?,101754
"München",?,?,101752
"Gisela May",?,?,101719
"Die Bestimmung – Divergent",?,?,100786
"Bayern",?,?,99626
"Israel",?,?,99317
"Keke Rosberg",?,?,98872
"Kaiser-Wilhelm-Gedächtniskirche",?,?,98857
"Dwayne Johnson",?,?,98826
"John Wick",?,?,98248
"Kollegah",?,?,98203
"Tom Jones",?,?,97611
"Türkisch für Anfänger",?,?,97435
"Last Christmas",?,?,96849
"Michael Schumacher",?,?,96798
"Mila Kunis",?,?,96401
"Vereinigtes Königreich",?,?,96196
"Michel aus Lönneberga",?,?,95836
"Raclette",?,?,95484
"Dieter Bohlen",?,?,95268
"Bares für Rares",?,?,95181
"Franz Joseph I.",?,?,95058
"Feuerzangenbowle",?,?,94872
"Two and a Half Men",?,?,94796
"Neuseeland",?,?,94661
"Natalie Portman",?,?,94486
"Alan Thicke",?,?,94380
"Anis Amri",?,?,94298
"Designated Survivor (Fernsehserie)",?,?,94160
"Phil Taylor (Dartspieler)",?,?,93967
"Liste von Terroranschlägen",?,?,93699
"House of Cards (Fernsehserie)",?,?,93644
"Napoleon Bonaparte",?,?,93597
"187 Strassenbande",?,?,93431
"Fidel Castro",?,?,93076
"Francesca Hilton",?,?,92942
"Der Hobbit: Die Schlacht der Fünf Heere",?,?,92751
"Roland Kaiser",?,?,92160
"Eddie Redmayne",?,?,91688
"Ischämischer Schlaganfall",?,?,91588
"Adele (Sängerin)",?,?,91460
"Shawn Mendes",?,?,91423
"Vampire Diaries",?,?,91347
"Internet Movie Database",?,?,91298
"Robbie Williams",?,?,91220
"Harrison Ford",?,?,90849
"Alicia Keys",?,?,90600
"David Bowie",?,?,90212
"Roald Amundsen",?,?,90168
"Weltbevölkerung",?,?,90052
"Walt Disney",?,?,90042
"Fackeln im Sturm",?,?,89760
"Ein Herz und eine Seele",?,?,89605
"Island",?,?,89408
"Vagina",?,?,89354
"Frankfurt am Main",?,?,89286
"Krieg der Sterne",?,?,89107
"Singapur",?,?,88947
"Bob Dylan",?,?,88656
"Sherlock (Fernsehserie)",?,?,88540
"Cristiano Ronaldo",?,?,88355
"Berlin – Tag & Nacht",?,?,88019
"Kate Beckinsale",?,?,87836
"Albert Einstein",?,?,87730
"Köln",?,?,87677
"Michael Jackson",?,?,87595
"Scharlach",?,?,87436
"Bundespräsidentenwahl in Österreich 2016",?,?,87395
"Dienstgrade der Bundeswehr",?,?,87215
"Malta",?,?,86983
"Star Trek Beyond",?,?,86938
"Gotthard-Strassentunnel",?,?,86934
"The OA",?,?,86753
"Autismus",?,?,86676
"Leonard Cohen",?,?,86620
"Eddie Fisher",?,?,86614
"Bundeskanzler (Deutschland)",?,?,86264
"Mercedes-Benz Baureihe 204",?,?,86164
"Niederlande",?,?,86094
"The Royals (Fernsehserie)",?,?,85780
"Andreas Bourani",?,?,85732
"Polen",?,?,85648
"Liste der Disney-Filme",?,?,85493
"FC Bayern München",?,?,85341
"Wladimir Wladimirowitsch Putin",?,?,85182
"Norovirus",?,?,85032
"Kevin – Allein in New York",?,?,84855
"Peter Vaughan",?,?,84627
"Brad Pitt",?,?,84388
"Breaking Bad",?,?,84355
"Ursina Lardi",?,?,84072
"RMS Titanic",?,?,83994
"Johann Wolfgang von Goethe",?,?,83943
"Barack Obama",?,?,83808
"Nordrhein-Westfalen",?,?,83587
"Alec Guinness",?,?,83421
"Spanien",?,?,83332
"Margot Robbie",?,?,83186
"Vanessa Mai",?,?,82986
"Daniela Katzenberger",?,?,82721
"Alternative für Deutschland",?,?,82662
"Prince",?,?,82620
"Knut Kiesewetter",?,?,82373
"Japan",?,?,82269
"Emily Blunt",?,?,82183
"Sowjetunion",?,?,82130
"Ariana Grande",?,?,82062
"Tuberkulose",?,?,81984
"Margaret Rutherford",?,?,81854
"Bourne (Filmreihe)",?,?,81734
"Iran",?,?,81707
"Christkind",?,?,81706
"Tom Cruise",?,?,81703
"Patrick Swayze",?,?,81517
"London",?,?,81281
"Grigori Jefimowitsch Rasputin",?,?,81172
"Republik China (Taiwan)",?,?,81039
"Besteigung aller Achttausender",?,?,81013
"Rag ’n’ Bone Man",?,?,80871
"Multiple Sklerose",?,?,80714
"Liam Neeson",?,?,80550
"Nocturnal Animals",?,?,80522
"Maria Schneider (Schauspielerin)",?,?,80462
"Suits (Fernsehserie)",?,?,80375
"Schweden",?,?,80240
"Germany",?,?,80225
"Rubinrot (Film)",?,?,80146
"Reichsbürgerbewegung",?,?,80051
"Mount Everest",?,?,80037
"Melissa McCarthy",?,?,79995
"Borderline-Persönlichkeitsstörung",?,?,79911
"NATO",?,?,79866
"Liste der Großstädte in Deutschland",?,?,79748
"BDSM",?,?,79667
"Amyotrophe Lateralsklerose",?,?,79561
"Tom Hanks",?,?,79473
"Griechisches Alphabet",?,?,79315
"Star Trek",?,?,79112
"The Walking Dead (Fernsehserie)/Episodenliste",?,?,79057
"Gotthard (Fernsehfilm)",?,?,78962
"Toni Erdmann",?,?,78722
"Jeffrey Dean Morgan",?,?,78697
"Norwegen",?,?,78549
"Bildauflösung",?,?,78482
"Airbus A380",?,?,78459
"Indiana Jones",?,?,78283
"Eminem",?,?,78049
"Figuren der Harry-Potter-Romane",?,?,77983
"Sons of Anarchy",?,?,77979
"Raspberry Pi",?,?,77819
"Universal Serial Bus",?,?,77747
"Vietnamkrieg",?,?,77740
"Indonesien",?,?,77597
"Pearl Harbor (Film)",?,?,77396
"Kuba",?,?,77393
"Quentin Tarantino",?,?,77388
"Köln 50667",?,?,77321
"257ers",?,?,77208
"Sahra Wagenknecht",?,?,76963
"Adolf Eichmann",?,?,76862
"Baschar al-Assad",?,?,76844
"Weltwunder",?,?,76814
"Amsterdam",?,?,76717
"Mads Mikkelsen",?,?,76705
"Mark Forster",?,?,76645
"X-Men: Zukunft ist Vergangenheit",?,?,76397
"Whisky",?,?,76383
