Page,Edits,Editors,Views
"Prince",200,92,1194258
"Honig im Kopf",0,0,844488
"Nekrolog 2016",38,21,622309
"Die Bestimmung – Divergent",8,8,569599
"Jan Böhmermann",294,128,531652
"Deutschland",31,17,528850
"Hans-Dietrich Genscher",242,93,478798
"Game of Thrones",24,19,457790
"Nuklearkatastrophe von Tschernobyl",99,50,373239
"Hendrikje Fitz",71,38,358826
"Panama Papers",818,207,347971
"Adolf Hitler",45,22,324741
"Nastassja Kinski",2,2,324557
"Unix-Shell",0,0,322268
"Claude Elwood Shannon",0,0,308120
"Böhmermann-Affäre",788,170,298148
"Shailene Woodley",5,5,296377
"Norbert Hofer",95,44,290213
"The Walking Dead (Fernsehserie)",50,31,282607
"Elisabeth II.",3,3,262649
"Jana Pallaske",2,2,261760
"Johann Jacob Schweppe",0,0,259655
"Wikipedia",23,15,244932
"Grey’s Anatomy",30,19,240979
"Nena",21,13,232112
"Figuren aus dem Marvel-Universum",12,6,229273
"Victoria Swarovski",4,3,225106
"Vereinigte Staaten",11,7,221040
"Eric Stehfest",7,7,220822
"Schnabeltier",2,1,209568
"Transatlantisches Freihandelsabkommen",56,39,209326
"Stephen Hawking",19,11,208548
"Das Schicksal ist ein mieser Verräter (Film)",10,9,206202
"Seven (Sänger)",18,10,204604
"Berlin",35,14,198028
"UEFA Champions League",33,19,194234
"Recep Tayyip Erdoğan",148,44,189459
"Alexander Van der Bellen",85,42,180454
"Österreich",10,7,180064
"The First Avenger: Civil War",58,27,178623
"Bundespräsidentenwahl in Österreich 2016",192,79,178405
"Das Schicksal ist ein mieser Verräter",12,9,177105
"Roger Cicero",24,16,176173
"Donald Trump",36,23,174165
"William Shakespeare",11,7,171922
"Schweiz",14,10,171418
"American Horror Story",28,12,170514
"Batman v Superman: Dawn of Justice",32,20,170027
"Hillsborough-Katastrophe",50,25,168896
"Oblivion (Film)",11,8,166178
"Fußball-Europameisterschaft 2016",36,24,165906
"Facebook",1,1,162728
"Homeland (Fernsehserie)",5,4,161978
"Alessandra Meyer-Wölden",8,4,160633
"Zweiter Weltkrieg",33,4,158358
"Mats Hummels",33,22,157919
"Die Bestimmung – Insurgent",3,3,157052
"Mitgliedstaaten der Europäischen Union",22,19,154152
"Marie Antoinette",0,0,150755
"The Big Bang Theory",11,6,150527
"FC Bayern München",24,10,148774
"Matthias Steiner",5,4,147350
"Amber Rayne",36,25,146319
"X-Men (Filmreihe)",17,13,145267
"Cristiano Ronaldo",13,6,145153
"Fear the Walking Dead",24,9,144504
"Chyna",42,28,144391
"Liste der Kfz-Kennzeichen in Deutschland",50,7,141937
"Russland",42,30,141339
"Neuzeit",2,2,140959
"Star Wars: Das Erwachen der Macht",6,5,138992
"Florian Fitz",3,3,138566
"Helena Fürst",41,28,138395
"Angela Merkel",33,18,136964
"Die Bestimmung – Allegiant",4,3,134991
"Periodensystem",5,4,134772
"Theo James",0,0,134694
"Helene Fischer",40,25,133375
"Oana Nechiti",3,3,133268
"Asperger-Syndrom",10,6,132854
"Europäische Union",24,19,131402
"Vanessa Mai",24,11,130716
"Guido Westerwelle",39,21,128602
"The BossHoss",6,5,128472
"Arne Elsholtz",32,19,128368
"Türkei",8,8,127822
"Erster Weltkrieg",8,8,127607
"Henning Baum",7,6,127115
