Page,Edits,Editors,Views,Mobile %
"Saudi-Arabien",?,?,736723,49.38
"Faschismus",?,?,735568,61.46
"Methamphetamin",?,?,735200,64.29
"Deutsche Demokratische Republik",?,?,732584,49.37
"Universal Serial Bus",?,?,732554,23.5
"Lena Meyer-Landrut",?,?,732082,65.3
"Kollegah",?,?,730937,56.16
"Star Trek",?,?,729067,51.08
"Brigitte Macron",?,?,727504,59.18
"Babylon Berlin",?,?,727272,61.67
"Down-Syndrom",?,?,726169,64.65
"BMW",?,?,725732,43.65
"Quentin Tarantino",?,?,725214,58.49
"Indonesien",?,?,722702,50.35
"Islam",?,?,722313,49.47
"BMW E90",?,?,722254,56.75
"Die Linke",?,?,721485,51.12
"Amyotrophe Lateralsklerose",?,?,720291,57.53
"The Rolling Stones",?,?,719827,53.65
"Syrien",?,?,719091,47.06
"Bushido (Rapper)",?,?,718438,61.83
"Hessen",?,?,718003,44.64
"Hongkong",?,?,717662,51.26
"Depression",?,?,716969,58.17
"Masturbation",?,?,716885,55.22
"Game of Thrones/Episodenliste",?,?,716402,66.09
"The Beatles",?,?,715290,51.62
"Victoria (Vereinigtes Königreich)",?,?,715004,61.78
"Pest",?,?,714468,62.28
"Sozialdemokratische Partei Deutschlands",?,?,712814,46.63
"Sri Lanka",?,?,711988,57.04
"Klitoris",?,?,710830,58.7
"Tupac Shakur",?,?,709823,66.26
"Liste mathematischer Symbole",?,?,708917,23.42
"Amphetamin",?,?,708541,63.88
"Stuttgart",?,?,708452,49.52
"Gossip Girl",?,?,708140,77.66
"Ludwig XIV.",?,?,706599,55.49
"Bruttoinlandsprodukt",?,?,706514,47.88
"Puerto Rico",?,?,705419,54.51
"Fluch der Karibik",?,?,705241,62.05
"Leonardo da Vinci",?,?,704248,50.56
"Maria Stuart",?,?,703890,66.58
"Scrum",?,?,702192,21.29
"Michael Patrick Kelly",?,?,701295,81.24
"Sinus und Kosinus",?,?,700259,36.79
"How to Get Away with Murder",?,?,699500,72.53
"Diphtherie",?,?,699399,73.12
"Afghanistan",?,?,699304,48.14
"Kokain",?,?,698693,64.45
"Designated Survivor (Fernsehserie)",?,?,697824,65.45
"Jerusalem",?,?,697188,54.48
"Monaco",?,?,695651,63.17
"Rom",?,?,694370,47.52
"The Walking Dead (Fernsehserie)/Staffel 7",?,?,693950,63.51
"Eiffelturm",?,?,693453,58.92
"Kanarische Inseln",?,?,693016,56.55
"Ungarn",?,?,692463,46.86
"Dresden",?,?,692160,46.43
"Liste von Pornodarstellerinnen",?,?,691949,49.89
"Morbus Crohn",?,?,691144,64.99
"Lost (Fernsehserie)",?,?,690974,69.25
"Freimaurerei",?,?,690610,64.66
"Marilyn Monroe",?,?,690481,69.65
"Steve Jobs",?,?,690480,61.79
"Buddhismus",?,?,690005,55.24
"Volkswagen AG",?,?,689334,50.18
"Selena Gomez",?,?,689300,67.36
"Albanien",?,?,686379,54.17
"Kasachstan",?,?,686148,50.69
"Osmanisches Reich",?,?,685892,54.3
"Otto von Bismarck",?,?,685629,52.58
"Sophia Thomalla",?,?,685468,63.42
"Christoph Kolumbus",?,?,683805,50.3
"Maria Theresia",?,?,683698,61.58
"Schottland",?,?,683625,49.88
"Karl Marx",?,?,683234,52.12
"Wladimir Wladimirowitsch Putin",?,?,682828,57.62
"Freiheitsstatue",?,?,682753,66.2
"Freddie Mercury",?,?,682474,65.91
"Bruce Lee",?,?,682471,68.98
"Grönland",?,?,682114,56.83
"Römisches Reich",?,?,681605,49.07
"Rhein",?,?,680629,57.37
"Thailand",?,?,680561,51.89
"Black Friday",?,?,680202,68.13
"Klaus Kinski",?,?,679863,55.21
"Krätze",?,?,678053,65.41
"Kuba",?,?,677674,53.07
"Gal Gadot",?,?,676933,59.75
"Diane Kruger",?,?,676805,65.7
"Deutsche Nationalhymne",?,?,676782,67.42
"Mount Everest",?,?,675574,63.99
"Vietnam",?,?,675069,51.94
"Zypern",?,?,674994,53.28
"Vin Diesel",?,?,674913,70.98
"Conor McGregor",?,?,674099,63.55
"Madeira",?,?,673033,52.75
"Erde",?,?,672992,48.2
"Matthias Schweighöfer",?,?,672884,71.37
"The Blacklist",?,?,672353,64.84
"Guardians of the Galaxy Vol. 2",?,?,671416,57.31
"Anthony Joshua",?,?,670013,75.63
"Lufthansa",?,?,669936,47.9
"Fear the Walking Dead",?,?,669750,66.18
"Romy Schneider",?,?,668672,71.99
"Liste der Disney-Filme",?,?,666957,59.46
"Niki Luftfahrt",?,?,666665,56.22
"Vereinigte Arabische Emirate",?,?,666419,50.85
"Fibromyalgie",?,?,665997,62.79
"Deutsche Fußballnationalmannschaft",?,?,664670,55.82
"Pfeiffer-Drüsenfieber",?,?,663168,69.03
"Bundestagswahl 2013",?,?,663166,44.41
"Ina Müller",?,?,662142,75.2
"Charlie Sheen",?,?,661168,71.21
"Bodensee",?,?,661109,60.73
"UEFA Europa League 2017/18",?,?,660233,45.11
"Titanic (1997)",?,?,659956,64.35
"Lionel Messi",?,?,659457,69.84
"Sylvester Stallone",?,?,659402,69.11
"Air Berlin",?,?,658912,50
"Narcos",?,?,658499,64.47
"Bruce Willis",?,?,658350,64.23
"Solidaritätszuschlag",?,?,658148,47.86
"Los Angeles",?,?,658121,50.72
"Ostern",?,?,657978,59.5
"Newton (Einheit)",?,?,657342,40.04
"Französische Revolution",?,?,655401,50.02
"Fack ju Göhte",?,?,654678,64.89
"Cem Özdemir",?,?,654136,63.91
"Pirates of the Caribbean: Salazars Rache",?,?,651513,58.39
"Aserbaidschan",?,?,650500,64.75
"Slowenien",?,?,650269,50.02
"Zeugen Jehovas",?,?,650234,60.72
"Harrison Ford",?,?,650100,63.94
"Liste der Tatort-Folgen",?,?,649729,25.78
"Montenegro",?,?,649453,54.16
"Die Schöne und das Biest (2017)",?,?,649281,64.66
"Willy Brandt",?,?,648053,54.92
"Blutgruppe",?,?,647173,69.17
"Gerhard Schröder",?,?,646950,56.95
"Intersexualität",?,?,646900,65.45
"Logan – The Wolverine",?,?,646859,57.29
"Amazon.com",?,?,643678,44.72
"HTTP-Statuscode",?,?,643461,7.68
"Airbus-A320-Familie",?,?,643007,50.8
"Fußball-Weltmeisterschaft 2018/Qualifikation",?,?,642829,41.31
"San Marino",?,?,641455,69.12
"Ursula von der Leyen",?,?,641230,65.87
"Konrad Adenauer",?,?,640909,52.23
"Heidi Klum",?,?,638335,77.02
"Niki Lauda",?,?,636534,68.33
"Michael Kessler",?,?,635801,24.47
"Cara Delevingne",?,?,635510,58.78
"Sido",?,?,633717,63.96
"Koreakrieg",?,?,632464,51.23
"Outlander (Fernsehserie)",?,?,631235,66.6
"Barcelona",?,?,630946,53.6
"Paul Walker",?,?,630941,73.78
"Fast & Furious 8",?,?,630505,64.92
"Sardinien",?,?,630366,55.05
"ISO-3166-1-Kodierliste",?,?,628685,4.28
"Joko Winterscheidt",?,?,626997,81.01
"Maike Kohl-Richter",?,?,621724,60.44
"Die Rosenheim-Cops",?,?,617079,62.01
"Fußball-Weltmeisterschaft 2018/Qualifikation (UEFA)",?,?,603865,44.34
"This Is Us – Das ist Leben",?,?,592768,78.12
