Page,Edits,Editors,Views,Mobile %
"Nekrolog 2017",301,70,6830310,22.94
"Deutschland",793,190,6263143,49.99
"Game of Thrones",208,135,4192243,56.81
"Unix-Shell",6,6,3435287,0.12
"Donald Trump",1705,344,3172588,53.58
"Bitcoin",469,203,2734343,51.38
"The Kelly Family",148,82,2707817,77.59
"Vereinigte Staaten",214,76,2461816,54.52
"Italien",130,60,2442087,32.56
"Wikipedia",96,63,2374967,28.93
"Angela Merkel",201,125,2329127,65.16
"Martin Luther",366,105,2285657,60.08
"The Walking Dead (Fernsehserie)",113,52,2240508,62.71
"Berlin",216,84,2188927,48.06
"Österreich",198,102,2103467,50.23
"Schweiz",293,133,2096824,49.97
"Helene Fischer",204,104,2041027,77.55
"Martin Schulz",708,223,1961733,59.05
"Bundestagswahl 2017",1499,437,1960838,42.21
"Adolf Hitler",183,76,1911213,56.88
"Alice Weidel",624,236,1900251,57.03
"Stranger Things",176,84,1891474,69.82
"Prison Break",193,108,1891216,74.57
"Star Wars",114,57,1863504,55.46
"Präsenz",3,2,1792356,0.58
"Russland",305,153,1731932,51.97
"Zweiter Weltkrieg",284,53,1731157,54.79
"Erster Weltkrieg",200,40,1682805,55.83
"Ed Sheeran",176,113,1676984,64.57
"Liste der Kfz-Kennzeichen in Deutschland",246,48,1663507,72.36
"Bundespräsident (Deutschland)",253,102,1645356,61.96
"Frauke Petry",243,129,1644940,56.8
"Europa",50,26,1640840,55.25
"Elisabeth II.",38,19,1610157,66.67
"Asperger-Syndrom",137,73,1601843,67.72
"Vikings (Fernsehserie)",88,42,1599411,61.53
"Tote Mädchen lügen nicht (Fernsehserie)",149,80,1596627,74.54
"The Big Bang Theory",204,100,1595614,61.48
"Pretty Little Liars",195,124,1590663,78.06
"Emmanuel Macron",516,207,1582136,55.02
"Liste in Deutschland vorhandener Dampflokomotiven",120,57,1573786,0.81
"Katalonien",261,132,1570510,59
"Hamburg",315,193,1554356,52.24
"Nordkorea",117,70,1547149,50.93
"Grey’s Anatomy",241,119,1539216,73.88
"Pablo Escobar",119,75,1525461,75.81
"RMS Titanic",72,43,1518622,70.23
"Chester Bennington",235,122,1515386,65.08
"Sahra Wagenknecht",104,72,1491620,67.04
"Helmut Kohl",806,204,1491179,57.52
"Frankreich",142,68,1485253,48.03
"Hacker",256,41,1474187,3.02
"Alternative für Deutschland",676,215,1473435,54.12
"Australien",626,171,1441750,55.29
"Elyas M’Barek",42,24,1429074,79.29
"Israel",156,74,1417799,55.15
"Figuren aus dem Marvel-Universum",218,110,1417515,60.96
"Bundesstaat der Vereinigten Staaten",17,15,1406518,24.63
"Europäische Union",262,138,1405102,43.76
"Christian Lindner",178,98,1359899,64.17
"Kanada",92,43,1356548,54.13
"Der Minister",6,3,1344787,0.32
"Tuberkulose",98,52,1333089,71.17
"Stephen Kings Es",57,43,1329548,70.31
"Falco",113,76,1329297,69.1
"Liste der IPA-Zeichen",55,34,1325762,44.3
"Türkei",415,210,1315239,54.15
"Silent Disco",6,4,1311991,0.53
"Periodensystem",25,13,1301023,42.06
"James Bond",83,61,1299326,58.43
"Bundeskanzler (Deutschland)",119,58,1298424,63.21
"Mark Forster",223,137,1288771,76.07
"House of Cards (Fernsehserie)",0,0,1274271,60.53
"Mitgliedstaaten der Europäischen Union",79,51,1267727,39.91
"FIFA-Konföderationen-Pokal 2017",446,159,1257117,61.91
"Roger Federer",213,60,1255497,63.84
"American Horror Story",284,102,1255441,74.43
"Bayern",197,141,1244143,46.56
"München",341,174,1240896,50.99
"Sebastian Kurz",690,193,1234700,59.48
"Malta",235,112,1231432,57.88
"New York City",38,30,1230236,51.77
"Suits (Fernsehserie)",61,35,1220788,66.69
"Harry Potter",27,15,1218497,64.27
"Cristiano Ronaldo",239,47,1218032,70.01
"Niederlande",205,99,1215701,53.91
"Ländervorwahlliste sortiert nach Nummern",23,16,1211878,54.28
"Elon Musk",252,131,1207597,58.95
"Spanien",83,37,1203858,48.18
"Fußball-Weltmeisterschaft 2018",362,179,1203020,54.41
"Vereinigtes Königreich",219,109,1201547,48.93
"Vampire Diaries",156,91,1200679,77
"Wien",130,66,1189486,52.48
"Sherlock (Fernsehserie)",132,63,1185040,59.62
"Nordrhein-Westfalen",166,69,1177067,46.39
"Patrick Weber",3,3,1175720,0.09
"Volksrepublik China",175,56,1175680,46.99
"Indien",248,134,1175543,50.17
"Island",89,34,1169049,53.56
"Figuren aus Star Wars",352,144,1168499,60.22
"Nena",?,?,1163372,78.44
"Industrie 4.0",?,?,1163370,9.27
"Verwandtschaftsbeziehung",?,?,1160302,66.41
"G20-Gipfel in Hamburg 2017",?,?,1154013,63.45
"Liste der Präsidenten der Vereinigten Staaten",?,?,1150964,65.36
"Arnold Schwarzenegger",?,?,1150643,67.12
"Ariana Grande",?,?,1146904,62.35
"Dwayne Johnson",?,?,1139236,71.28
"Gil Ofarim",?,?,1136425,83.06
"Stephen Hawking",?,?,1133862,71.19
"Bares für Rares",?,?,1133678,61.86
"Linkin Park",?,?,1130446,54.53
"NATO",?,?,1122314,54.91
"Charles Manson",?,?,1119279,62.88
"Pfingsten",?,?,1114646,69.53
"Elisabeth von Österreich-Ungarn",?,?,1109407,73.33
"Meghan Markle",?,?,1105834,65.43
"Riverdale (Fernsehserie)",?,?,1105049,74.84
"Islamischer Staat (Organisation)",?,?,1102868,43.34
"Lucifer (Fernsehserie)",?,?,1094698,64.14
"Leonardo DiCaprio",?,?,1093534,69.37
"Kroatien",?,?,1089059,53.55
"Eminem",?,?,1087638,59.58
"Blockchain",?,?,1083592,39.36
"Robert Koch",?,?,1079091,68.56
"Deutsche Bahn",?,?,1076841,82.59
"Es (2017)",?,?,1076454,70.36
"FC Bayern München",?,?,1076363,54.57
"Napoleon Bonaparte",?,?,1064997,51.43
"Tote Mädchen lügen nicht",?,?,1063898,76.43
"Albert Einstein",?,?,1062767,58.04
"Singapur",?,?,1057623,57.48
"Figuren im Lied von Eis und Feuer",?,?,1056531,59.39
"Alexander Gauland",?,?,1055877,57.64
"Liste der Großstädte in Deutschland",?,?,1055236,59.5
"Polen",?,?,1054058,46
"Blade Runner",?,?,1043995,60.24
"Borderline-Persönlichkeitsstörung",?,?,1026615,64.88
"Supernatural",?,?,1022895,69.1
"Köln",?,?,1022430,52.25
"Elvis Presley",?,?,1019694,62.22
"Konfektionsgröße",?,?,1019126,48.94
"Orange Is the New Black",?,?,1016476,70.07
"La La Land (Film)",?,?,1016196,54.24
"Vanessa Mai",?,?,1014238,76.48
"Rogue One: A Star Wars Story",?,?,1013447,59.24
"Google",?,?,1009805,34.23
"Fidget Spinner",?,?,1007918,65.93
"Schweden",?,?,1007516,48.31
"Vagina",?,?,1006173,57.22
"Norwegen",?,?,1002427,50.21
"Johann Wolfgang von Goethe",?,?,1000366,49.16
"Vietnamkrieg",?,?,1000229,58.33
"Internet Movie Database",?,?,998032,48.2
"Johnny Depp",?,?,993602,64.11
"Frankfurt am Main",?,?,986117,46.49
"Michael Jackson",?,?,983405,58.55
"Breaking Bad",?,?,980229,66.64
"Schizophrenie",?,?,973784,63.96
"Japan",?,?,970921,46.67
"Autismus",?,?,969122,65.64
"Harry Potter (Filmreihe)",?,?,958910,67.95
"Ryan Gosling",?,?,957293,64.16
"UEFA Champions League",?,?,956673,61.87
"Gruppe der zwanzig wichtigsten Industrie- und Schwellenländer",?,?,954124,64.78
"London",?,?,952476,50.74
"Hochzeitstag",?,?,952376,76.56
"Incoterms",?,?,952190,8.09
"Andrea Jürgens",?,?,950891,57.47
"Star Trek: Discovery",?,?,950276,50.28
"Jennifer Lawrence",?,?,950264,63.19
"Dieter Bohlen",?,?,940087,77.76
"Berliner Mauer",?,?,933689,57.6
"Star Wars: Die letzten Jedi",?,?,931857,56.47
"Game of Thrones/Staffel 7",?,?,930548,49.33
"BDSM",?,?,928954,65.73
"Google Übersetzer",?,?,928862,72.48
"Wolfgang Amadeus Mozart",?,?,926306,53.99
"Dienstgrade der Bundeswehr",?,?,926190,56.9
"Fronleichnam",?,?,921233,60.51
"Irland",?,?,921075,49.68
"Neuseeland",?,?,920514,57.15
"Frank-Walter Steinmeier",?,?,919512,56.66
"Niedersachsen",?,?,918668,48.98
"Bipolare Störung",?,?,918222,64.71
"Weltwunder",?,?,916338,69.3
"Holocaust",?,?,914393,49.95
"Iran",?,?,912130,51
"Mauritius",?,?,910479,59.69
"Geschlechtsverkehr",?,?,908238,50.58
"Nirvana (US-amerikanische Band)",?,?,905559,12.74
"Griechisches Alphabet",?,?,901943,42.18
"Shameless (US-amerikanische Fernsehserie)",?,?,900240,68.57
"Emma Watson",?,?,900000,64.39
"American Gods (Fernsehserie)",?,?,898709,62.87
"Erich Kästner",?,?,898313,67.5
"Dänemark",?,?,897378,51.11
"Baden-Württemberg",?,?,897045,44.39
"Kim Jong-un",?,?,890462,56.11
"Emma Stone",?,?,884170,60.5
"Emilia Clarke",?,?,884076,63.17
"Formelsammlung Trigonometrie",?,?,882438,17.33
"Liste der Staaten der Erde",?,?,879892,50.55
"Split (Film)",?,?,878900,66.99
"Die Tribute von Panem",?,?,878474,72.85
"Dreißigjähriger Krieg",?,?,877813,53.92
"Westworld (Fernsehserie)",?,?,876633,52.7
"Terence Hill",?,?,872183,73.73
"Two and a Half Men",?,?,868705,66.86
"Airbus A380",?,?,868609,58.24
"Brasilien",?,?,868413,53.71
"YouTube",?,?,863651,43.23
"O. J. Simpson",?,?,863388,71.86
"187 Strassenbande",?,?,861042,65.92
"Narzissmus",?,?,852376,67.71
"Body-Mass-Index",?,?,851838,57.12
"Tom Cruise",?,?,851753,64.93
"Wladimir Klitschko",?,?,849411,74.55
"Adidas",?,?,847864,64.9
"VW Golf VII",?,?,845683,52.45
"Eurovision Song Contest 2017",?,?,845597,54.29
"Facebook",?,?,845213,31.9
"Multiple Sklerose",?,?,844720,62.8
"Präsidentschaftswahl in Frankreich 2017",?,?,842908,47.75
"Fargo (Fernsehserie)",?,?,842363,64.02
"Vereinte Nationen",?,?,842338,48.19
"Oscarverleihung 2017",?,?,841634,47.57
"Gilmore Girls",?,?,840587,73.68
"Vulva",?,?,840366,50.74
"FIFA-Konföderationen-Pokal",?,?,839006,73.46
"Bud Spencer",?,?,838476,69.08
"Michael Schumacher",?,?,837676,59.46
"Rammstein",?,?,837396,54.06
"Halloween",?,?,836736,67.48
"Luxemburg",?,?,836510,52.31
"Diana, Princess of Wales",?,?,834159,68.77
"Interstellar",?,?,832989,65.58
"Sex",?,?,832976,62.39
"Braunschlag",?,?,831084,3.31
"Tom Hardy",?,?,830116,66.28
"Finnland",?,?,829286,47.38
"Rote Armee Fraktion",?,?,828652,56.91
"Björn Höcke",?,?,828571,49.38
"Liste der Länder Europas",?,?,828534,58.43
"Luke Mockridge",?,?,827677,83.21
"Sons of Anarchy",?,?,827537,71.34
"Tschechien",?,?,822282,44.9
"Rumänien",?,?,822142,47.28
"Yvonne Catterfeld",?,?,821771,78.44
"Leipzig",?,?,815711,50.65
"Phantastische Tierwesen und wo sie zu finden sind (Film)",?,?,815062,65.25
"Myanmar",?,?,814217,55.29
"Deutscher Bundestag",?,?,813122,47.3
"Instagram",?,?,812884,51.41
"Schutzart",?,?,812305,29.18
"Hawaii Five-0",?,?,810934,67.2
"Colonia Dignidad",?,?,809465,79.05
"Land (Deutschland)",?,?,809131,46.23
"Paris",?,?,807365,51.76
"Shades of Grey",?,?,806851,73.69
"Mila Kunis",?,?,805027,74.54
"Belgien",?,?,804625,48.4
"Jason Statham",?,?,803876,67.72
"Empathie",?,?,803113,60.45
"Recep Tayyip Erdoğan",?,?,799645,56.92
"Emil von Behring",?,?,798347,71.47
"Chris Cornell",?,?,798097,54.55
"Scarlett Johansson",?,?,796758,60.63
"Justin Bieber",?,?,793580,72.42
"Sowjetunion",?,?,792753,53.25
"AC/DC",?,?,792507,48.31
"YouPorn",?,?,791791,56.97
"Guardians of the Galaxy",?,?,790446,63.54
"Alien: Covenant",?,?,789733,53.39
"Abgasnorm",?,?,785854,34.45
"UEFA Champions League 2017/18",?,?,784961,45.52
"Philip, Duke of Edinburgh",?,?,784852,66.3
"Griechenland",?,?,782563,48.43
"X-Men (Filmreihe)",?,?,782492,54.79
"Ethanol",?,?,782253,47.23
"Sean Connery",?,?,780465,68
"H- und P-Sätze",?,?,779986,37.65
"Terroranschläge am 11. September 2001",?,?,779519,54.99
"Josefine Preuß",?,?,778287,72.16
"John F. Kennedy",?,?,777749,58.44
"Star Wars: Das Erwachen der Macht",?,?,777005,57.42
"Keanu Reeves",?,?,775787,65.94
"Marvel Cinematic Universe",?,?,774641,50.94
"Borussia Dortmund",?,?,773893,56.71
"Navy CIS",?,?,772193,60.41
"Modern Family",?,?,770959,66.61
"Maximilian I. (HRR)",?,?,770310,63.15
"Weibliche Ejakulation",?,?,769871,70.73
"Helgoland",?,?,769169,61.59
"Kevin Spacey",?,?,768802,62.4
"Doctor Who",?,?,767577,54.7
"Weimarer Republik",?,?,766395,51.61
"Bundeswehr",?,?,765746,46.48
"MDMA",?,?,764818,68.16
"Katar",?,?,764517,51.42
"Roger Moore",?,?,762881,55.3
"Südafrika",?,?,761262,49.58
"Casu Marzu",?,?,760599,4.28
"Sibel Kekilli",?,?,758667,61.84
"Assassin’s Creed",?,?,757829,56.1
"Dunkirk (2017)",?,?,757814,57.24
"Christine Kaufmann",?,?,757771,53.75
"Kosovo",?,?,756950,53.59
"Bertram Brenig",?,?,756858,30.15
"Marokko",?,?,756108,53.21
"Fußball-Weltmeisterschaft",?,?,755941,62.05
"Freie Demokratische Partei",?,?,755220,50.13
"Michael Fassbender",?,?,753644,62.9
"Mexiko",?,?,752649,49.89
"Hand-Fuß-Mund-Krankheit",?,?,752175,76.55
"Liechtenstein",?,?,752031,53.11
"Heiliges Römisches Reich",?,?,749906,43.79
"Bukkake",?,?,749799,70.95
"Scharlach",?,?,748958,71.71
"Berlin – Tag & Nacht",?,?,747449,76.33
"Black Mirror (Fernsehserie)",?,?,746267,58.63
"Portugal",?,?,746162,49.88
"SAP",?,?,744920,34.74
"Boris Becker",?,?,743698,63.69
"Stephen King",?,?,743226,58.42
"Dark (Fernsehserie)",?,?,741989,72.4
"Ehrlich Brothers",?,?,741113,86.58
"Ägypten",?,?,740445,51.41
"Homeland (Fernsehserie)",?,?,740197,64.47
"Heath Ledger",?,?,739609,73.23
"Hawaii",?,?,736904,55.98
