Page,Edits,Editors,Views
"Nekrolog 2017",56,20,566453
"Deutschland",38,21,552122
"Christine Kaufmann",130,65,514275
"Robert Koch",21,14,438431
"St. Patrick’s Day",18,15,380334
"Ed Sheeran",25,10,367963
"Lukas Podolski",75,49,357884
"Emil von Behring",25,18,349171
"ICE-Unfall von Eschede",0,0,339405
"Internationaler Frauentag",33,26,317298
"Game of Thrones",24,22,294623
"The Kelly Family",13,10,288520
"Wikipedia",19,11,274121
"Unix-Shell",0,0,267321
"Tuberkulose",7,5,266049
"David Rockefeller",53,38,240265
"The Walking Dead (Fernsehserie)",20,12,235602
"Parlamentswahl in den Niederlanden 2017",132,45,226414
"Donald Trump",71,28,224068
"Recep Tayyip Erdoğan",69,37,222986
"Vereinigte Staaten",3,3,220646
"Maximilian I. (HRR)",13,9,218271
"ISO-3166-1-Kodierliste",3,2,217390
"Logan – The Wolverine",39,22,216698
"Türkei",14,12,213359
"Adidas",2,1,209164
"Berlin",8,5,209106
"Niederlande",43,15,205587
"Martin Schulz",70,26,204809
"Chuck Berry",64,37,203376
"Diphtherie",2,2,201368
"Sommerzeit",20,10,196060
"Paul Ehrlich",11,11,193887
"Die Schöne und das Biest (2017)",26,15,192202
"Frank Otto (Medienunternehmer)",0,0,189463
"Figuren aus dem Marvel-Universum",35,21,188575
"Angela Merkel",25,18,185651
"Österreich",18,16,185579
"Adolf Hitler",2,2,183939
"Charité",24,14,181532
"Bundespräsident (Deutschland)",54,28,181246
"Schweiz",18,12,179781
"Prison Break",22,19,172428
"Zweiter Weltkrieg",49,7,172119
"Der gleiche Himmel",107,25,170526
"Grey’s Anatomy",15,11,167744
"Europäische Union",35,23,167628
"Vampire Diaries",46,22,165786
"Geert Wilders",20,16,164142
"Volksabstimmung in der Türkei 2017",2,2,162639
"Asperger-Syndrom",25,13,160582
"Kevin Großkreutz",39,32,160502
"Adolf Dassler",15,8,160255
"Landtagswahl im Saarland 2017",181,79,159844
"X-Men (Filmreihe)",11,9,158762
"The Big Bang Theory",47,24,157033
"Sahra Wagenknecht",13,13,156595
"Erster Weltkrieg",6,5,155904
"La La Land (Film)",33,27,154831
"Russland",21,13,152708
"Emma Watson",36,21,152476
"Aserbaidschan",11,8,152231
"Gil Ofarim",11,3,152028
"Europa",5,3,151506
