Page,Edits,Editors,Views
"Olympische Sommerspiele 2016",298,141,1410881
"Deutschland",74,36,586524
"Nekrolog 2016",35,14,557990
"Suicide Squad (Film)",78,32,551631
"Olympische Sommerspiele 2016/Fußball",438,117,472683
"Medaillenspiegel der Olympischen Sommerspiele 2012",38,18,459121
"Medaillenspiegel der Olympischen Sommerspiele 2016",382,48,399679
"Michael Phelps",36,23,366838
"Quantico (Fernsehserie)",21,13,297329
"Ewiger Medaillenspiegel der Olympischen Spiele",39,12,293259
"Olympische Spiele",18,12,279598
"Wikipedia",12,6,278424
"Maze Runner – Die Auserwählten im Labyrinth",24,16,269069
"UEFA Champions League 2016/17",76,28,254929
"Moderner Fünfkampf",4,4,249928
"Macaron",16,2,249172
"Usain Bolt",25,18,244584
"Game of Thrones",15,12,244385
"Fabian Hambüchen",39,22,240963
"Laura Ludwig",29,15,238286
"Türkei",27,21,232349
"Walter Scheel",69,42,231845
"Grönlandhai",89,44,221410
"Margot Robbie",3,3,215758
"Braunschlag",2,1,214508
"Fußball bei den Olympischen Spielen",79,13,213244
"Stranger Things",33,21,211071
"Liste der Kfz-Kennzeichen in Deutschland",22,6,209648
"Gina-Lisa Lohfink",81,34,209540
"Gene Wilder",59,37,205001
"Vereinigte Staaten",16,10,204397
"Angelique Kerber",33,22,201096
"Olympische Sommerspiele",8,8,198785
"The 100",15,11,187625
"Donald Trump",64,26,186237
"Schweiz",5,5,184509
"Franziska van Almsick",5,5,183811
"Carsten Maschmeyer",8,6,182520
"Hacker",17,7,177937
"UEFA Europa League 2016/17",120,27,175465
"Rio de Janeiro",18,13,174348
"Olympische Sommerspiele 2012",11,8,173463
"Isabell Werth",30,18,173340
"Berlin",35,12,171894
"Olympische Sommerspiele 2020",15,13,171531
"Kira Walkenhorst",14,8,169287
"Asperger-Syndrom",12,9,160343
"Österreich",14,6,159722
"Olympische Sommerspiele 2016/Teilnehmer (Deutschland)",709,96,158528
"The Big Bang Theory",5,4,157425
"Stefan Henze",109,48,155049
"Harley Quinn",6,6,153448
"Maze Runner – Die Auserwählten in der Brandwüste",3,2,153296
"Olympiade",31,25,152108
"Brasilien",20,10,147500
"Pretty Little Liars",13,5,144181
"Petra Hinz",222,102,143238
"Facebook",10,10,143202
"Italien",9,9,140678
"Robert Redford",1,1,138861
"Kroatien",7,4,137693
"Medaillenspiegel der Olympischen Sommerspiele 2008",13,7,136661
"Pokémon",2,2,136426
"Lucifer (Fernsehserie)",4,4,136400
"Ender’s Game – Das große Spiel",12,8,135647
"Mónica Puig",37,24,134757
"Horst Hrubesch",30,21,133288
"Olympische Sommerspiele 2024",6,6,132906
"Fidschi",9,7,132296
"Olympische Sommerspiele 2016/Handball",195,35,130665
"Russland",25,22,130532
"Christoph Harting",67,36,129835
"Islamischer Staat (Organisation)",30,25,129700
"Mitgliedstaaten der Europäischen Union",16,12,129023
"Oliver Rath",55,31,128983
"Olympische Sportarten",29,16,126153
"Rio Reiser",16,13,126069
"The Walking Dead (Fernsehserie)",19,16,125408
"Bourne (Filmreihe)",5,3,125334
"Beginner",4,4,125045
"Batman v Superman: Dawn of Justice",13,11,124861
"Howard Hughes",9,6,124540
"Europa",0,0,124198
"Ralf Dümmel",6,4,124045
"Pokémon Go",87,53,123259
"Vikings (Fernsehserie)",1,1,123145
"Zsa Zsa Gabor",1,1,121962
"A4-Format",0,0,121561
"Australien",6,6,121418
"Conjuring – Die Heimsuchung",4,3,121214
"Burka",10,7,121080
"Adolf Hitler",6,5,120320
"Hamburg",9,7,118509
"Natascha Kampusch",12,8,118481
"Two and a Half Men",9,9,117939
