Page,Edits,Editors,Views
"Nekrolog 2017",36,9,590879
"Emmanuel Macron",178,75,525942
"Eurovision Song Contest 2017",278,127,521736
"Deutschland",12,9,507129
"Tote Mädchen lügen nicht (Fernsehserie)",47,28,434907
"Roger Moore",140,78,425463
"Ariana Grande",44,24,415982
"Helene Fischer",71,35,401962
"Fidget Spinner",55,33,379496
"Brigitte Macron",148,54,363776
"Chris Cornell",98,51,355746
"American Gods (Fernsehserie)",66,19,344149
"Daliah Lavi",56,30,292260
"Helgoland",2,2,277729
"Landtagswahl in Nordrhein-Westfalen 2017",213,78,273948
"Christi Himmelfahrt",19,11,256591
"Muttertag",18,12,251624
"Prison Break",46,27,248302
"Marx Brothers",0,0,241436
"Tote Mädchen lügen nicht",0,0,234426
"Warner Bros. Entertainment",15,10,233361
"Alien: Covenant",122,28,232829
"Donald Trump",139,30,230725
"Wikipedia",10,8,224641
"The Kelly Family",16,13,223447
"Berlin",9,5,214231
"Erster Mai",17,14,213897
"Sebastian Kurz",192,28,203525
"Gil Ofarim",4,2,200387
"Nicky Hayden",59,32,198979
"Vereinigte Staaten",3,3,197632
"Eishockey-Weltmeisterschaft der Herren 2017",256,60,197488
"Bitcoin",63,14,196900
"Game of Thrones",6,5,189174
"Christian Lindner",22,17,188561
"Eurovision Song Contest",42,32,187728
"Grey’s Anatomy",39,19,186360
"Interstellar",0,0,184880
"Pfingsten",13,7,180776
"Österreich",11,8,179056
"This Is Us – Das ist Leben",19,12,178538
"Schweiz",9,7,177605
"Präsidentschaftswahl in Frankreich 2017",154,70,177341
"Get Out",75,26,177044
"Armin Laschet",49,36,176760
"Frankreich",31,17,176112
"Nordrhein-Westfalen",12,6,171324
"Zweiter Weltkrieg",18,6,170911
"Guardians of the Galaxy Vol. 2",50,23,170323
"Lena Meyer-Landrut",17,12,170026
"Angela Merkel",8,8,169919
"Robert Miles (Musiker)",122,53,169639
"Vatertag",29,17,167626
"12 Years a Slave",0,0,165264
"Ueli Steck",40,22,165108
"Diane Kruger",9,6,164370
"James Bond",11,10,156637
"Maibaum",18,14,156167
"Cristiano Ronaldo",18,6,155677
"Mark Forster",25,20,154450
"Hamburg",16,12,151483
"Lena Gercke",7,6,150588
"Adolf Hitler",26,15,149872
"Landtagswahl in Schleswig-Holstein 2017",194,65,149776
"Europa",0,0,147187
"LZ 129",22,12,146455
"Sean Connery",11,9,146253
"Vanessa Mai",8,5,145468
"Ed Sheeran",8,5,145117
"Europäische Union",22,19,143902
"Eisheilige",9,7,143498
"Figuren aus dem Marvel-Universum",25,14,143476
"Xavier Naidoo",66,25,143116
"Hannelore Kraft",44,33,142198
"Salvador Sobral",58,35,141957
"Russland",26,16,140699
"Erster Weltkrieg",10,6,139671
"Rogue One: A Star Wars Story",11,10,139488
"Martin Luther",27,14,139077
"Marine Le Pen",41,12,138456
"Star Wars",7,6,138134
"Freiheitsstatue",5,4,136568
"Bianca Heinicke",0,0,136414
"NATO",29,22,134544
"Prometheus – Dunkle Zeichen",4,4,134536
"UEFA Champions League",34,20,133319
"Pirates of the Caribbean: Salazars Rache",70,37,133067
"DFB-Pokal",27,20,132503
"The Walking Dead (Fernsehserie)",16,9,131854
"Guardians of the Galaxy",5,5,131593
"Twin Peaks",29,11,131364
"Julia Viellehner",62,36,129897
"Italien",1,1,128696
"Romy Schneider",8,7,128315
"Ursula von der Leyen",16,8,127979
"Germany’s Next Topmodel",83,41,127674
"Watergate-Affäre",3,2,126749
"Die Tribute von Panem",6,5,126310
"Kanada",6,6,125413
"Liste der Kfz-Kennzeichen in Deutschland",4,3,124740
"WannaCry",?,?,124610
"House of Cards (Fernsehserie)",?,?,124485
"Dieter Bohlen",?,?,124184
"Philip, Duke of Edinburgh",?,?,123858
"Napoleon Bonaparte",?,?,123416
"Elisabeth II.",?,?,123134
"Pretty Little Liars",?,?,123007
"Levina",?,?,122817
"Shutter Island (Film)",?,?,120494
"Asperger-Syndrom",?,?,120385
"Thomas Tuchel",?,?,120312
"Autismus",?,?,120111
"Albert Einstein",?,?,117667
"Ramadan",?,?,117224
"Eishockey-Weltmeisterschaft",?,?,116476
"Abi Ofarim",?,?,116142
"München",?,?,115718
"American Gods",?,?,115380
"Nordkorea",?,?,115372
"Heidi Klum",?,?,115166
"John F. Kennedy",?,?,115036
"The Big Bang Theory",?,?,114744
"FC Bayern München",?,?,114727
"Australien",?,?,114270
"Fluch der Karibik",?,?,113920
"Anke Engelke",?,?,113768
"Borussia Dortmund",?,?,113696
"G7",?,?,113156
"Liste der IPA-Zeichen",?,?,112663
"Riverdale (Fernsehserie)",?,?,112385
"Wladimir Klitschko",?,?,112292
"Mitgliedstaaten der Europäischen Union",?,?,112260
"Bundespräsident (Deutschland)",?,?,112230
"Avril Lavigne",?,?,111149
"Suits (Fernsehserie)",?,?,110839
"Steven Holcomb",?,?,110664
"Liste der Großstädte in Deutschland",?,?,109931
"Heinrich Popow",?,?,109770
"Fargo (Fernsehserie)",?,?,109609
"Luke Mockridge",?,?,109306
"Wien",?,?,109306
"Maria Theresia",?,?,108940
"Türkei",?,?,108804
"Nora Tschirner",?,?,108618
"Philipp Lahm",?,?,108239
"Taboo (Fernsehserie)",?,?,108195
"Endometriose",?,?,108170
"The Rolling Stones",?,?,107346
"Elisabeth von Österreich-Ungarn",?,?,106684
"Vereinigtes Königreich",?,?,106426
"Honigfrauen",?,?,106341
"Bayern",?,?,106262
"Dwayne Johnson",?,?,106054
"Die Unfassbaren – Now You See Me",?,?,105996
"Stephen Hawking",?,?,105463
"Lukas Ammann",?,?,105404
"Google Übersetzer",?,?,105316
"Alice Weidel",?,?,104912
"Kangal (Hunderasse)",?,?,104766
"Harry Potter",?,?,104661
"New York City",?,?,104489
"Michael Fassbender",?,?,104234
"UEFA Champions League 2017/18",?,?,103999
"Wolfgang Amadeus Mozart",?,?,103753
"Devil’s Knot",?,?,103315
"Indien",?,?,103226
"Relegation zur deutschen Fußball-Bundesliga",?,?,102900
"Periodensystem",?,?,102498
"Tote Mädchen lügen nicht (Roman)",?,?,102266
"Malta",?,?,102238
"Alien – Das unheimliche Wesen aus einer fremden Welt",?,?,101581
"Anthony Joshua",?,?,100326
"Katherine Langford",?,?,100249
"Köln",?,?,100222
"Joko Winterscheidt",?,?,100034
"Fronleichnam",?,?,99640
"TSV 1860 München",?,?,99071
"Alphonso Williams",?,?,99014
"Alternative für Deutschland",?,?,98686
"Israel",?,?,98123
"Volksrepublik China",?,?,97617
"Kroatien",?,?,97293
"Gianluigi Buffon",?,?,97283
"Baywatch – Die Rettungsschwimmer von Malibu",?,?,97082
"Vampire Diaries",?,?,96806
"Manuela Schwesig",?,?,96152
"Bundeskanzler (Deutschland)",?,?,95652
"UEFA Europa League 2017/18",?,?,95187
"Sense8",?,?,95023
"Islamischer Staat (Organisation)",?,?,95013
"Spanien",?,?,94967
"Deutsche Bahn",?,?,94791
"Niederlande",?,?,94664
"Hochzeitstag",?,?,94530
"Johnny Depp",?,?,94493
"Liste der Sieger und Veranstaltungen des Eurovision Song Contests",?,?,94286
"Vietnamkrieg",?,?,93817
"Josefine Preuß",?,?,93763
"Frankfurt am Main",?,?,93690
"Elon Musk",?,?,93274
"Harry Potter (Filmreihe)",?,?,93058
"Holocaust",?,?,92763
"Verwandtschaftsbeziehung",?,?,92086
"Iran",?,?,91795
"Richard David Precht",?,?,91701
"Dienstgrade der Bundeswehr",?,?,91244
"Martin Schulz",?,?,91143
"Polen",?,?,90979
"Tuberkulose",?,?,90927
"Pansexualität",?,?,90785
"RMS Titanic",?,?,90582
"Ländervorwahlliste sortiert nach Nummern",?,?,90577
"Schleswig-Holstein",?,?,90262
"Johann Wolfgang von Goethe",?,?,90228
"Elton (Moderator)",?,?,90206
"Borderline-Persönlichkeitsstörung",?,?,89256
"Fußball-Ligasystem in Deutschland",?,?,89133
"London",?,?,88821
"Lost (Fernsehserie)",?,?,88625
"Mount Everest",?,?,88296
"Better Call Saul",?,?,87778
"Pablo Escobar",?,?,87740
"Alien (Filmreihe)",?,?,87109
"Die Blechtrommel (Film)",?,?,86439
"Alice Merton",?,?,86151
"Terroranschlag in Manchester am 22. Mai 2017",?,?,86088
"Vikings (Fernsehserie)",?,?,86004
"Japan",?,?,85822
"Daniel Günther",?,?,85778
"Vagina",?,?,85762
"Freddie Mercury",?,?,85593
"Konfektionsgröße",?,?,85266
"Jennifer Lawrence",?,?,85207
"Dreifinger-Faultiere",?,?,84918
"Schizophrenie",?,?,84835
"Schweden",?,?,84383
"Katarina Barley",?,?,84072
"YouTube",?,?,83899
"Muriel Baumeister",?,?,83766
"Facebook",?,?,83762
"Monaco",?,?,83760
"Breaking Bad",?,?,83562
"FIFA-Konföderationen-Pokal 2017",?,?,83291
"Baden-Württemberg",?,?,83250
"Gute Zeiten, schlechte Zeiten",?,?,82942
"Sophia Amoruso",?,?,82863
"Berliner Mauer",?,?,82646
"Incoterms",?,?,82336
"Dreißigjähriger Krieg",?,?,82218
"Vereinte Nationen",?,?,82145
"Charlie Hunnam",?,?,81907
"Manchester",?,?,81833
"Rubinrot (Film)",?,?,81820
"Let’s Dance (Fernsehsendung)",?,?,81763
"Tom Hardy",?,?,81381
"X-Men (Filmreihe)",?,?,81348
"Liste der Präsidenten der Vereinigten Staaten",?,?,81158
"Freie Demokratische Partei",?,?,80753
"Landtagswahl in Nordrhein-Westfalen 2012",?,?,80570
"Frauke Petry",?,?,80479
"Chris Pratt",?,?,80207
"Tiger Force",?,?,80202
"Internet Movie Database",?,?,80161
"Island",?,?,79810
"Steve Jobs",?,?,79560
"Alexander Zverev",?,?,79136
"King Arthur: Legend of the Sword",?,?,79025
"Norwegen",?,?,78954
"Orange Is the New Black",?,?,78949
"Dylan Minnette",?,?,78845
"Powers Boothe",?,?,78751
"Michael Jackson",?,?,78648
"Gunnar Möller",?,?,78640
"Bundeswehr",?,?,78546
"Fußball-Bundesliga",?,?,78437
"Motsi Mabuse",?,?,78297
"Alexandra Daddario",?,?,78261
"Figuren aus Star Wars",?,?,77492
"Irland",?,?,77326
"Paris",?,?,77325
"Bares für Rares",?,?,77259
"Zypern",?,?,76982
"Luxemburg",?,?,76779
"Kostja Ullmann",?,?,76649
"Bundestagswahl 2017",?,?,76515
"Mbah Gotho",?,?,76486
"Body-Mass-Index",?,?,76086
"Passengers (2016)",?,?,76021
"Vitali Klitschko",?,?,76019
"Land (Deutschland)",?,?,75967
"Griechisches Alphabet",?,?,75752
"Amsel",?,?,75558
"Eminem",?,?,75322
"Liste der Länder Europas",?,?,75281
"Niedersachsen",?,?,75236
"Gesetzliche Feiertage in Deutschland",?,?,75061
"İbrahim Erkal",?,?,74750
"BDSM",?,?,74610
"Michael Schumacher",?,?,74464
"Leipzig",?,?,74277
"Elvis Presley",?,?,74232
"Wentworth Miller",?,?,74198
"American Horror Story",?,?,74124
"Sahra Wagenknecht",?,?,73982
"Elyas M’Barek",?,?,73964
"Weltwunder",?,?,73883
"Dänemark",?,?,73720
"Moses Pelham",?,?,73718
"Supernatural",?,?,73660
"Neuseeland",?,?,73635
"Leonardo DiCaprio",?,?,73198
"Rothschild",?,?,73081
"Vulva",?,?,73012
"Google",?,?,72981
"Hawaii Five-0",?,?,72971
"Shameless (US-amerikanische Fernsehserie)",?,?,72696
"Portugal",?,?,72624
"Bipolare Störung",?,?,72567
"Saudi-Arabien",?,?,72514
"Sons of Anarchy",?,?,72500
"Leon Draisaitl",?,?,72429
"Liste der Staaten der Erde",?,?,72318
"Ethanol",?,?,72284
"Griechenland",?,?,72275
"Designated Survivor (Fernsehserie)",?,?,72266
"Geoffrey Bayldon",?,?,72178
"Arnold Schwarzenegger",?,?,72086
"H- und P-Sätze",?,?,72052
"Rammstein",?,?,71929
"Die Toten Hosen",?,?,71900
"Bud Spencer",?,?,71840
"1. Mai",?,?,71817
"Geschlechtsverkehr",?,?,71742
"Weimarer Republik",?,?,71692
"Homeland (Fernsehserie)",?,?,71465
"Melania Trump",?,?,71319
"Francesco Totti",?,?,71203
"Real Madrid",?,?,71136
"Deutschland sucht den Superstar",?,?,71133
"Horst Mahler",?,?,71094
"Blockchain",?,?,71057
"Tschechien",?,?,71030
"Juventus Turin",?,?,70950
"YouPorn",?,?,70851
"Hornisse",?,?,70779
"Multiple Sklerose",?,?,70777
"Empathie",?,?,70613
"Marteria",?,?,70347
"Terroranschläge am 11. September 2001",?,?,70302
"Scientology",?,?,70263
"Eurovision Song Contest 2018",?,?,70150
"Gregg Allman",?,?,70128
"Singapur",?,?,70114
"Heiko M/S/O",?,?,69994
"Terence Hill",?,?,69982
"Bruttoinlandsprodukt",?,?,69933
"Die Unfassbaren 2",?,?,69881
"Soundgarden",?,?,69818
"Schutzart",?,?,69723
"Rumänien",?,?,69677
"Andrea Berg",?,?,69645
"Belgien",?,?,69495
"Sowjetunion",?,?,69309
"Islam",?,?,69289
"Moldawien",?,?,69283
"Silbermond",?,?,69279
"Französische Revolution",?,?,69273
"Ludwig XIV.",?,?,69263
"Reinhold Mitterlehner",?,?,69180
"Südafrika",?,?,69014
"Pierre-Emerick Aubameyang",?,?,68784
"Rom",?,?,68578
"Albanien",?,?,68324
"A-Schild",?,?,68083
"Freimaurerei",?,?,67912
"Erwin Sellering",?,?,67902
"Sozialdemokratische Partei Deutschlands",?,?,67828
"Torsten Albig",?,?,67772
"Michael Patrick Kelly",?,?,67762
"Barack Obama",?,?,67585
"Otto von Bismarck",?,?,67394
"Alarm für Cobra 11 – Die Autobahnpolizei",?,?,67288
"Odin",?,?,66932
"Martin Luther King",?,?,66889
"The Beatles",?,?,66857
"Fast & Furious 8",?,?,66811
"Lionel Messi",?,?,66751
"Buddhismus",?,?,66639
"Sodom und Gomorra",?,?,66637
"Michael Parks",?,?,66518
"Marvel Cinematic Universe",?,?,66447
"Heiko Herrlich",?,?,66386
"Eiffelturm",?,?,66316
"VW Golf VII",?,?,66123
"Weibliche Ejakulation",?,?,65901
"Andreas von der Meden",?,?,65849
"Brasilien",?,?,65831
"Deutsche Demokratische Republik",?,?,65826
"Chelsea Manning",?,?,65817
"Hacker",?,?,65734
"Gilmore Girls",?,?,65497
"Christian Polanc",?,?,65453
"Instagram",?,?,65443
"Phantastische Tierwesen und wo sie zu finden sind (Film)",?,?,65203
"Eva Glawischnig",?,?,65171
"A4-Format",?,?,65170
"Hessen",?,?,65045
"Gentleman (Musiker)",?,?,64871
"Sinus und Kosinus",?,?,64740
"Tag der Befreiung",?,?,64631
"SAP",?,?,64575
"Narzissmus",?,?,64426
"Stuttgart",?,?,64364
"Justin Bieber",?,?,64356
"Regensburg",?,?,64238
"Afghanistan",?,?,64225
"Die Blechtrommel",?,?,64151
"Landtag Nordrhein-Westfalen",?,?,64052
"Faisal Kawusi",?,?,64046
"Indonesien",?,?,64032
"MDMA",?,?,63986
